model,n,R,new_return,old_v285_return,return_diff,new_roi,old_v285_roi,roi_diff
v283,4,100,1261210.0,1261210.0,0.0,126.121,126.121,0.0
v284,10,100,1049890.0,1049890.0,0.0,104.989,104.989,0.0
