date,race_code,boat,racer_id,course,ex_st,actual_st,hist_n,prior_bias,pred_global,pred_player,abs_err_global,abs_err_player
2026-07-01,202607011001,1,5051,1,0.02,0.13,42,0.0689038009449812,0.08929976491390224,0.08890380094498121,0.04070023508609777,0.041096199055018795
2026-07-01,202607011001,2,5263,2,0.09,0.19,30,0.08857494122847558,0.15929976491390224,0.17857494122847556,0.03070023508609776,0.011425058771524443
2026-07-01,202607011001,3,5333,3,0.09,0.24,33,0.08704645695672143,0.15929976491390224,0.17704645695672144,0.08070023508609775,0.06295354304327855
2026-07-01,202607011001,4,4565,4,0.09,0.19,36,0.0615869054160657,0.15929976491390224,0.1515869054160657,0.03070023508609776,0.0384130945839343
2026-07-01,202607011001,5,4186,5,0.08,0.25,25,0.08037136140397208,0.14929976491390223,0.16037136140397207,0.10070023508609777,0.08962863859602793
2026-07-01,202607011001,6,5447,6,0.23,0.21,19,0.058034401694449046,0.29929976491390226,0.28803440169444905,0.08929976491390226,0.07803440169444906
2026-07-01,202607012301,1,4977,1,0.06,0.36,40,0.06505995298278043,0.12929976491390222,0.12505995298278044,0.23070023508609777,0.23494004701721954
2026-07-01,202607012301,2,4071,2,0.19,0.36,31,0.04763408900339079,0.2592997649139022,0.23763408900339078,0.10070023508609777,0.1223659109966092
2026-07-01,202607012301,3,3568,3,0.07,0.15,30,0.06532494122847557,0.13929976491390222,0.13532494122847558,0.01070023508609777,0.014675058771524419
2026-07-01,202607012301,4,5201,4,0.17,0.2,26,0.07619437914275061,0.23929976491390226,0.2461943791427506,0.039299764913902246,0.0461943791427506
2026-07-01,202607012301,5,4271,5,0.15,0.22,33,0.06727901509625633,0.21929976491390224,0.21727901509625633,0.0007002350860977613,0.002720984903743673
2026-07-01,202607012301,6,5431,6,0.11,0.3,20,0.10176658830463409,0.17929976491390223,0.21176658830463407,0.12070023508609776,0.08823341169536592
2026-07-01,202607011002,1,4601,1,0.04,0.13,41,0.08064701272821613,0.10929976491390223,0.12064701272821612,0.02070023508609778,0.00935298727178388
2026-07-01,202607011002,2,5231,2,0.09,0.18,49,0.04479657032439023,0.15929976491390224,0.13479657032439024,0.02070023508609775,0.04520342967560975
2026-07-01,202607011002,3,5165,3,0.21,0.26,17,0.006407320338482302,0.27929976491390224,0.21640732033848228,0.01929976491390223,0.043592679661517725
2026-07-01,202607011002,4,5274,4,0.1,0.06,31,0.05836579632046396,0.16929976491390225,0.15836579632046396,0.10929976491390225,0.09836579632046397
2026-07-01,202607011002,5,4195,5,0.23,0.12,35,0.04539994775864494,0.29929976491390226,0.27539994775864496,0.17929976491390226,0.15539994775864496
2026-07-01,202607011002,6,4248,6,0.04,0.34,24,0.066264636739383,0.10929976491390223,0.106264636739383,0.2307002350860978,0.23373536326061703
2026-07-01,202607012302,1,5095,1,0.01,0.15,19,0.04665509134962146,0.07929976491390223,0.05665509134962146,0.07070023508609777,0.09334490865037853
2026-07-01,202607012302,2,4382,2,0.04,0.19,35,0.05539994775864494,0.10929976491390223,0.09539994775864494,0.08070023508609778,0.09460005224135506
2026-07-01,202607012302,3,4428,3,0.03,0.17,37,0.04878718402423451,0.09929976491390223,0.07878718402423451,0.07070023508609778,0.0912128159757655
2026-07-01,202607012302,4,4425,4,0.13,0.26,31,0.055682869491195656,0.19929976491390222,0.18568286949119567,0.06070023508609779,0.07431713050880434
2026-07-01,202607012302,5,4854,5,0.12,0.21,14,0.07179156871412594,0.1892997649139022,0.19179156871412595,0.02070023508609778,0.018208431285874044
2026-07-01,202607012302,6,4965,6,0.19,0.31,29,0.08443583715741082,0.2592997649139022,0.2744358371574108,0.05070023508609778,0.035564162842589175
2026-07-01,202607011003,1,4469,1,0.03,0.12,34,0.08347721929861414,0.09929976491390223,0.11347721929861414,0.020700235086097765,0.006522780701385858
2026-07-01,202607011003,2,3569,2,0.15,0.11,20,0.08743325497130076,0.21929976491390224,0.23743325497130074,0.10929976491390224,0.12743325497130076
2026-07-01,202607011003,3,4536,3,0.01,0.06,31,0.04958530851558592,0.07929976491390223,0.059585308515585925,0.01929976491390223,0.0004146914844140731
2026-07-01,202607011003,4,4339,4,0.33,0.18,23,0.07009083785269765,0.39929976491390223,0.40009083785269767,0.21929976491390224,0.22009083785269767
2026-07-01,202607011003,5,5199,5,0.23,0.1,26,0.08036104580941729,0.29929976491390226,0.3103610458094173,0.19929976491390225,0.2103610458094173
2026-07-01,202607011003,6,5459,6,0.19,0.09,17,0.055296209227371204,0.2592997649139022,0.24529620922737122,0.16929976491390222,0.15529620922737122
2026-07-01,202607012303,1,4466,1,0.16,0.02,45,0.09114541180252768,0.22929976491390225,0.2511454118025277,0.20929976491390226,0.2311454118025277
2026-07-01,202607012303,2,5343,2,0.31,0.07,33,0.05379064300323308,0.3792997649139022,0.36379064300323305,0.3092997649139022,0.29379064300323304
2026-07-01,202607012303,3,5285,3,0.37,0.16,17,0.04566657959774156,0.4392997649139022,0.41566657959774156,0.2792997649139022,0.25566657959774153
2026-07-01,202607012303,4,5139,5,-0.18,0.24,41,0.09280387547331417,-0.11070023508609776,-0.08719612452668582,0.35070023508609777,0.3271961245266858
2026-07-01,202607012303,5,5014,4,-0.01,0.16,20,0.06476658830463408,0.05929976491390223,0.05476658830463408,0.10070023508609777,0.10523341169536593
2026-07-01,202607012303,6,5391,6,-0.05,0.26,21,0.0700966983593233,0.01929976491390223,0.020096698359323303,0.24070023508609778,0.2399033016406767
2026-07-01,202607011004,1,4710,1,0.02,0.15,43,0.09307542734224572,0.08929976491390224,0.11307542734224572,0.06070023508609776,0.03692457265775427
2026-07-01,202607011004,2,3579,2,0.12,0.24,26,0.01730549025386173,0.1892997649139022,0.13730549025386174,0.05070023508609778,0.10269450974613825
2026-07-01,202607011004,3,3955,3,0.09,0.21,35,0.12362216998086716,0.15929976491390224,0.21362216998086714,0.05070023508609775,0.003622169980867146
2026-07-01,202607011004,4,5050,4,0.33,0.15,46,0.045767815163196834,0.39929976491390223,0.37576781516319685,0.24929976491390224,0.22576781516319686
2026-07-01,202607011004,5,4703,5,0.12,0.11,44,0.06579625276183375,0.1892997649139022,0.18579625276183376,0.07929976491390221,0.07579625276183376
2026-07-01,202607011004,6,4177,6,0.21,0.15,35,0.06851105886975604,0.27929976491390224,0.278511058869756,0.12929976491390224,0.12851105886975603
2026-07-01,202607012304,1,4680,1,0.15,0.08,36,0.07832603585084831,0.21929976491390224,0.22832603585084832,0.13929976491390222,0.1483260358508483
2026-07-01,202607012304,2,4124,2,0.22,0.07,24,0.06332346026879476,0.28929976491390225,0.28332346026879474,0.21929976491390224,0.21332346026879473
2026-07-01,202607012304,3,5271,3,0.21,0.02,25,0.0717999328325435,0.27929976491390224,0.2817999328325435,0.2592997649139022,0.2617999328325435
2026-07-01,202607012304,4,4788,4,0.16,0.18,36,0.07984777498128309,0.22929976491390225,0.2398477749812831,0.049299764913902255,0.0598477749812831
2026-07-01,202607012304,5,4023,5,0.19,0.18,24,0.05861757791585361,0.2592997649139022,0.24861757791585362,0.07929976491390223,0.06861757791585363
2026-07-01,202607012304,6,4568,6,0.13,0.15,25,0.05294278997540064,0.19929976491390222,0.18294278997540064,0.04929976491390223,0.03294278997540065
2026-07-01,202607011005,1,5057,1,0.06,0.13,37,0.0283616521093409,0.12929976491390222,0.0883616521093409,0.0007002350860977891,0.04163834789065911
2026-07-01,202607011005,2,3562,2,0.17,0.15,37,0.05857441806678771,0.23929976491390226,0.22857441806678772,0.08929976491390226,0.07857441806678772
2026-07-01,202607011005,3,4565,3,0.28,0.11,36,0.0615869054160657,0.34929976491390224,0.34158690541606573,0.23929976491390226,0.23158690541606575
2026-07-01,202607011005,4,3893,4,0.12,0.16,36,0.0748477749812831,0.1892997649139022,0.19484777498128308,0.02929976491390221,0.03484777498128308
2026-07-01,202607011005,5,4319,5,0.03,0.14,42,0.09044226248344274,0.09929976491390223,0.12044226248344274,0.04070023508609778,0.019557737516557275
2026-07-01,202607011005,6,4969,6,0.11,0.17,28,0.05481572760892164,0.17929976491390223,0.16481572760892163,0.00929976491390222,0.005184272391078382
2026-07-01,202607012305,1,4556,1,0.19,0.27,39,0.055367298962020854,0.2592997649139022,0.24536729896202086,0.010700235086097798,0.024632701037979154
2026-07-01,202607012305,2,5344,2,0.01,0.17,33,0.0907673871892796,0.07929976491390223,0.10076738718927959,0.09070023508609779,0.06923261281072042
2026-07-01,202607012305,3,4424,3,0.16,0.31,41,0.029470542139980828,0.22929976491390225,0.18947054213998082,0.08070023508609775,0.12052945786001917
2026-07-01,202607012305,4,5117,4,0.07,0.22,28,0.08981572760892165,0.13929976491390222,0.15981572760892165,0.08070023508609778,0.06018427239107835
2026-07-01,202607012305,5,4071,5,0.01,0.17,31,0.04763408900339079,0.07929976491390223,0.057634089003390794,0.09070023508609779,0.11236591099660923
2026-07-01,202607012305,6,3232,6,0.05,0.2,34,0.07143176475315959,0.11929976491390223,0.12143176475315959,0.08070023508609778,0.07856823524684042
2026-07-01,202607011101,1,3305,1,-0.09,0.29,27,0.05899993646321681,-0.020700235086097765,-0.03100006353678319,0.31070023508609773,0.3210000635367832
2026-07-01,202607011101,2,3564,2,-0.18,0.26,38,0.12589578435706295,-0.11070023508609776,-0.05410421564293705,0.3707002350860978,0.31410421564293706
2026-07-01,202607011101,3,5157,3,0.25,0.23,35,0.04873328109197828,0.3192997649139022,0.2987332810919783,0.08929976491390221,0.06873328109197827
2026-07-01,202607011101,4,4618,4,0.14,0.14,31,0.08446335729607371,0.20929976491390223,0.22446335729607372,0.06929976491390222,0.08446335729607371
2026-07-01,202607011101,5,5190,5,0.19,0.13,34,0.03688631020770505,0.2592997649139022,0.22688631020770506,0.12929976491390222,0.09688631020770505
2026-07-01,202607011101,6,4864,6,0.07,0.07,30,0.05157494122847556,0.13929976491390222,0.12157494122847556,0.06929976491390222,0.05157494122847556
2026-07-01,202607010801,1,5216,1,0.03,0.19,50,0.0405499608189837,0.09929976491390223,0.07054996081898371,0.09070023508609777,0.1194500391810163
2026-07-01,202607010801,2,3701,2,0.01,0.21,36,0.042239079329109176,0.07929976491390223,0.05223907932910918,0.13070023508609777,0.15776092067089081
2026-07-01,202607010801,3,4034,3,-0.02,0.15,32,0.10816661069378626,0.04929976491390223,0.08816661069378626,0.10070023508609777,0.06183338930621374
2026-07-01,202607010801,4,4752,4,0.07,0.17,33,0.06890692207300052,0.13929976491390222,0.13890692207300054,0.030700235086097788,0.031093077926999474
2026-07-01,202607010801,5,5345,5,0.01,0.17,36,0.05528255758997874,0.07929976491390223,0.06528255758997874,0.09070023508609779,0.10471744241002127
2026-07-01,202607010801,6,5380,6,0.1,0.24,29,0.05058968331125698,0.16929976491390225,0.150589683311257,0.07070023508609774,0.089410316688743
2026-07-01,202607011601,1,4441,1,0.15,0.1,38,0.022145784357062964,0.21929976491390224,0.17214578435706296,0.11929976491390223,0.07214578435706295
