month,date,race_code,p3head,actual_combo,y3head,hit,valid_payout,return_yen,cost_yen,top10,pair_train_3wins,effn,entropy,mass4,mass6,mass8,mass10,mass12,mass15,rank20,points,composite_odds,cost,profit,actual_stake,odds_source,strategy,rule_points
2026-07,2026-07-01,202607010608,0.3021977352538603,3-5-4,1,0,1,0.0,1000,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1,4286,8.90738956231787,0.8135518592427103,0.5767210281255558,0.754312912732034,0.8589301452190641,0.902800474131044,0.9372310354693146,0.9729016685687408,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1;3-1-2;3-2-5;3-1-6;3-5-2;3-5-6;3-2-1;3-2-6;3-6-5;3-6-1;3-6-2,4,44.31684251419433,10000,-10000.0,0,official_closing,fixed,4
2026-07,2026-07-01,202607010608,0.3021977352538603,3-5-4,1,1,1,341000.0,1000,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1,4286,8.90738956231787,0.8135518592427103,0.5767210281255558,0.754312912732034,0.8589301452190641,0.902800474131044,0.9372310354693146,0.9729016685687408,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1;3-1-2;3-2-5;3-1-6;3-5-2;3-5-6;3-2-1;3-2-6;3-6-5;3-6-1;3-6-2,6,34.519384318176535,10000,331000.0,1100,official_closing,fixed,6
2026-07,2026-07-01,202607010608,0.3021977352538603,3-5-4,1,1,1,310000.0,1000,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1,4286,8.90738956231787,0.8135518592427103,0.5767210281255558,0.754312912732034,0.8589301452190641,0.902800474131044,0.9372310354693146,0.9729016685687408,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1;3-1-2;3-2-5;3-1-6;3-5-2;3-5-6;3-2-1;3-2-6;3-6-5;3-6-1;3-6-2,8,29.62290997106035,10000,300000.0,1000,official_closing,fixed,8
2026-07,2026-07-01,202607010608,0.3021977352538603,3-5-4,1,1,1,279000.0,1000,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1,4286,8.90738956231787,0.8135518592427103,0.5767210281255558,0.754312912732034,0.8589301452190641,0.902800474131044,0.9372310354693146,0.9729016685687408,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1;3-1-2;3-2-5;3-1-6;3-5-2;3-5-6;3-2-1;3-2-6;3-6-5;3-6-1;3-6-2,10,26.70265045274555,10000,269000.0,900,official_closing,fixed,10
2026-07,2026-07-01,202607010608,0.3021977352538603,3-5-4,1,1,1,248000.0,1000,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1,4286,8.90738956231787,0.8135518592427103,0.5767210281255558,0.754312912732034,0.8589301452190641,0.902800474131044,0.9372310354693146,0.9729016685687408,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1;3-1-2;3-2-5;3-1-6;3-5-2;3-5-6;3-2-1;3-2-6;3-6-5;3-6-1;3-6-2,12,24.339660030508583,10000,238000.0,800,official_closing,fixed,12
2026-07,2026-07-01,202607010608,0.3021977352538603,3-5-4,1,1,1,217000.0,1000,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1,4286,8.90738956231787,0.8135518592427103,0.5767210281255558,0.754312912732034,0.8589301452190641,0.902800474131044,0.9372310354693146,0.9729016685687408,3-4-5;3-1-4;3-4-1;3-4-6;3-4-2;3-5-4;3-2-4;3-1-5;3-6-4;3-5-1;3-1-2;3-2-5;3-1-6;3-5-2;3-5-6;3-2-1;3-2-6;3-6-5;3-6-1;3-6-2,15,22.230101630383125,10000,207000.0,700,official_closing,fixed,15
2026-07,2026-07-01,202607010611,0.3307714655710962,3-1-2,1,1,1,30080.0,1000,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1;3-2-4,4286,11.493420055785014,0.8985356972170788,0.4911769355341347,0.6212297753951971,0.7184308543668771,0.7916822314647238,0.8531442002256784,0.9244468633046435,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1;3-2-4;3-4-5;3-5-6;3-5-4;3-2-6;3-6-1;3-4-2;3-4-6;3-6-5;3-6-2;3-6-4,4,2.953760505378413,10000,20080.0,1600,official_closing,fixed,4
2026-07,2026-07-01,202607010611,0.3307714655710962,3-1-2,1,1,1,26320.0,1000,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1;3-2-4,4286,11.493420055785014,0.8985356972170788,0.4911769355341347,0.6212297753951971,0.7184308543668771,0.7916822314647238,0.8531442002256784,0.9244468633046435,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1;3-2-4;3-4-5;3-5-6;3-5-4;3-2-6;3-6-1;3-4-2;3-4-6;3-6-5;3-6-2;3-6-4,6,2.5671570613078885,10000,16320.0,1400,official_closing,fixed,6
2026-07,2026-07-01,202607010611,0.3307714655710962,3-1-2,1,1,1,24440.0,1000,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1;3-2-4,4286,11.493420055785014,0.8985356972170788,0.4911769355341347,0.6212297753951971,0.7184308543668771,0.7916822314647238,0.8531442002256784,0.9244468633046435,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1;3-2-4;3-4-5;3-5-6;3-5-4;3-2-6;3-6-1;3-4-2;3-4-6;3-6-5;3-6-2;3-6-4,8,2.3849229000047294,10000,14440.0,1300,official_closing,fixed,8
2026-07,2026-07-01,202607010611,0.3307714655710962,3-1-2,1,1,1,20680.0,1000,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1;3-2-4,4286,11.493420055785014,0.8985356972170788,0.4911769355341347,0.6212297753951971,0.7184308543668771,0.7916822314647238,0.8531442002256784,0.9244468633046435,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1;3-2-4;3-4-5;3-5-6;3-5-4;3-2-6;3-6-1;3-4-2;3-4-6;3-6-5;3-6-2;3-6-4,10,2.1656639872762535,10000,10680.0,1100,official_closing,fixed,10
