R,head_hits,exact3_hits,exact3_rate,second_top1,second_top2,second_top3,worst_month_second_top2,outer456_top2,boat2_top2,boat3_top2,boat4_top2,boat5_top2,boat6_top2,config,mode,l2,added_features,min_fit_features,max_fit_features,delta_top2_pp,delta_outer_pp,delta_exact3_pp
345,290,136,0.39420289855072466,0.44482758620689655,0.7275862068965517,0.8655172413793103,0.6,0.26436781609195403,0.9912280701754386,0.8426966292134831,0.40476190476190477,0.1875,0.0,BASE_L2_3,BASE,3.0,0,174,207,0.0,0.0,0.0
345,290,137,0.39710144927536234,0.44482758620689655,0.7275862068965517,0.8827586206896552,0.6666666666666666,0.28735632183908044,0.9736842105263158,0.8426966292134831,0.4523809523809524,0.1875,0.0,OUTER_L2_1,OUTER,1.0,80,244,277,0.0,2.298850574712641,0.2898550724637683
345,290,137,0.39710144927536234,0.44482758620689655,0.7275862068965517,0.8827586206896552,0.6666666666666666,0.28735632183908044,0.9736842105263158,0.8426966292134831,0.4523809523809524,0.1875,0.0,OUTER_L2_3,OUTER,3.0,80,244,277,0.0,2.298850574712641,0.2898550724637683
345,290,137,0.39710144927536234,0.4482758620689655,0.7275862068965517,0.8862068965517241,0.6666666666666666,0.28735632183908044,0.9736842105263158,0.8426966292134831,0.4523809523809524,0.1875,0.0,OUTER_L2_10,OUTER,10.0,80,244,277,0.0,2.298850574712641,0.2898550724637683
345,290,136,0.39420289855072466,0.44482758620689655,0.7275862068965517,0.8655172413793103,0.6,0.26436781609195403,0.9912280701754386,0.8426966292134831,0.40476190476190477,0.1875,0.0,HEADRISK_L2_1,HEADRISK,1.0,0,174,207,0.0,0.0,0.0
345,290,136,0.39420289855072466,0.44482758620689655,0.7275862068965517,0.8655172413793103,0.6,0.26436781609195403,0.9912280701754386,0.8426966292134831,0.40476190476190477,0.1875,0.0,HEADRISK_L2_3,HEADRISK,3.0,0,174,207,0.0,0.0,0.0
345,290,136,0.39420289855072466,0.44482758620689655,0.7275862068965517,0.8689655172413793,0.6,0.26436781609195403,0.9912280701754386,0.8426966292134831,0.40476190476190477,0.1875,0.0,HEADRISK_L2_10,HEADRISK,10.0,0,174,207,0.0,0.0,0.0
345,290,135,0.391304347826087,0.4413793103448276,0.7206896551724138,0.8655172413793103,0.6533333333333333,0.2988505747126437,0.956140350877193,0.8314606741573034,0.42857142857142855,0.1875,0.15384615384615385,BOAT56_L2_1,BOAT56,1.0,240,382,415,-0.6896551724137945,3.448275862068967,-0.2898550724637683
345,290,135,0.391304347826087,0.4413793103448276,0.7206896551724138,0.8655172413793103,0.6533333333333333,0.2988505747126437,0.956140350877193,0.8314606741573034,0.42857142857142855,0.1875,0.15384615384615385,BOAT56_L2_3,BOAT56,3.0,240,382,415,-0.6896551724137945,3.448275862068967,-0.2898550724637683
345,290,136,0.39420289855072466,0.44482758620689655,0.7206896551724138,0.8655172413793103,0.6533333333333333,0.2988505747126437,0.9473684210526315,0.8426966292134831,0.42857142857142855,0.1875,0.15384615384615385,BOAT56_L2_10,BOAT56,10.0,240,382,415,-0.6896551724137945,3.448275862068967,0.0
345,290,135,0.391304347826087,0.4413793103448276,0.7206896551724138,0.8655172413793103,0.6533333333333333,0.2988505747126437,0.956140350877193,0.8314606741573034,0.42857142857142855,0.1875,0.15384615384615385,FULL_L2_1,FULL,1.0,240,382,415,-0.6896551724137945,3.448275862068967,-0.2898550724637683
345,290,135,0.391304347826087,0.4413793103448276,0.7206896551724138,0.8655172413793103,0.6533333333333333,0.2988505747126437,0.956140350877193,0.8314606741573034,0.42857142857142855,0.1875,0.15384615384615385,FULL_L2_3,FULL,3.0,240,382,415,-0.6896551724137945,3.448275862068967,-0.2898550724637683
345,290,136,0.39420289855072466,0.44482758620689655,0.7206896551724138,0.8655172413793103,0.6533333333333333,0.2988505747126437,0.9473684210526315,0.8426966292134831,0.42857142857142855,0.1875,0.15384615384615385,FULL_L2_10,FULL,10.0,240,382,415,-0.6896551724137945,3.448275862068967,0.0
