mode,alpha2,threshold,races,top1,top2,top4,top6,top10,objective
TOP2XTOP2,0.6,1.5,54,12.962962962962962,27.77777777777778,40.74074074074074,57.407407407407405,75.92592592592592,37.370370370370374
TOP2XTOP2,0.65,1.5,54,12.962962962962962,27.77777777777778,40.74074074074074,57.407407407407405,74.07407407407408,37.27777777777778
JOINT,0.65,1.5,54,12.962962962962962,27.77777777777778,40.74074074074074,55.55555555555556,74.07407407407408,37.05555555555556
JOINT,0.6,1.5,54,12.962962962962962,27.77777777777778,38.88888888888889,57.407407407407405,75.92592592592592,36.851851851851855
TOP2XTOP2,0.55,1.5,54,12.962962962962962,27.77777777777778,40.74074074074074,53.70370370370371,74.07407407407408,36.833333333333336
TOP2XTOP2,0.5,1.5,54,12.962962962962962,27.77777777777778,40.74074074074074,50.0,77.77777777777779,36.574074074074076
JOINT,0.7,1.5,54,12.962962962962962,25.925925925925924,40.74074074074074,57.407407407407405,72.22222222222221,36.16666666666667
TOP2XTOP2,0.7,1.5,54,12.962962962962962,25.925925925925924,40.74074074074074,57.407407407407405,72.22222222222221,36.16666666666667
CONF_HYBRID,0.7,1.3,54,12.962962962962962,25.925925925925924,40.74074074074074,57.407407407407405,72.22222222222221,36.16666666666667
CONF_HYBRID,0.65,1.3,54,12.962962962962962,25.925925925925924,40.74074074074074,55.55555555555556,74.07407407407408,36.03703703703704
TOP2XTOP2,0.75,1.5,54,12.962962962962962,25.925925925925924,40.74074074074074,55.55555555555556,72.22222222222221,35.94444444444444
CONF_HYBRID,0.6,1.3,54,12.962962962962962,25.925925925925924,38.88888888888889,57.407407407407405,75.92592592592592,35.833333333333336
JOINT,0.75,1.5,54,12.962962962962962,25.925925925925924,40.74074074074074,53.70370370370371,72.22222222222221,35.72222222222223
CONF_HYBRID,0.75,1.3,54,12.962962962962962,25.925925925925924,40.74074074074074,53.70370370370371,72.22222222222221,35.72222222222223
JOINT,0.55,1.5,54,12.962962962962962,27.77777777777778,35.18518518518518,53.70370370370371,74.07407407407408,35.27777777777778
JOINT,0.5,1.5,54,12.962962962962962,27.77777777777778,35.18518518518518,51.85185185185185,77.77777777777779,35.24074074074075
CONF_HYBRID,0.7,1.15,54,12.962962962962962,24.074074074074073,40.74074074074074,57.407407407407405,72.22222222222221,35.14814814814815
CONF_HYBRID,0.7,1.5,54,12.962962962962962,24.074074074074073,40.74074074074074,57.407407407407405,72.22222222222221,35.14814814814815
CONF_HYBRID,0.7,1.8,54,12.962962962962962,24.074074074074073,40.74074074074074,57.407407407407405,72.22222222222221,35.14814814814815
CONF_HYBRID,0.65,1.15,54,12.962962962962962,24.074074074074073,40.74074074074074,55.55555555555556,74.07407407407408,35.01851851851852
CONF_HYBRID,0.65,1.5,54,12.962962962962962,24.074074074074073,40.74074074074074,55.55555555555556,74.07407407407408,35.01851851851852
CONF_HYBRID,0.65,1.8,54,12.962962962962962,24.074074074074073,40.74074074074074,55.55555555555556,74.07407407407408,35.01851851851852
CONF_HYBRID,0.6,1.15,54,12.962962962962962,24.074074074074073,38.88888888888889,57.407407407407405,75.92592592592592,34.81481481481482
CONF_HYBRID,0.6,1.5,54,12.962962962962962,24.074074074074073,38.88888888888889,57.407407407407405,75.92592592592592,34.81481481481482
CONF_HYBRID,0.6,1.8,54,12.962962962962962,24.074074074074073,38.88888888888889,57.407407407407405,75.92592592592592,34.81481481481482
CONF_HYBRID,0.75,1.15,54,12.962962962962962,24.074074074074073,40.74074074074074,53.70370370370371,72.22222222222221,34.70370370370371
