family,month,races,new_top1_pct,new_top2_pct,new_top4_pct,new_top6_pct,new_top10_pct,new_top20_pct,v96_top1_pct,v96_top2_pct,v96_top4_pct,v96_top6_pct,v96_top10_pct,v96_top20_pct
PAIR_ALL,2026-04,23,13.043478260869565,26.08695652173913,43.47826086956522,56.52173913043478,73.91304347826086,100.0,8.695652173913043,21.73913043478261,39.130434782608695,39.130434782608695,60.86956521739131,100.0
PAIR_ALL,2026-05,36,16.666666666666664,30.555555555555557,47.22222222222222,55.55555555555556,83.33333333333334,100.0,22.22222222222222,36.11111111111111,50.0,63.888888888888886,83.33333333333334,100.0
PAIR_ALL,2026-06,28,10.714285714285714,10.714285714285714,28.57142857142857,42.857142857142854,75.0,100.0,14.285714285714285,25.0,42.857142857142854,57.14285714285714,78.57142857142857,100.0
PAIR_BASE,2026-04,23,13.043478260869565,21.73913043478261,34.78260869565217,56.52173913043478,69.56521739130434,100.0,8.695652173913043,21.73913043478261,39.130434782608695,39.130434782608695,60.86956521739131,100.0
PAIR_BASE,2026-05,36,16.666666666666664,33.33333333333333,50.0,61.111111111111114,83.33333333333334,100.0,22.22222222222222,36.11111111111111,50.0,63.888888888888886,83.33333333333334,100.0
PAIR_BASE,2026-06,28,10.714285714285714,21.428571428571427,28.57142857142857,50.0,78.57142857142857,100.0,14.285714285714285,25.0,42.857142857142854,57.14285714285714,78.57142857142857,100.0
PAIR_BASE_PLAYER,2026-04,23,21.73913043478261,30.434782608695656,47.82608695652174,52.17391304347826,73.91304347826086,100.0,8.695652173913043,21.73913043478261,39.130434782608695,39.130434782608695,60.86956521739131,100.0
PAIR_BASE_PLAYER,2026-05,36,16.666666666666664,27.77777777777778,41.66666666666667,50.0,88.88888888888889,100.0,22.22222222222222,36.11111111111111,50.0,63.888888888888886,83.33333333333334,100.0
PAIR_BASE_PLAYER,2026-06,28,14.285714285714285,17.857142857142858,25.0,46.42857142857143,78.57142857142857,100.0,14.285714285714285,25.0,42.857142857142854,57.14285714285714,78.57142857142857,100.0
PAIR_BASE_PRIOR,2026-04,23,13.043478260869565,21.73913043478261,34.78260869565217,60.86956521739131,69.56521739130434,100.0,8.695652173913043,21.73913043478261,39.130434782608695,39.130434782608695,60.86956521739131,100.0
PAIR_BASE_PRIOR,2026-05,36,13.88888888888889,36.11111111111111,50.0,58.333333333333336,80.55555555555556,100.0,22.22222222222222,36.11111111111111,50.0,63.888888888888886,83.33333333333334,100.0
PAIR_BASE_PRIOR,2026-06,28,10.714285714285714,21.428571428571427,28.57142857142857,50.0,78.57142857142857,100.0,14.285714285714285,25.0,42.857142857142854,57.14285714285714,78.57142857142857,100.0
PAIR_BASE_SCENARIO,2026-04,23,13.043478260869565,21.73913043478261,34.78260869565217,52.17391304347826,65.21739130434783,100.0,8.695652173913043,21.73913043478261,39.130434782608695,39.130434782608695,60.86956521739131,100.0
PAIR_BASE_SCENARIO,2026-05,36,13.88888888888889,36.11111111111111,50.0,63.888888888888886,86.11111111111111,100.0,22.22222222222222,36.11111111111111,50.0,63.888888888888886,83.33333333333334,100.0
PAIR_BASE_SCENARIO,2026-06,28,14.285714285714285,17.857142857142858,28.57142857142857,42.857142857142854,75.0,100.0,14.285714285714285,25.0,42.857142857142854,57.14285714285714,78.57142857142857,100.0
PAIR_PLAYER_PRIOR,2026-04,23,17.391304347826086,26.08695652173913,47.82608695652174,56.52173913043478,73.91304347826086,100.0,8.695652173913043,21.73913043478261,39.130434782608695,39.130434782608695,60.86956521739131,100.0
PAIR_PLAYER_PRIOR,2026-05,36,11.11111111111111,30.555555555555557,38.88888888888889,52.77777777777778,80.55555555555556,100.0,22.22222222222222,36.11111111111111,50.0,63.888888888888886,83.33333333333334,100.0
PAIR_PLAYER_PRIOR,2026-06,28,10.714285714285714,21.428571428571427,32.142857142857146,42.857142857142854,78.57142857142857,100.0,14.285714285714285,25.0,42.857142857142854,57.14285714285714,78.57142857142857,100.0
PAIR_PLAYER_SCENARIO,2026-04,23,21.73913043478261,26.08695652173913,43.47826086956522,52.17391304347826,73.91304347826086,100.0,8.695652173913043,21.73913043478261,39.130434782608695,39.130434782608695,60.86956521739131,100.0
PAIR_PLAYER_SCENARIO,2026-05,36,16.666666666666664,36.11111111111111,44.44444444444444,58.333333333333336,86.11111111111111,100.0,22.22222222222222,36.11111111111111,50.0,63.888888888888886,83.33333333333334,100.0
PAIR_PLAYER_SCENARIO,2026-06,28,10.714285714285714,17.857142857142858,28.57142857142857,39.285714285714285,71.42857142857143,100.0,14.285714285714285,25.0,42.857142857142854,57.14285714285714,78.57142857142857,100.0
