month,train_n,grade,tickets,current_covp,v99_covp,current_roi,v99_roi
2026-06,261,A,4,30.0,36.666666666666664,52.077922077922075,58.47402597402598
2026-06,261,A,6,40.0,46.666666666666664,44.45887445887446,51.926406926406926
2026-06,261,S,4,25.0,37.5,56.31944444444444,70.0
2026-06,261,S,6,37.5,37.5,48.148148148148145,46.666666666666664
2026-07,304,A,4,43.47826086956522,52.17391304347826,59.48529411764706,66.06617647058823
2026-07,304,A,6,60.869565217391305,73.91304347826087,64.92647058823529,74.01960784313725
2026-07,304,S,4,46.15384615384615,61.53846153846154,78.79310344827586,100.77586206896552
2026-07,304,S,6,69.23076923076923,84.61538461538461,92.93103448275862,107.58620689655173
2026-08,343,A,4,38.888888888888886,41.666666666666664,62.53125,112.28125
2026-08,343,A,6,41.666666666666664,47.22222222222222,46.604166666666664,87.25
2026-08,343,S,4,39.130434782608695,43.47826086956522,83.625,183.125
2026-08,343,S,6,43.47826086956522,52.17391304347826,65.58333333333333,146.875
