month,scope,model,races,top1_pct,top2_pct,top4_pct,top6_pct,top10_pct,top20_pct
2026-04,ALL,V96,23,8.695652173913043,17.391304347826086,39.130434782608695,39.130434782608695,65.21739130434783,100.0
2026-04,ALL,PLAYER_BLEND,23,8.695652173913043,26.08695652173913,34.78260869565217,43.47826086956522,65.21739130434783,100.0
2026-04,SA,V96,11,0.0,18.181818181818183,36.36363636363637,36.36363636363637,54.54545454545455,100.0
2026-04,SA,PLAYER_BLEND,11,0.0,27.272727272727273,36.36363636363637,45.45454545454545,63.63636363636363,100.0
2026-05,ALL,V96,36,22.22222222222222,33.333333333333336,50.0,63.888888888888886,83.33333333333333,100.0
2026-05,ALL,PLAYER_BLEND,36,19.444444444444443,33.333333333333336,47.22222222222222,63.888888888888886,83.33333333333333,100.0
2026-05,SA,V96,15,26.666666666666668,40.0,53.333333333333336,66.66666666666667,86.66666666666667,100.0
2026-05,SA,PLAYER_BLEND,15,13.333333333333334,40.0,46.666666666666664,66.66666666666667,86.66666666666667,100.0
2026-06,ALL,V96,28,14.285714285714286,25.0,42.857142857142854,60.714285714285715,78.57142857142857,100.0
2026-06,ALL,PLAYER_BLEND,28,17.857142857142858,21.428571428571427,39.285714285714285,60.714285714285715,78.57142857142857,100.0
2026-06,SA,V96,14,14.285714285714286,28.571428571428573,42.857142857142854,64.28571428571429,85.71428571428571,100.0
2026-06,SA,PLAYER_BLEND,14,21.428571428571427,21.428571428571427,35.714285714285715,64.28571428571429,92.85714285714286,100.0
