feature,category,n,overall_head_rate,direction,auc_oriented,std_mean_diff,top10_n,top10_head_rate,top10_lift_pt,top20_n,top20_head_rate,top20_lift_pt,month_direction_good,month_direction_seen,month_consistency,month_direction_detail,oof_n,base_oof_auc,plus_feature_oof_auc,delta_oof_auc,delta_logloss,incremental_months_positive,incremental_months_seen,incremental_month_floor_auc_delta,incremental_month_mean_auc_delta,importance_score
opp_local_b3_v93,相手構成_v93,592,0.23817567567567569,low,0.5453916434715604,0.14391267432716687,161,0.2919254658385093,5.374979016283363,161,0.2919254658385093,5.374979016283363,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,9.614160150412717
b2_gh_p12_overall,その他,592,0.23817567567567569,low,0.5430642701011149,0.13091663234919537,60,0.26666666666666666,2.8490990990990976,119,0.3025210084033613,6.434533272768564,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,9.593333664665204
b5_pl_all_p2,その他,592,0.23817567567567569,low,0.5461779182588732,0.17371406310315862,60,0.3,6.182432432432431,119,0.2857142857142857,4.753861003861001,4,5,0.8,2026-02:+;2026-03:-;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,9.56856402665952
b5_vh_p2_display,その他,592,0.23817567567567569,low,0.5466496831312607,0.17213018496192814,67,0.19402985074626866,-4.414582492940703,131,0.2824427480916031,4.426707241592739,4,5,0.8,2026-02:-;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,9.55030976144462
b2_vh_p12_turn,その他,592,0.23817567567567569,low,0.5394474060794767,0.14495723692268334,64,0.328125,8.994932432432432,123,0.3170731707317073,7.889749505603164,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,9.522690509068305
rel_vh_delta_display_4v5,4号艇vs他艇_過去展示差,592,0.23817567567567569,low,0.5479391737824535,0.17790343139558987,73,0.2876712328767123,4.949555720103663,125,0.28,4.182432432432434,3,5,0.6,2026-02:-;2026-03:+;2026-04:-;2026-05:+;2026-06:+,398.0,0.5946335513915068,0.5956684037402521,0.001034852348745341,-0.00014497888950815163,1.0,3.0,-0.003968253968254065,0.002531816802899859,9.50404100114757
b1_vh_delta_overall,1号艇_過去展示機力,592,0.23817567567567569,low,0.5436618389394725,0.1271340073382506,61,0.29508196721311475,5.690629153743906,119,0.29411764705882354,5.594197138314786,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,9.485023321610207
b4_gh_p2_turn,4号艇_過去展示機力,592,0.23817567567567569,high,0.5381500526804108,0.14139602917324182,85,0.29411764705882354,5.594197138314786,152,0.26973684210526316,3.156116642958748,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,9.446228596632832
b6_vh_delta_display,その他,592,0.23817567567567569,low,0.5457690553694705,0.14394525964577845,92,0.32608695652173914,8.791128084606346,175,0.28,4.182432432432434,4,5,0.8,2026-02:+;2026-03:+;2026-04:-;2026-05:+;2026-06:+,,,,,,,,,,9.413392023433538
rel_vh_p12_turn_4v2,4号艇vs他艇_過去展示差,592,0.23817567567567569,high,0.5455567611768961,0.13957778861423312,60,0.2833333333333333,4.515765765765764,122,0.2786885245901639,4.051284891448822,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,9.365933095979376
