actual_combo,actual_ticket_rank20,current3_rank20,date,entry_course,entry_source,entry_status,escape_hit,ex_margin23,has_orig,has_stt,has_tkz,head,head_hit,kimarite,margin2,margin23,margin3,margin_all,month,one_direct,one_ex,one_grade,one_lap,one_local,one_meet_st_strength,one_motor,one_nst_strength,one_orig_avg,one_past_win,one_score,one_st,one_straight,one_turn,one_waku_sr_strength,one_waku_wr,one_wr,p1,p1_refit_audit,p3base,p3style,pair_train_3wins,payout100,period,race,race_code,ranked_others,st_margin2,st_margin23,st_margin3,straight_margin23,threat2,threat23_max,threat3,threat4,threat5,threat6,threat_all_max,tickets20_display,turn_margin23,v166_20,v166_lambda,v166_month,v166_rank20,valid_payout,valid_result,venue,winner
3-1-5,0,5,2026-06-01,1,snapshot,same,0,-0.6000000000000001,1,1,1,1,0,まくり差し,0.07127181818181816,-0.04323276623376615,-0.04323276623376615,-0.04323276623376615,2026-06,0.37,0.19999999999999996,1.0,1.0,0.6490909090909092,0.6527777777777778,0.48639999999999994,0.7857142857142856,0.7999999999999999,0.8,0.6789695584415585,0.19999999999999996,1.0,0.4,0.96,1,0.616,0.62846,,0.10315066937965946,0.11113281562839557,3730,6530,holdout3,11R,202606010111,3-4-2-5-6,-0.4,-0.4,0.19999999999999996,0.19999999999999996,0.6076977402597403,0.7222023246753246,0.7222023246753246,0.6764894675324676,0.519083896103896,0.42933921428571425,0.7222023246753246,1-3-4;1-4-3;1-3-2;1-2-3;1-3-5;1-4-2;1-2-4;1-3-6;1-5-3;1-4-5;1-5-4;1-4-6;1-6-3;1-2-5;1-5-2;1-6-4;1-2-6;1-6-2;1-5-6;1-6-5,-0.6,3-1-4;3-1-2;3-4-1;3-1-5;3-2-4;3-2-1;3-4-2;3-1-6;3-2-5;3-4-5;3-5-1;3-5-4;3-4-6;3-5-2;3-2-6;3-6-1;3-6-4;3-5-6;3-6-2;3-6-5,1.0,2026-06,4,1,1,01,3
1-3-2,2,0,2026-06-01,1,snapshot,same,1,0.4,1,1,1,1,1,逃げ,0.03459438961038963,0.03459438961038963,0.0772904285714286,0.03459438961038963,2026-06,0.6033333333333333,1.0,0.38,0.6,0,0.27083333333333337,0.7272000000000001,0.4285714285714285,0.4666666666666666,0.2222222222222222,0.4665604285714286,0.8,0.8,0.0,0.6599999999999999,0.7225,0.21600000000000003,0.55718989,,0.09490846663179345,0.1020776345596611,3730,660,holdout3,12R,202606010112,2-3-4-5-6,0.20000000000000007,-0.19999999999999996,-0.19999999999999996,0.6000000000000001,0.43196603896103897,0.43196603896103897,0.38927,0.2906074285714285,0.28533985714285715,0.2699725,0.43196603896103897,1-2-3;1-3-2;1-2-4;1-4-2;1-2-5;1-3-4;1-4-3;1-2-6;1-5-2;1-3-5;1-5-3;1-3-6;1-6-2;1-4-5;1-5-4;1-6-3;1-4-6;1-6-4;1-5-6;1-6-5,-0.6,3-1-2;3-1-4;3-2-1;3-1-5;3-1-6;3-2-4;3-2-5;3-4-1;3-5-1;3-4-2;3-2-6;3-5-2;3-6-1;3-4-5;3-4-6;3-5-4;3-6-2;3-5-6;3-6-4;3-6-5,1.0,2026-06,0,1,1,01,1
1-3-2,15,0,2026-06-01,1,snapshot,same,1,-0.8,1,1,1,1,1,逃げ,0.07694800000000002,0.07694800000000002,0.07950080519480524,-0.14048824675324667,2026-06,0.5133333333333334,0.19999999999999996,0.38,0.19999999999999996,0.44,0.47222222222222227,0.5470285714285714,0.4285714285714285,0.4666666666666666,0.1,0.45601628571428576,1.0,0.6,0.6,0.54,0.725,0.21999999999999992,0.36659004,,0.1577852894333016,0.19864850531457054,3730,2760,holdout3,01R,202606010501,4-6-2-3-5,0.4,0.4,1.0,-0.4,0.37906828571428575,0.37906828571428575,0.3765154805194805,0.5965045324675324,0.29937057142857143,0.40759401298701303,0.5965045324675324,1-4-6;1-6-4;1-4-2;1-2-4;1-4-3;1-6-2;1-2-6;1-4-5;1-3-4;1-6-3;1-3-6;1-6-5;1-5-4;1-2-3;1-3-2;1-5-6;1-2-5;1-5-2;1-3-5;1-5-3,0.4,3-1-4;3-4-1;3-2-4;3-1-2;3-4-6;3-4-2;3-1-6;3-1-5;3-4-5;3-2-1;3-6-4;3-2-6;3-5-4;3-2-5;3-5-1;3-6-1;3-5-2;3-6-2;3-5-6;3-6-5,1.0,2026-06,0,1,1,05,1
3-5-1,0,5,2026-06-01,1,snapshot,same,0,0.20000000000000007,1,1,1,1,0,まくり,-0.051952863636363644,-0.06813678571428577,-0.06813678571428577,-0.29625138311688326,2026-06,0.7066666666666668,0.8,0.38,1.0,0,0.2500000000000002,0.5371428571428571,0.4285714285714285,0.7333333333333334,0.3333333333333333,0.42548821428571426,0.4,0.4,0.8,0.2,0.54125,0.196,0.32438876,,0.14738174509646104,0.19119559818287984,3730,5950,holdout3,02R,202606010502,5-3-2-6-4,0.20000000000000007,0.20000000000000007,0.4,0.20000000000000007,0.4774410779220779,0.49362500000000004,0.49362500000000004,0.356027,0.7217395974025975,0.47137149350649354,0.7217395974025975,1-5-3;1-3-5;1-5-2;1-2-5;1-5-6;1-3-2;1-2-3;1-5-4;1-6-5;1-3-6;1-6-3;1-3-4;1-4-5;1-2-6;1-6-2;1-4-3;1-2-4;1-4-2;1-6-4;1-4-6,0.6000000000000001,3-1-5;3-2-5;3-5-2;3-5-1;3-5-6;3-1-2;3-5-4;3-4-5;3-1-6;3-1-4;3-6-5;3-2-1;3-2-6;3-2-4;3-4-2;3-4-1;3-6-2;3-4-6;3-6-1;3-6-4,1.0,2026-06,4,1,1,05,3
2-1-3,0,0,2026-06-01,1,snapshot,same,0,-0.4,1,1,1,1,0,まくり,-0.13331746753246754,-0.1945158441558441,-0.1945158441558441,-0.1945158441558441,2026-06,0.5266666666666666,0.6,0.38,1.0,0.5472727272727272,0.19444444444444456,0.6155999999999999,0.35714285714285704,0.7333333333333334,0.5,0.5671516753246754,0.6,1.0,0.19999999999999996,0.54,0.9875,0.54,0.51577809,,0.1506388793638893,0.16246279243638784,3730,950,holdout3,03R,202606010503,3-2-6-4-5,-0.20000000000000007,-0.4,-0.4,0.4,0.7004691428571429,0.7616675194805195,0.7616675194805195,0.2592568571428572,0.24029442857142858,0.40687870129870124,0.7616675194805195,1-3-2;1-2-3;1-3-6;1-6-3;1-3-4;1-2-6;1-6-2;1-3-5;1-4-3;1-2-4;1-4-2;1-2-5;1-5-3;1-6-4;1-4-6;1-5-2;1-6-5;1-5-6;1-4-5;1-5-4,-0.4,3-1-2;3-2-1;3-2-6;3-1-6;3-2-4;3-1-4;3-2-5;3-1-5;3-6-2;3-4-2;3-5-2;3-6-1;3-4-1;3-5-1;3-4-6;3-5-6;3-6-4;3-4-5;3-6-5;3-5-4,1.0,2026-06,0,1,1,05,2
1-5-6,10,0,2026-06-01,1,snapshot,same,0,-0.8,1,1,1,1,1,恵まれ,-0.39519985714285716,-0.39519985714285716,0.11610585714285712,-0.39519985714285716,2026-06,0.20333333333333334,0.19999999999999996,0.38,0.19999999999999996,0,0,0.9114285714285714,0.14285714285714277,0.26666666666666666,0.1,0.3302,0.4,0.6,0.0,0.44000000000000006,0.5,0,0.11686977,,0.1668996657041161,0.14782562883268985,3730,10090,holdout3,04R,202606010504,2-5-4-6-3,-0.19999999999999996,-0.19999999999999996,0.20000000000000007,-0.4,0.7253998571428572,0.7253998571428572,0.21409414285714287,0.5544474155844156,0.6693434999999999,0.4679166103896104,0.7253998571428572,1-2-5;1-5-2;1-2-4;1-4-2;1-2-6;1-5-4;1-4-5;1-2-3;1-6-2;1-5-6;1-6-5;1-5-3;1-3-2;1-4-6;1-6-4;1-3-5;1-4-3;1-3-4;1-6-3;1-3-6,-0.4,3-2-5;3-2-4;3-5-2;3-4-2;3-4-5;3-2-6;3-5-4;3-1-2;3-2-1;3-1-5;3-5-6;3-1-4;3-5-1;3-4-6;3-6-2;3-4-1;3-6-5;3-6-4;3-1-6;3-6-1,1.0,2026-06,0,1,1,05,1
2-5-4,0,0,2026-06-01,1,snapshot,same,0,0.0,1,1,1,1,0,まくり,-0.272789012987013,-0.272789012987013,0.10953472077922072,-0.3560204025974027,2026-06,0.4716666666666667,0.5,0.15,0.19999999999999996,0,0.22222222222222227,0.7676,0.07142857142857129,0.3333333333333333,0.3,0.3221955714285714,0.4,0.19999999999999996,0.6,0.54,0.5875,0,0.1668125,,0.13509617728549286,0.11093704732620167,3730,1280,holdout3,06R,202606010506,5-4-2-6-3,-0.19999999999999996,-0.19999999999999996,0.4,-0.20000000000000007,0.5949845844155844,0.5949845844155844,0.2126608506493507,0.6475855584415584,0.6782159740259741,0.43700701298701294,0.6782159740259741,1-5-4;1-4-5;1-5-2;1-2-5;1-5-6;1-4-2;1-2-4;1-5-3;1-6-5;1-4-6;1-6-4;1-4-3;1-3-5;1-2-6;1-6-2;1-3-4;1-2-3;1-3-2;1-6-3;1-3-6,-0.20000000000000007,3-2-5;3-2-4;3-4-5;3-5-4;3-5-2;3-4-2;3-1-5;3-1-4;3-4-6;3-5-6;3-1-2;3-2-6;3-5-1;3-4-1;3-2-1;3-6-4;3-6-5;3-6-2;3-1-6;3-6-1,1.0,2026-06,0,1,1,05,2
2-4-3,0,0,2026-06-01,1,snapshot,same,0,-0.8,1,1,1,1,0,まくり,0.06276733766233755,0.06276733766233755,0.09744093506493495,-0.1493989610389611,2026-06,0.3766666666666667,0.19999999999999996,0.72,0.8,0.5636363636363636,0.47222222222222227,0.6457142857142857,0.4999999999999998,0.5333333333333333,0.4,0.5862923376623376,1.0,0.8,0.0,0.44000000000000006,0.875,0.4720000000000001,0.50312745,,0.1577534284336471,0.17471724682108242,3730,4500,holdout3,07R,202606010507,4-2-3-6-5,0.8,0.19999999999999996,0.19999999999999996,0.20000000000000007,0.523525,0.523525,0.4888514025974026,0.7356912987012987,0.2871943571428572,0.3691404805194805,0.7356912987012987,1-4-2;1-2-4;1-4-3;1-3-4;1-4-6;1-2-3;1-3-2;1-4-5;1-6-4;1-2-6;1-6-2;1-2-5;1-5-4;1-3-6;1-6-3;1-5-2;1-3-5;1-5-3;1-6-5;1-5-6,-1.0,3-1-4;3-4-1;3-2-4;3-1-2;3-4-2;3-2-1;3-4-6;3-1-6;3-1-5;3-4-5;3-6-4;3-2-6;3-2-5;3-5-4;3-5-1;3-6-1;3-5-2;3-6-2;3-5-6;3-6-5,1.0,2026-06,0,1,1,05,2
2-1-4,0,0,2026-06-01,1,snapshot,same,0,-0.19999999999999996,1,1,1,1,0,まくり,-0.0017701038961038806,-0.0017701038961038806,0.11965803896103899,-0.12759027272727286,2026-06,0.44,0.4,0.72,0.19999999999999996,0.7072727272727272,0.75,0.5390285714285714,0.35714285714285704,0.39999999999999997,0.6,0.6004795324675325,0.6,0.6,0.4,0.6,0.95,0.538,0.58654306,,0.09295874542252247,0.08671513715211522,3730,1810,holdout3,08R,202606010508,4-2-6-3-5,0.19999999999999996,0.19999999999999996,0.6,0.4,0.6022496363636364,0.6022496363636364,0.4808214935064935,0.7280698051948054,0.3771287012987013,0.5275224155844156,0.7280698051948054,1-4-2;1-2-4;1-4-6;1-6-4;1-4-3;1-2-6;1-6-2;1-4-5;1-3-4;1-2-3;1-3-2;1-2-5;1-5-4;1-6-3;1-3-6;1-5-2;1-6-5;1-5-6;1-3-5;1-5-3,-0.6,3-1-4;3-2-4;3-1-2;3-4-1;3-4-2;3-2-1;3-4-6;3-1-6;3-1-5;3-2-6;3-4-5;3-6-4;3-2-5;3-6-1;3-5-4;3-6-2;3-5-1;3-5-2;3-5-6;3-6-5,1.0,2026-06,0,1,1,05,2
4-3-5,0,0,2026-06-01,1,snapshot,same,0,0.20000000000000007,1,1,1,1,0,差し,0.1364324675324674,0.04246185714285711,0.04246185714285711,0.04246185714285711,2026-06,0.6,0.8,0.72,0.8,0.6,0,0.7447999999999999,0.4999999999999998,0.6,1.0,0.6898559999999999,1.0,1.0,0.0,0.6599999999999999,1,0.616,0.70770227,,0.08387293189645975,0.08992090229596643,3730,57190,holdout3,09R,202606010509,3-2-6-5-4,0.19999999999999996,0.19999999999999996,1.0,0.8,0.5534235324675325,0.6473941428571428,0.6473941428571428,0.3026841428571428,0.3374769999999999,0.5380755454545454,0.6473941428571428,1-3-2;1-2-3;1-3-6;1-6-3;1-3-5;1-2-6;1-6-2;1-3-4;1-5-3;1-2-5;1-5-2;1-2-4;1-4-3;1-6-5;1-5-6;1-4-2;1-6-4;1-4-6;1-5-4;1-4-5,-1.0,3-1-2;3-1-6;3-2-1;3-1-5;3-1-4;3-2-6;3-6-1;3-2-5;3-2-4;3-5-1;3-4-1;3-6-2;3-5-2;3-4-2;3-4-6;3-5-6;3-6-4;3-6-5;3-4-5;3-5-4,1.0,2026-06,0,1,1,05,4
