races,top1,top2,top3,top4,top6,top10,top20,second_top1,second_top2,third_top1,third_top2,month,scope,v96_top1,v96_top2,v96_top4,v96_top6,v96_top10
23,26.08695652173913,47.82608695652174,47.82608695652174,47.82608695652174,52.17391304347826,69.56521739130434,100.0,52.17391304347826,65.21739130434783,30.434782608695656,43.47826086956522,2026-04,HOLD_ALL,8.695652173913043,21.73913043478261,39.130434782608695,39.130434782608695,60.86956521739131
11,27.27272727272727,36.36363636363637,36.36363636363637,36.36363636363637,36.36363636363637,54.54545454545454,100.0,45.45454545454545,63.63636363636363,27.27272727272727,27.27272727272727,2026-04,HOLD_SA,0.0,27.27272727272727,36.36363636363637,36.36363636363637,54.54545454545454
36,19.444444444444446,30.555555555555557,36.11111111111111,44.44444444444444,52.77777777777778,83.33333333333334,100.0,47.22222222222222,69.44444444444444,27.77777777777778,52.77777777777778,2026-05,HOLD_ALL,22.22222222222222,36.11111111111111,50.0,63.888888888888886,83.33333333333334
15,20.0,26.666666666666668,26.666666666666668,33.33333333333333,53.333333333333336,93.33333333333333,100.0,33.33333333333333,60.0,33.33333333333333,60.0,2026-05,HOLD_SA,26.666666666666668,46.666666666666664,53.333333333333336,66.66666666666666,86.66666666666667
28,14.285714285714285,17.857142857142858,21.428571428571427,28.57142857142857,42.857142857142854,57.14285714285714,100.0,25.0,50.0,21.428571428571427,46.42857142857143,2026-06,HOLD_ALL,14.285714285714285,25.0,42.857142857142854,57.14285714285714,78.57142857142857
14,14.285714285714285,14.285714285714285,21.428571428571427,35.714285714285715,35.714285714285715,42.857142857142854,100.0,28.57142857142857,42.857142857142854,21.428571428571427,35.714285714285715,2026-06,HOLD_SA,14.285714285714285,28.57142857142857,42.857142857142854,64.28571428571429,85.71428571428571
