scope,policy,R,head,hit,avg_pts,roi
TUNE_FIRST_HALF,dynamic,69,44.927536231884055,36.231884057971016,8.376811594202898,136.05954465849388
TUNE_FIRST_HALF,fixed10,69,44.927536231884055,36.231884057971016,10.0,114.25
OOS_SECOND_HALF,dynamic,70,38.57142857142858,22.857142857142858,8.82857142857143,85.64724919093851
OOS_SECOND_HALF,fixed10,70,38.57142857142858,25.71428571428571,10.0,86.28571428571429
OOS_2026-08,dynamic,70,38.57142857142858,22.857142857142858,8.82857142857143,85.64724919093851
OOS_2026-08,fixed10,70,38.57142857142858,25.71428571428571,10.0,86.28571428571429
