phase,grade,ev_threshold,odds_races,bet_races,bet_race_pct,tickets,avg_tickets_bet,hits,hit_rate_bet_pct,roi_pct,avg_selected_model_ev,fixed7_hits,fixed7_hit_pct,fixed7_roi_pct,avg_lead_min,point_hist,selected_threshold
DEV,A,1.0,725,725,100.0,7542,10.402758620689655,166,22.896551724137932,64.75735879077168,1.923376556464348,349,48.13793103448276,78.54384236453203,9.087233709517243,2:1;3:1;4:15;5:25;6:39;7:52;8:75;9:96;10:67;11:100;12:63;13:69;14:45;15:30;16:22;17:17;18:6;19:2,0
DEV,A,1.05,725,725,100.0,7083,9.769655172413794,147,20.275862068965516,63.53098969363264,1.9816475215697857,349,48.13793103448276,78.54384236453203,9.087233709517243,2:3;3:11;4:20;5:24;6:50;7:70;8:93;9:74;10:92;11:79;12:68;13:52;14:33;15:21;16:17;17:12;18:4;19:2,0
DEV,A,1.1,725,725,100.0,6691,9.22896551724138,134,18.482758620689655,61.895082947242564,2.0348339742874098,349,48.13793103448276,78.54384236453203,9.087233709517243,1:4;2:4;3:17;4:21;5:33;6:69;7:71;8:94;9:92;10:76;11:73;12:59;13:40;14:28;15:18;16:13;17:8;18:4;19:1,0
DEV,A,1.15,725,725,100.0,6347,8.75448275862069,126,17.379310344827587,63.151095005514414,2.0841674481866237,349,48.13793103448276,78.54384236453203,9.087233709517243,1:5;2:7;3:23;4:18;5:51;6:79;7:85;8:94;9:80;10:75;11:69;12:48;13:34;14:22;15:15;16:14;17:2;18:3;19:1,0
DEV,A,1.2,725,724,99.86206896551724,6018,8.312154696132596,117,16.16022099447514,64.93685609837155,2.133811522283383,349,48.13793103448276,78.54384236453203,9.086651730570903,0:1;1:10;2:10;3:24;4:31;5:60;6:78;7:93;8:91;9:85;10:67;11:61;12:41;13:27;14:19;15:11;16:11;17:1;18:4,0
DEV,A,1.25,725,721,99.44827586206897,5666,7.858529819694868,113,15.672676837725382,67.93152135545358,2.1902805578534346,349,48.13793103448276,78.54384236453203,9.086443570388349,0:4;1:11;2:15;3:31;4:41;5:74;6:86;7:99;8:76;9:73;10:67;11:57;12:33;13:19;14:17;15:9;16:10;17:3,0
DEV,A,1.3,725,716,98.75862068965517,5318,7.427374301675978,101,14.106145251396647,67.02895825498308,2.2501311939892448,349,48.13793103448276,78.54384236453203,9.087985631238361,0:9;1:14;2:20;3:32;4:51;5:92;6:86;7:102;8:67;9:75;10:59;11:49;12:17;13:19;14:19;15:7;16:7,0
DEV,A,1.4,725,713,98.34482758620689,4730,6.6339410939691446,84,11.781206171107995,67.64482029598308,2.361912740458817,349,48.13793103448276,78.54384236453203,9.085831498293595,0:12;1:23;2:42;3:42;4:77;5:93;6:100;7:78;8:69;9:60;10:48;11:33;12:11;13:19;14:9;15:6;16:3,1
DEV,A,1.5,725,707,97.51724137931035,4214,5.96039603960396,69,9.75954738330976,62.35643094447081,2.4736837180436257,349,48.13793103448276,78.54384236453203,9.089578847359736,0:18;1:32;2:56;3:67;4:93;5:102;6:88;7:72;8:59;9:43;10:32;11:22;12:16;13:13;14:7;15:5,0
DEV,A,1.75,725,678,93.51724137931035,3112,4.589970501474927,35,5.162241887905605,53.32583547557841,2.7766841350718097,349,48.13793103448276,78.54384236453203,9.083212183751229,0:47;1:77;2:96;3:109;4:101;5:92;6:46;7:44;8:43;9:25;10:22;11:8;12:7;13:5;14:3,0
DEV,A,2.0,725,633,87.3103448275862,2403,3.796208530805687,26,4.107424960505529,47.927590511860174,3.045001711287565,349,48.13793103448276,78.54384236453203,9.08257852390732,0:92;1:119;2:124;3:102;4:84;5:64;6:37;7:38;8:27;9:24;10:4;11:7;12:2;13:1,0
DEV,S,1.0,449,449,100.0,4427,9.859688195991092,106,23.608017817371937,72.95459679241021,1.9211464643979284,224,49.88864142538976,81.94082087177856,9.088148659317001,2:1;3:4;4:2;5:11;6:36;7:45;8:59;9:67;10:59;11:43;12:36;13:31;14:20;15:13;16:10;17:7;18:4;20:1,0
DEV,S,1.05,449,449,100.0,4173,9.293986636971047,98,21.826280623608017,74.51713395638629,1.975770902933232,224,49.88864142538976,81.94082087177856,9.088148659317001,1:1;2:2;3:4;4:6;5:20;6:40;7:56;8:66;9:70;10:45;11:49;12:24;13:20;14:18;15:8;16:10;17:8;18:1;19:1,0
DEV,S,1.1,449,449,100.0,3959,8.817371937639198,90,20.044543429844097,74.49355897954028,2.0245066039420916,224,49.88864142538976,81.94082087177856,9.088148659317001,1:1;2:3;3:8;4:8;5:34;6:42;7:69;8:63;9:62;10:44;11:36;12:21;13:20;14:15;15:6;16:10;17:5;18:2,0
DEV,S,1.15,449,449,100.0,3749,8.349665924276168,83,18.485523385300667,74.11843158175513,2.074902869345897,224,49.88864142538976,81.94082087177856,9.088148659317001,1:3;2:4;3:8;4:21;5:39;6:46;7:72;8:69;9:45;10:44;11:30;12:19;13:19;14:11;15:9;16:6;17:4,0
DEV,S,1.2,449,447,99.55456570155901,3542,7.923937360178971,77,17.225950782997764,75.90626764539807,2.1275481414106814,224,49.88864142538976,81.94082087177856,9.0882069054437,0:2;1:4;2:8;3:7;4:34;5:42;6:51;7:71;8:66;9:44;10:35;11:27;12:19;13:15;14:11;15:6;16:5;17:2,0
DEV,S,1.25,449,446,99.33184855233853,3331,7.468609865470852,71,15.919282511210762,74.36505553887721,2.184659017521057,224,49.88864142538976,81.94082087177856,9.087126159080718,0:3;1:5;2:9;3:15;4:40;5:53;6:58;7:73;8:48;9:42;10:33;11:24;12:14;13:12;14:9;15:4;16:6;17:1,0
DEV,S,1.3,449,446,99.33184855233853,3141,7.042600896860987,65,14.573991031390134,75.73065902578797,2.239693085657247,224,49.88864142538976,81.94082087177856,9.087126159080718,0:3;1:8;2:13;3:23;4:42;5:60;6:67;7:65;8:40;9:42;10:28;11:17;12:14;13:10;14:10;15:3;16:3;17:1,0
DEV,S,1.4,449,445,99.10913140311804,2803,6.298876404494382,58,13.03370786516854,79.74313235818765,2.346970353449427,224,49.88864142538976,81.94082087177856,9.086545442734083,0:4;1:14;2:25;3:32;4:50;5:77;6:68;7:47;8:41;9:27;10:22;11:14;12:7;13:9;14:7;15:3;16:2,1
DEV,S,1.5,449,438,97.55011135857461,2468,5.634703196347032,47,10.730593607305936,75.52674230145867,2.4688651972615823,224,49.88864142538976,81.94082087177856,9.087295735768645,0:11;1:19;2:44;3:43;4:67;5:67;6:55;7:48;8:23;9:23;10:16;11:11;12:8;13:5;14:6;15:2;16:1,0
DEV,S,1.75,449,422,93.98663697104676,1822,4.317535545023697,31,7.345971563981043,82.42041712403952,2.7719720068764575,224,49.88864142538976,81.94082087177856,9.087040224091627,0:27;1:57;2:72;3:70;4:55;5:51;6:29;7:28;8:22;9:19;10:3;11:7;12:5;13:4,0
DEV,S,2.0,449,383,85.30066815144767,1388,3.6240208877284594,24,6.266318537859008,87.34870317002881,3.0542952070361133,224,49.88864142538976,81.94082087177856,9.086059315448216,0:66;1:85;2:70;3:68;4:46;5:35;6:28;7:15;8:18;9:7;10:5;11:3;12:2;13:1,0
HOLDOUT,A,1.0,1696,1696,100.0,17280,10.18867924528302,413,24.35141509433962,76.88252314814815,1.9155618382127813,826,48.70283018867924,80.60141509433963,9.078300461124215,1:2;2:1;3:11;4:25;5:61;6:112;7:177;8:190;9:180;10:176;11:183;12:172;13:129;14:95;15:76;16:40;17:34;18:25;19:5;20:2,0
HOLDOUT,A,1.05,1696,1696,100.0,16252,9.58254716981132,366,21.580188679245282,76.38629091804086,1.9718730624714849,826,48.70283018867924,80.60141509433963,9.078300461124215,1:2;2:2;3:21;4:42;5:107;6:140;7:187;8:189;9:172;10:184;11:184;12:145;13:105;14:86;15:46;16:40;17:28;18:13;19:2;20:1,0
HOLDOUT,A,1.1,1696,1695,99.94103773584905,15291,9.021238938053097,336,19.82300884955752,77.1211823948728,2.028276430031301,826,48.70283018867924,80.60141509433963,9.078598058849558,0:1;1:4;2:11;3:24;4:67;5:140;6:163;7:193;8:196;9:189;10:164;11:175;12:110;13:87;14:75;15:37;16:28;17:21;18:9;19:1;20:1,0
HOLDOUT,A,1.15,1696,1695,99.94103773584905,14375,8.480825958702065,314,18.525073746312685,79.62782608695652,2.085920781425991,826,48.70283018867924,80.60141509433963,9.078598058849558,0:1;1:10;2:24;3:41;4:88;5:155;6:185;7:211;8:190;9:202;10:140;11:143;12:95;13:82;14:53;15:29;16:24;17:15;18:6;19:1;20:1,0
HOLDOUT,A,1.2,1696,1692,99.76415094339623,13571,8.020685579196217,291,17.19858156028369,81.66531574681305,2.139950711884026,826,48.70283018867924,80.60141509433963,9.078039260214736,0:4;1:14;2:37;3:67;4:109;5:162;6:192;7:223;8:199;9:172;10:144;11:116;12:86;13:76;14:36;15:23;16:20;17:11;18:4;19:1,0
HOLDOUT,A,1.25,1696,1691,99.70518867924528,12731,7.528681253696038,271,16.02602010644589,83.3642290472076,2.200285602738119,826,48.70283018867924,80.60141509433963,9.077764007825744,0:5;1:27;2:50;3:95;4:130;5:184;6:199;7:226;8:180;9:156;10:123;11:111;12:85;13:46;14:33;15:22;16:16;17:3;18:4;19:1,0
HOLDOUT,A,1.3,1696,1686,99.41037735849056,11989,7.110913404507711,252,14.946619217081851,85.63433147051464,2.257521254301582,826,48.70283018867924,80.60141509433963,9.07713580103796,0:10;1:46;2:63;3:95;4:170;5:200;6:200;7:216;8:177;9:127;10:121;11:103;12:73;13:30;14:28;15:20;16:12;17:2;18:3,0
HOLDOUT,A,1.4,1696,1663,98.05424528301887,10654,6.406494287432351,216,12.988574864702345,88.6437018960015,2.371372534511628,826,48.70283018867924,80.60141509433963,9.075757264642213,0:33;1:62;2:94;3:142;4:213;5:220;6:194;7:169;8:174;9:113;10:84;11:83;12:51;13:23;14:23;15:10;16:4;17:2;18:2,1
HOLDOUT,A,1.5,1696,1636,96.4622641509434,9437,5.768337408312958,174,10.635696821515893,81.83850800042386,2.490364235102677,826,48.70283018867924,80.60141509433963,9.075713447830074,0:60;1:95;2:137;3:182;4:228;5:198;6:193;7:159;8:140;9:95;10:81;11:54;12:32;13:18;14:16;15:3;16:3;17:1;18:1,0
HOLDOUT,A,1.75,1696,1538,90.68396226415095,7077,4.6014304291287385,108,7.022106631989597,77.67839480005652,2.780708256378463,826,48.70283018867924,80.60141509433963,9.075343577145643,0:158;1:174;2:219;3:237;4:236;5:178;6:140;7:120;8:78;9:57;10:46;11:24;12:15;13:6;14:3;15:3;16:1;18:1,0
HOLDOUT,A,2.0,1696,1426,84.08018867924528,5374,3.7685834502103788,72,5.049088359046284,75.27353926311872,3.0696844241351178,826,48.70283018867924,80.60141509433963,9.068423541771857,0:270;1:275;2:277;3:232;4:177;5:155;6:110;7:69;8:52;9:34;10:21;11:10;12:8;13:2;14:2;15:1;16:1,0
HOLDOUT,S,1.0,1059,1059,100.0,10730,10.132200188857412,257,24.268177525967893,73.67474370922646,1.9123718191778014,538,50.80264400377715,78.88304330230676,9.081352146820901,2:1;3:2;4:17;5:37;6:73;7:108;8:109;9:121;10:111;11:143;12:95;13:85;14:62;15:42;16:24;17:18;18:11,0
HOLDOUT,S,1.05,1059,1059,100.0,10093,9.530689329556186,225,21.246458923512748,71.90528088774398,1.9684329324969918,538,50.80264400377715,78.88304330230676,9.081352146820901,1:1;3:9;4:34;5:47;6:99;7:119;8:105;9:132;10:115;11:130;12:76;13:67;14:57;15:33;16:15;17:17;18:3,0
