grade,model,lambda,tickets_n,races,base_hits,value_hits,base_hit_rate_pct,value_hit_rate_pct,hit_rate_diff_pt,base_comp_rate_pct,value_comp_rate_pct,comp_rate_diff_pt,base_roi_pct,value_roi_pct,odds_races
A,3まくり,0.0,1,205,10,10,4.878048780487805,4.878048780487805,0.0,6.162154216465847,6.162154216465847,0.0,78.48780487804878,78.48780487804878,205
A,3まくり,0.0,2,205,18,18,8.78048780487805,8.78048780487805,0.0,11.610832199145081,11.610832199145081,0.0,68.04878048780488,68.04878048780488,205
A,3まくり,0.0,3,205,29,29,14.146341463414634,14.146341463414634,0.0,16.028805700251088,16.028805700251088,0.0,76.58536585365853,76.58536585365853,205
A,3まくり,0.0,4,205,31,31,15.121951219512194,15.121951219512194,0.0,19.219937859263247,19.219937859263247,0.0,69.89024390243902,69.89024390243902,205
A,3まくり,0.0,5,205,33,33,16.097560975609756,16.097560975609756,0.0,22.372432019547112,22.372432019547112,0.0,60.604878048780485,60.604878048780485,205
A,3まくり,0.0,6,205,38,38,18.536585365853657,18.536585365853657,0.0,25.489582129056114,25.489582129056114,0.0,57.49593495934959,57.49593495934959,205
A,3まくり,0.0,7,205,44,44,21.463414634146343,21.463414634146343,0.0,27.996575271716658,27.996575271716658,0.0,74.53658536585365,74.53658536585365,205
A,3まくり,0.0,8,205,49,49,23.902439024390244,23.902439024390244,0.0,30.10265953892512,30.10265953892512,0.0,73.0060975609756,73.0060975609756,205
A,3まくり,0.0,9,205,51,51,24.878048780487806,24.878048780487806,0.0,32.185292073318564,32.185292073318564,0.0,71.16531165311653,71.16531165311653,205
A,3まくり,0.0,10,205,54,54,26.341463414634145,26.341463414634145,0.0,34.3794290043366,34.3794290043366,0.0,67.20487804878049,67.20487804878049,205
A,3まくり,0.0,11,205,58,58,28.29268292682927,28.29268292682927,0.0,35.86569355959261,35.86569355959261,0.0,68.41241685144124,68.41241685144124,205
A,3まくり,0.0,12,205,61,61,29.75609756097561,29.75609756097561,0.0,37.111111183020256,37.111111183020256,0.0,66.78048780487805,66.78048780487805,205
A,3まくり,0.0,13,205,63,63,30.73170731707317,30.73170731707317,0.0,38.084712585517664,38.084712585517664,0.0,68.69793621013133,68.69793621013133,205
A,3まくり,0.0,14,205,66,66,32.19512195121951,32.19512195121951,0.0,39.45068335451611,39.45068335451611,0.0,66.41811846689896,66.41811846689896,205
A,3まくり,0.0,15,205,68,68,33.170731707317074,33.170731707317074,0.0,40.65388825677594,40.65388825677594,0.0,68.87479674796748,68.87479674796748,205
A,3まくり,0.0,16,205,71,71,34.63414634146341,34.63414634146341,0.0,41.38045968323802,41.38045968323802,0.0,74.41158536585365,74.41158536585365,205
A,3まくり,0.0,17,205,72,72,35.1219512195122,35.1219512195122,0.0,42.14812322039115,42.14812322039115,0.0,70.81492109038737,70.81492109038737,205
A,3まくり,0.0,18,205,73,73,35.609756097560975,35.609756097560975,0.0,42.71820664958611,42.71820664958611,0.0,68.90243902439025,68.90243902439025,205
