actual_combo,cover_rule,coverage,date,ev_rule,head,invest,race_code,return,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n
3-5-4,0.3,0.3228943964836433,2026-07-19,1.1,3,2000,202607191904,0,2.031383788373965,0.09107110124661007,22.30547078675607,0,9
3-5-4,0.3,0.3228943964836433,2026-07-19,1.2,3,2000,202607191904,0,2.031383788373965,0.09107110124661007,22.30547078675607,0,9
3-5-4,0.3,0.3228943964836433,2026-07-19,1.3,3,2000,202607191904,0,2.031383788373965,0.09107110124661007,22.30547078675607,0,9
3-5-4,0.3,0.3228943964836433,2026-07-19,1.4,3,2000,202607191904,0,2.031383788373965,0.09107110124661007,22.30547078675607,0,9
3-5-4,0.4,0.43032993346189,2026-07-19,1.1,3,2000,202607191904,0,1.6635891819260338,0.12137287412400177,13.706433121344823,0,11
3-5-4,0.4,0.43032993346189,2026-07-19,1.2,3,2000,202607191904,0,1.6635891819260338,0.12137287412400177,13.706433121344823,0,11
3-5-4,0.4,0.43032993346189,2026-07-19,1.3,3,2000,202607191904,0,1.6635891819260338,0.12137287412400177,13.706433121344823,0,11
3-5-4,0.4,0.43032993346189,2026-07-19,1.4,3,2000,202607191904,0,1.6635891819260338,0.12137287412400177,13.706433121344823,0,11
3-5-4,0.5,0.5310619207174117,2026-07-19,1.1,3,2000,202607191904,0,1.4464330034954047,0.14978393702885015,9.656796530971173,0,13
3-5-4,0.5,0.5310619207174117,2026-07-19,1.2,3,2000,202607191904,0,1.4464330034954047,0.14978393702885015,9.656796530971173,0,13
3-5-4,0.5,0.5310619207174117,2026-07-19,1.3,3,2000,202607191904,0,1.4464330034954047,0.14978393702885015,9.656796530971173,0,13
3-5-4,0.5,0.5310619207174117,2026-07-19,1.4,3,2000,202607191904,0,1.4464330034954047,0.14978393702885015,9.656796530971173,0,13
3-5-4,0.6,0.7132983721689853,2026-07-19,1.1,3,2000,202607191904,5940,1.1380135551412616,0.20118301518476334,5.656608506916589,1,15
3-5-4,0.7,0.7132983721689853,2026-07-19,1.1,3,2000,202607191904,5940,1.1380135551412616,0.20118301518476334,5.656608506916589,1,15
3-5-6,0.3,0.36343622776182183,2026-07-19,1.1,3,2000,202607191905,73500,1.3409143439252802,0.05539380126915417,24.20693855996417,1,7
3-5-6,0.3,0.36343622776182183,2026-07-19,1.2,3,2000,202607191905,73500,1.3409143439252802,0.05539380126915417,24.20693855996417,1,7
3-5-6,0.3,0.36343622776182183,2026-07-19,1.3,3,2000,202607191905,73500,1.3409143439252802,0.05539380126915417,24.20693855996417,1,7
3-5-6,0.4,0.5264202014458234,2026-07-19,1.1,3,2000,202607191905,36750,1.2084440683766373,0.08023530346035933,15.061251297861364,1,9
3-5-6,0.4,0.5264202014458234,2026-07-19,1.2,3,2000,202607191905,36750,1.2084440683766373,0.08023530346035933,15.061251297861364,1,9
3-5-6,0.5,0.5264202014458234,2026-07-19,1.1,3,2000,202607191905,36750,1.2084440683766373,0.08023530346035933,15.061251297861364,1,9
3-5-6,0.5,0.5264202014458234,2026-07-19,1.2,3,2000,202607191905,36750,1.2084440683766373,0.08023530346035933,15.061251297861364,1,9
1-3-6,0.3,0.48188727751611266,2026-07-19,1.1,5,2000,202607190911,0,8.914914634048085,0.04818872775161127,185.0,0,1
1-3-6,0.3,0.48188727751611266,2026-07-19,1.2,5,2000,202607190911,0,8.914914634048085,0.04818872775161127,185.0,0,1
1-3-6,0.3,0.48188727751611266,2026-07-19,1.3,5,2000,202607190911,0,8.914914634048085,0.04818872775161127,185.0,0,1
1-3-6,0.3,0.48188727751611266,2026-07-19,1.4,5,2000,202607190911,0,8.914914634048085,0.04818872775161127,185.0,0,1
1-3-6,0.4,0.48188727751611266,2026-07-19,1.1,5,2000,202607190911,0,8.914914634048085,0.04818872775161127,185.0,0,1
1-3-6,0.4,0.48188727751611266,2026-07-19,1.2,5,2000,202607190911,0,8.914914634048085,0.04818872775161127,185.0,0,1
1-3-6,0.4,0.48188727751611266,2026-07-19,1.3,5,2000,202607190911,0,8.914914634048085,0.04818872775161127,185.0,0,1
