alpha2,races,top1,top2,top4,top6,top10,objective
0.65,54,12.962962962962962,27.77777777777778,40.74074074074074,55.55555555555556,74.07407407407408,38.148148148148145
0.6,54,12.962962962962962,27.77777777777778,38.88888888888889,57.407407407407405,75.92592592592592,37.96296296296297
0.7,54,12.962962962962962,25.925925925925924,40.74074074074074,57.407407407407405,72.22222222222221,37.407407407407405
0.75,54,12.962962962962962,25.925925925925924,40.74074074074074,53.70370370370371,72.22222222222221,36.85185185185185
0.8,54,12.962962962962962,24.074074074074073,40.74074074074074,55.55555555555556,72.22222222222221,36.20370370370371
0.55,54,12.962962962962962,27.77777777777778,35.18518518518518,53.70370370370371,74.07407407407408,36.2037037037037
0.45,54,12.962962962962962,27.77777777777778,37.03703703703704,48.148148148148145,77.77777777777779,36.111111111111114
0.5,54,12.962962962962962,27.77777777777778,35.18518518518518,51.85185185185185,77.77777777777779,36.111111111111114
