grade,model,races,hits7,trifecta_hit_rate_pct,odds_races,odds_coverage_pct,avg_composite_odds7,median_composite_odds7
A,1号艇,5229,2561,48.976859820233315,5070,96.95926563396443,1.4054578239696272,1.33791725949503
A,3まくり,369,81,21.951219512195124,358,97.0189701897019,3.3121752918676775,2.439415580925064
A,3まくり差し,38,9,23.68421052631579,37,97.36842105263158,2.656571474867129,2.4850595834330207
A,4カドまくり,356,62,17.415730337078653,344,96.62921348314607,4.036085778832763,3.1057059562931206
A,5頭展開,557,49,8.797127468581687,217,38.95870736086176,14.1980605302615,5.788976572075891
S,1号艇,3308,1686,50.96735187424426,3205,96.8863361547763,1.3741769277368308,1.3089910806017238
S,3まくり,187,53,28.342245989304814,184,98.39572192513369,2.6905301544129894,2.1476646694977535
S,3まくり差し,16,5,31.25,16,100.0,2.3999104292592843,2.3894166280207743
S,4カドまくり,190,33,17.36842105263158,183,96.3157894736842,3.6922420050480733,2.8850922565177513
S,5頭展開,217,26,11.981566820276498,79,36.40552995391705,9.754208924649609,2.5863681252000696
