floor,month,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct,max_drawdown_yen,max_consecutive_misses,max_consecutive_losing_bets,worst_5bet_pnl_yen,worst_10bet_pnl_yen
6.0,2026-04,17,10,6,58.82352941176471,35.294117647058826,8.051144246528896,577460.0,407460.0,339.6823529411765,60000.0,6,6,-50000.0,73160.0
6.0,2026-05,11,6,3,54.54545454545454,27.27272727272727,8.209036297189568,222700.0,112700.0,202.45454545454547,70000.0,7,7,-50000.0,60120.0
6.0,2026-06,12,4,1,33.33333333333333,8.333333333333332,9.021057009959398,133170.0,13170.0,110.975,60000.0,6,6,-50000.0,33170.0
7.0,2026-04,11,9,6,81.81818181818183,54.54545454545454,8.981818049060172,577460.0,467460.0,524.9636363636364,20000.0,2,2,123160.0,477460.0
7.0,2026-05,9,5,2,55.55555555555556,22.22222222222222,8.615505171659304,160120.0,70120.0,177.9111111111111,60000.0,6,6,-50000.0,
7.0,2026-06,8,4,1,50.0,12.5,10.289616718233608,133170.0,53170.0,166.4625,40000.0,4,4,83170.0,
8.0,2026-04,9,8,6,88.88888888888889,66.66666666666666,9.35851532556166,577460.0,487460.0,641.6222222222223,10000.0,1,1,219820.0,
8.0,2026-05,5,3,1,60.0,20.0,9.57464872798641,87400.0,37400.0,174.8,40000.0,4,4,37400.0,
8.0,2026-06,7,4,1,57.14285714285714,14.285714285714285,10.705330168205327,133170.0,63170.0,190.24285714285713,30000.0,3,3,83170.0,
