n,comp_band,month,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
8,5-6,2026-04,1,1,1,100.0,100.0,5.4803063926892515,53700.0,43700.0,537.0
8,5-6,2026-05,3,2,0,66.66666666666666,0.0,5.4081788839441165,0.0,-30000.0,0.0
8,5-6,2026-06,2,2,0,100.0,0.0,5.5100206459077175,0.0,-20000.0,0.0
11,4-5,2026-04,4,3,3,75.0,75.0,4.592808186512656,138410.0,98410.0,346.025
11,4-5,2026-05,1,1,0,100.0,0.0,4.148291522274435,0.0,-10000.0,0.0
11,4-5,2026-06,1,1,0,100.0,0.0,4.664846864004731,0.0,-10000.0,0.0
4,10-12,2026-04,2,2,2,100.0,100.0,11.227848223373776,225390.0,205390.0,1126.95
4,10-12,2026-05,2,2,0,100.0,0.0,10.600508723276903,0.0,-20000.0,0.0
4,10-12,2026-06,2,1,0,50.0,0.0,10.558322358039023,0.0,-20000.0,0.0
7,6-8,2026-04,2,1,1,50.0,50.0,7.011306588679359,69720.0,49720.0,348.6
7,6-8,2026-05,1,1,0,100.0,0.0,6.4800200929054546,0.0,-10000.0,0.0
7,6-8,2026-06,3,3,1,100.0,33.33333333333333,6.948508759242834,81060.0,51060.0,270.2
8,6-8,2026-04,2,1,1,50.0,50.0,6.097486803577519,62250.0,42250.0,311.25
8,6-8,2026-06,3,1,1,33.33333333333333,33.33333333333333,7.193614099785865,63690.0,33690.0,212.3
9,5-6,2026-04,2,1,1,50.0,50.0,5.456305726705776,52290.0,32290.0,261.45
9,5-6,2026-06,1,1,0,100.0,0.0,5.513218430096629,0.0,-10000.0,0.0
12,4-5,2026-04,3,2,2,66.66666666666666,66.66666666666666,4.221943143530578,86790.0,56790.0,289.3
12,4-5,2026-05,1,1,1,100.0,100.0,4.031742103541894,43050.0,33050.0,430.5
12,4-5,2026-06,1,1,0,100.0,0.0,4.384658372772409,0.0,-10000.0,0.0
13,4-5,2026-04,1,1,1,100.0,100.0,4.375776277161454,44820.0,34820.0,448.2
13,4-5,2026-06,1,1,1,100.0,100.0,4.218184060800458,44440.0,34440.0,444.4
14,4-5,2026-04,1,1,1,100.0,100.0,4.234961357386769,42330.0,32330.0,423.3
14,4-5,2026-06,2,1,1,50.0,50.0,4.468670207908671,44440.0,24440.0,222.2
15,4-5,2026-04,1,1,1,100.0,100.0,4.133424846377086,42330.0,32330.0,423.3
15,4-5,2026-06,1,0,0,0.0,0.0,4.539076705196745,0.0,-10000.0,0.0
