actual_combo,actual_rank20,actual_second_rank,actual_third_rank,approved_A,approved_A_wind_v83,approved_S,approved_S_wind_v83,date,entry_confirmed_same,entry_course_preview,entry_gate_keep,entry_source_type,entry_status,grade,has_orig,has_stt,has_tkz,head,head_hit,history_adjust_online,history_pct_online,kimarite,model,payout100,period_v88,preview_comp,production_buy,race_code,ranked_others,relative_deg,relative_wind,route_hit,score,score_v88,score_wind_v83,ticket20_hit,ticket6_hit,tickets20_display,tickets6,tilt,tilt_bonus,valid_payout,valid_result,venue_code_v83,venue_dash_adj_v88,venue_dash_diff_pt_v88,venue_dash_feature_v88,venue_dash_global_rate_v88,venue_dash_shrunk_rate_v88,venue_dash_venue_n_v88,venue_dash_window_days_v88,venue_v83,wind_adjust_points,wind_bin,wind_cell,wind_class_old_only,wind_code,wind_old_head_rate,wind_old_lift_pt,wind_old_model_base,wind_old_n,wind_source_type,wind_speed,winner
3-1-4,6,2,3,0,0,0,0,2026-01-01,1,3,1,backfill,same,B,1,1,1,3,1,-1.8891,0.0277,まくり差し,3まくり,7980,prior7,0.53833,0,202601011906,6-1-4-2-5,0,追い,0,51.8942,51.894,51.8942,1,1,3-6-1;3-1-6;3-6-4;3-4-6;3-6-2;3-1-4;3-4-1;3-6-5;3-2-6;3-1-2;3-2-1;3-1-5;3-5-6;3-4-2;3-2-4;3-5-1;3-4-5;3-5-4;3-2-5;3-5-2,3-6-1;3-6-4;3-6-2;3-1-6;3-1-4;3-1-2,-0.5,-0.05,1,1,19,0.0,0.0,neutral,0.0,0.0,0,180,下関,0.0,0-2m,追い_0-2m,neutral,1,25.8503,0.9025,24.9478,147,backfill,2.0,3
1-2-4,0,1,0,0,0,0,0,2026-01-01,1,4,1,backfill,same,B,1,1,1,4,0,0.877,0.7192,逃げ,4カドまくり,410,prior7,0.523,0,202601012005,2-1-3-5-6,0,追い,0,53.137,52.766,51.137,0,0,4-2-1;4-1-2;4-2-3;4-3-2;4-2-5;4-1-3;4-3-1;4-2-6;4-5-2;4-1-5;4-5-1;4-1-6;4-6-2;4-3-5;4-5-3;4-6-1;4-3-6;4-6-3;4-5-6;4-6-5,4-2-1;4-2-3;4-2-5;4-1-2;4-1-3;4-1-5,0,-0.04,1,1,20,-0.371,-0.742,4attack,0.075227,0.06781,372,180,若松,-2.0,0-2m,追い_0-2m,unfavorable,1,15.0,-8.5714,23.5714,100,backfill,2.0,1
1-4-3,0,1,0,0,0,0,0,2026-01-01,1,3,1,backfill,same,B,1,1,1,3,0,1.7149,0.9287,逃げ,3まくり,1600,prior7,0.46167,0,202601012009,4-1-6-5-2,45,右横,0,47.8315,47.831,45.8315,0,0,3-4-1;3-1-4;3-4-6;3-6-4;3-4-5;3-1-6;3-6-1;3-4-2;3-5-4;3-1-5;3-5-1;3-1-2;3-2-4;3-6-5;3-5-6;3-2-1;3-6-2;3-2-6;3-5-2;3-2-5,3-4-1;3-4-6;3-4-5;3-1-4;3-1-6;3-1-5,-0.5,-0.05,1,1,20,0.0,0.0,neutral,0.0,0.0,0,180,若松,-2.0,0-2m,右横_0-2m,unfavorable,2,17.7778,-7.17,24.9478,90,backfill,2.0,1
1-4-3,0,2,3,0,0,0,0,2026-01-01,1,5,1,backfill,same,B,1,1,1,5,0,0.9158,0.7289,逃げ,5頭展開,1000,prior7,0.52893,0,202601012012,1-4-3-6-2,45,右横,0,53.8091,53.186,53.8091,0,0,5-1-4;5-4-1;5-1-3;5-3-1;5-1-6;5-4-3;5-3-4;5-1-2;5-6-1;5-4-6;5-6-4;5-4-2;5-2-1;5-3-6;5-6-3;5-2-4;5-3-2;5-2-3;5-6-2;5-2-6,5-1-4;5-1-3;5-1-6;5-4-1;5-4-3;5-4-6,-0.5,0,1,1,20,-0.623,-1.246,5head,0.062823,0.050367,372,180,若松,0.0,0-2m,右横_0-2m,neutral,2,9.9174,1.3395,8.5779,121,backfill,2.0,1
1-2-5,0,2,3,0,0,0,0,2026-01-01,1,4,1,backfill,same,B,1,1,1,4,0,-1.6088,0.0978,逃げ,4カドまくり,910,prior7,0.415,0,202601012105,1-2-5-6-3,0,追い,0,38.7012,39.144,36.7012,0,0,4-1-2;4-2-1;4-1-5;4-5-1;4-1-6;4-2-5;4-5-2;4-1-3;4-6-1;4-2-6;4-6-2;4-2-3;4-3-1;4-5-6;4-6-5;4-3-2;4-5-3;4-3-5;4-6-3;4-3-6,4-1-2;4-1-5;4-1-6;4-2-1;4-2-5;4-2-6,-0.5,-1.19,1,1,21,0.443,0.886,4attack,0.075227,0.084085,456,180,芦屋,-2.0,0-2m,追い_0-2m,unfavorable,1,15.0,-8.5714,23.5714,100,backfill,2.0,1
1-2-5,0,2,0,1,1,0,0,2026-01-01,1,5,1,backfill,same,A,1,1,1,5,0,1.9265,0.9816,逃げ,5頭展開,910,prior7,0.5656,1,202601012105,1-2-4-6-3,0,追い,0,58.4865,58.774,58.4865,0,0,5-1-2;5-2-1;5-1-4;5-4-1;5-1-6;5-2-4;5-4-2;5-1-3;5-6-1;5-2-6;5-6-2;5-2-3;5-3-1;5-4-6;5-6-4;5-3-2;5-4-3;5-3-4;5-6-3;5-3-6,5-1-2;5-1-4;5-1-6;5-2-1;5-2-4;5-2-6,-0.5,0,1,1,21,0.288,0.576,5head,0.062823,0.068581,456,180,芦屋,0.0,0-2m,追い_0-2m,neutral,1,8.1818,-0.3961,8.5779,220,backfill,2.0,1
3-2-5,15,4,3,1,1,1,1,2026-01-01,1,3,1,backfill,same,S,1,1,1,3,1,1.9287,0.9822,差し,3まくり,4960,prior7,0.72967,1,202601012304,6-4-5-2-1,90,右横,0,74.6854,74.685,74.6854,1,0,3-6-4;3-4-6;3-6-5;3-5-6;3-6-2;3-4-5;3-5-4;3-6-1;3-2-6;3-4-2;3-2-4;3-4-1;3-1-6;3-5-2;3-2-5;3-1-4;3-5-1;3-1-5;3-2-1;3-1-2,3-6-4;3-6-5;3-6-2;3-4-6;3-4-5;3-4-2,0,-0.21,1,1,23,0.0,0.0,neutral,0.0,0.0,0,180,唐津,0.0,5m+,右横_5m+,neutral,3,40.0,15.0522,24.9478,25,backfill,5.0,3
4-5-2,0,0,2,0,0,0,0,2026-01-02,1,5,1,backfill,same,B,0,1,1,5,0,0.8986,0.7247,まくり,5頭展開,2510,prior7,0.4423,0,202601020303,4-2-1-3-6,160,向かい,0,45.1286,45.125,47.1286,0,0,5-4-2;5-2-4;5-4-1;5-1-4;5-4-3;5-2-1;5-1-2;5-4-6;5-3-4;5-2-3;5-3-2;5-2-6;5-6-4;5-1-3;5-3-1;5-6-2;5-1-6;5-6-1;5-3-6;5-6-3,5-4-2;5-4-1;5-4-3;5-2-4;5-2-1;5-2-3,0.5,0,1,1,3,-0.003,-0.007,5head,0.06262,0.062553,384,180,江戸川,2.0,3-4m,向かい_3-4m,favorable,1,13.5135,4.9356,8.5779,74,backfill,3.0,4
2-1-4,0,2,0,0,0,0,0,2026-01-02,1,4,1,backfill,same,B,0,1,1,4,0,0.8571,0.7143,差し,4カドまくり,1200,prior7,0.442,0,202601020306,2-1-6-5-3,160,向かい,0,48.0571,47.995,48.0571,0,0,4-2-1;4-1-2;4-2-6;4-6-2;4-2-5;4-1-6;4-6-1;4-2-3;4-5-2;4-1-5;4-5-1;4-1-3;4-3-2;4-6-5;4-5-6;4-3-1;4-6-3;4-3-6;4-5-3;4-3-5,4-2-1;4-2-6;4-2-5;4-1-2;4-1-6;4-1-5,0.5,3.0,1,1,3,-0.063,-0.125,4attack,0.075144,0.073894,384,180,江戸川,0.0,3-4m,向かい_3-4m,neutral,1,25.7143,2.1429,23.5714,35,backfill,3.0,2
1-3-2,0,0,3,0,0,0,0,2026-01-02,1,3,1,backfill,same,B,1,1,1,3,0,1.4854,0.8713,逃げ,3まくり,690,prior7,0.33833,0,202601020601,1-5-2-4-6,270,左横,0,35.2687,35.269,35.2687,0,0,3-1-5;3-5-1;3-1-2;3-2-1;3-1-4;3-5-2;3-2-5;3-1-6;3-4-1;3-5-4;3-4-5;3-5-6;3-6-1;3-2-4;3-4-2;3-6-5;3-2-6;3-6-2;3-4-6;3-6-4,3-1-5;3-1-2;3-1-4;3-5-1;3-5-2;3-5-4,-0.5,-0.05,1,1,6,0.0,0.0,neutral,0.0,0.0,0,180,浜名湖,0.0,3-4m,左横_3-4m,neutral,1,25.974,1.0262,24.9478,77,backfill,3.0,1
