month,date,race_code,actual2,actual3,cond_rank,actual_second_regime,cond,p2,pair_rank,second_rank,third_rank,selected_SA,v96_rank
2026-05,2026-05-28,202605281008,6,1,1,OUTER,1>2:0.259808528883|1>3:0.02292129995|1>5:0.489220617431|1>6:0.228049553736|2>1:0.380107658571|2>3:0.0323992247428|2>5:0.400705001874|2>6:0.186788114812|3>1:0.294156282269|3>2:0.28419752129|3>5:0.287587607644|3>6:0.134058588797|5>1:0.0412054570006|5>2:0.00371553814573|5>3:0.000776121192737|5>6:0.954302883661|6>1:0.631589868795|6>2:0.0569511035864|6>3:0.0118962467103|6>5:0.299562780908,1:0.169427359264|2:0.3620067178|3:0.078553281606|5:0.115368748428|6:0.274643892902,1,2,1,1,3
2026-05,2026-05-30,202605301108,2,1,2,INNER,1>2:0.199323836465|1>3:0.0782526130467|1>5:0.716861930755|1>6:0.00556161973349|2>1:0.187382127065|2>3:0.127980280353|2>5:0.679366870244|2>6:0.00527072233819|3>1:0.163180166018|3>2:0.283885135022|3>5:0.548677899011|3>6:0.00425679994927|5>1:0.306719028509|5>2:0.500993329592|5>3:0.0608962762344|5>6:0.131391365664|6>1:0.305862134772|6>2:0.499593683641|6>3:0.0607261477688|6>5:0.133818033818,1:0.0755274511524|2:0.519477063253|3:0.0994177261134|5:0.210935475029|6:0.0946422844518,2,1,2,1,13
2026-05,2026-05-31,202605311208,1,2,3,INNER,1>2:0.26162709947|1>3:0.148831886902|1>5:0.302991710953|1>6:0.286549302675|2>1:0.296225952784|2>3:0.213567934779|2>5:0.251939025942|2>6:0.238267086494|3>1:0.263013904447|3>2:0.333333060677|3>5:0.207455496465|3>6:0.196197538412|5>1:0.113937523913|5>2:0.00170207656944|5>3:0.00111504247138|5>6:0.883245357046|6>1:0.906232344557|6>2:0.0135379178621|6>3:0.00886878631741|6>5:0.0713609512637,1:0.75687082143|2:0.0501295842578|3:0.0369762684898|5:0.0421892221125|6:0.11383410371,5,1,3,0,3
2026-06,2026-06-02,202606021007,5,2,1,OUTER,1>2:0.206639164436|1>3:0.234926063117|1>5:0.408056607468|1>6:0.150378164978|2>1:0.18571106743|2>3:0.338151692649|2>5:0.34792057443|2>6:0.12821666549|3>1:0.17762994849|3>2:0.28449288243|3>5:0.393034860434|3>6:0.144842308647|5>1:0.078795158556|5>2:0.799906453076|5>3:0.00701666888383|5>6:0.114281719484|6>1:0.081766844955|6>2:0.830074183818|6>3:0.00728129604964|6>5:0.0808776751778,1:0.133396820222|2:0.62394389627|3:0.0953076066644|5:0.0615849909297|6:0.0857666859138,8,5,1,1,3
2026-06,2026-06-04,202606040305,3,5,1,INNER,1>2:0.0559784387043|1>3:0.137171969625|1>5:0.559221503075|1>6:0.247628088596|2>1:0.189556603627|2>3:0.180731986205|2>5:0.436448335517|2>6:0.193263074651|3>1:0.18823156536|3>2:0.0732392626713|3>5:0.511869123907|3>6:0.226660048062|5>1:0.343178708679|5>2:0.00265406097189|5>3:0.00387601697462|5>6:0.650291213374|6>1:0.54255163909|6>2:0.00419596290249|6>3:0.00612782585148|6>5:0.447124572156,1:0.198598376359|2:0.0844352078876|3:0.168997909359|5:0.387050110705|6:0.160918395689,5,3,1,1,5
2026-06,2026-06-04,202606040506,2,6,1,INNER,1>2:0.679141999322|1>3:0.0311812059792|1>5:0.0682951659711|1>6:0.221381628728|2>1:0.38829729462|2>3:0.0940645808367|2>5:0.122040088387|2>6:0.395598036156|3>1:0.127376045382|3>2:0.67207416608|3>5:0.0472822861353|3>6:0.153267502403|5>1:0.131531338667|5>2:0.0146000530615|5>3:0.00573986725547|5>6:0.848128741016|6>1:0.810878289245|6>2:0.0900079492035|6>3:0.035385739914|6>5:0.0637280216379,1:0.0420872570452|2:0.429431173811|3:0.0424515670475|5:0.0459805303357|6:0.440049471761,2,2,1,1,2
2026-06,2026-06-04,202606041307,2,1,1,INNER,1>2:0.0999401786821|1>3:0.066967700745|1>5:0.642939253212|1>6:0.190152867361|2>1:0.441427229107|2>3:0.0667432867087|2>5:0.379569645973|2>6:0.112259838211|3>1:0.39345926186|3>2:0.0887816018808|3>5:0.399580867698|3>6:0.118178268562|5>1:0.539863466|5>2:0.0871980238853|5>3:0.151192997558|5>6:0.221745512557|6>1:0.0858608472364|6>2:0.0138681290357|6>3:0.0240460036362|6>5:0.876225020092,1:0.510506475407|2:0.0911527674726|3:0.109222854335|5:0.194177728348|6:0.0949401744376,11,5,1,0,8
2026-06,2026-06-06,202606060702,1,5,1,INNER,1>2:0.161517426411|1>3:0.101399355488|1>5:0.406273450182|1>6:0.33080976792|2>1:0.59199686054|2>3:0.0768965941711|2>5:0.182502864302|2>6:0.148603680987|3>1:0.535481374735|3>2:0.110794005212|3>5:0.194969737845|3>6:0.158754882208|5>1:0.59833404945|5>2:0.0543078807426|5>3:0.020543596221|5>6:0.326814473587|6>1:0.727193051724|6>2:0.066003787627|6>3:0.0249679262664|6>5:0.181835234382,1:0.337244546634|2:0.168041783326|3:0.0740656460674|5:0.37993555037|6:0.0407124736028,2,2,1,0,7
2026-06,2026-06-07,202606070908,5,1,3,OUTER,1>2:0.0735726846205|1>3:0.0596577209748|1>5:0.805312751138|1>6:0.0614568432668|2>1:0.575379871539|2>3:0.0442022683054|2>5:0.353444970291|2>6:0.0269728898641|3>1:0.533159451724|3>2:0.0505122773357|3>5:0.386809213673|3>6:0.0295190572673|5>1:0.129725805576|5>2:0.467040183663|5>3:0.00523019767133|5>6:0.398003813089|6>1:0.153008436355|6>2:0.550862551209|6>3:0.00616889110045|6>5:0.289960121336,1:0.278824609063|2:0.296696986448|3:0.0884475372837|5:0.2428860888|6:0.0931447784051,8,3,3,0,4
2026-06,2026-06-08,202606080910,6,5,1,OUTER,1>2:0.203981297751|1>3:0.0321518286377|1>5:0.291566631842|1>6:0.472300241769|2>1:0.5596639162|2>3:0.0292132746546|2>5:0.15692484761|2>6:0.254197961535|3>1:0.454802964099|3>2:0.150612456932|3>5:0.150612234463|3>6:0.243972344506|5>1:0.0806974566768|5>2:0.0498607032696|5>3:0.0468915099242|5>6:0.822550330129|6>1:0.00552837522504|6>2:0.00341582855284|6>3:0.00321241675271|6>5:0.987843379469,1:0.5631911445|2:0.0565003586981|3:0.0700255427189|5:0.232780587993|6:0.0775023660899,6,3,1,1,6
