grade,all_races,usable_races,coverage_pct,baseline_hits,baseline_hit_rate_pct,baseline_avg_comp,baseline_median_comp,replacement_hits,replacement_hit_rate_pct,replacement_avg_comp,replacement_median_comp
A,5229,5068,96.92101740294511,2518,49.68429360694554,1.405621060697645,1.3380315681088542,2104,41.515390686661405,1.7953744023732496,1.7251839278645202
S,3308,3203,96.82587666263603,1653,51.607867624102404,1.3744156795148916,1.3092620222756257,1371,42.80362160474555,1.7484619756225528,1.67921853933109
