actual_combo,coverage,date,head,head_hit,head_prob,invest,kelly_hit,kelly_invest,kelly_return,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
5-3-1,0.5789545067428464,2026-07-24,5,1,0.19943644454170764,2000,0,0,0,5頭展開,22060,202607241305,22060,58.575,1.507783421594608,0.1154646283761914,13.058401025482452,1,11,5
1-2-5,0.5280236400996112,2026-07-24,5,0,0.18309609544091052,2000,0,0,0,5頭展開,390,202607241311,0,57.447,2.410600481817472,0.0966790668027354,24.93404789204345,0,12,1
4-5-2,0.5455560663921954,2026-07-24,5,0,0.12904401074008798,2000,0,0,0,5頭展開,30260,202607241507,0,44.835,2.451377768425369,0.07040074289083462,34.82033949878263,0,10,4
1-4-2,0.5307080274723606,2026-07-24,5,0,0.1353385737609129,2000,0,0,0,5頭展開,580,202607241906,0,37.21,2.8227333771963283,0.07182526752157667,39.3000050622626,0,10,1
1-6-5,0.5824704927739298,2026-07-24,5,0,0.1899685812330094,2000,0,0,0,5頭展開,5150,202607242208,0,57.92533333333334,1.9552583964895978,0.1106510931223553,17.67048423396523,0,11,1
1-2-6,0.5692655036947887,2026-07-24,5,0,0.1309026350315535,2000,0,0,0,5頭展開,1200,202607242209,0,45.50533333333333,4.547719454093525,0.0745183544662124,61.02817871743962,0,11,1
1-2-3,0.5038088219879634,2026-07-25,3,0,0.16375603178049142,2000,0,0,0,3まくり,1070,202607250803,0,42.297999999999995,3.1260697351555375,0.08250173346475288,37.89095821230332,0,11,1
3-4-1,0.5479833354516824,2026-07-25,3,1,0.18120304367158377,2000,0,0,0,3まくり,6290,202607251305,12580,32.082,1.4629024804717146,0.09929624826515135,14.732706482175617,1,14,3
6-2-3,0.5039308070637203,2026-07-25,3,0,0.3121175623455816,2000,0,0,0,3まくり,39500,202607251706,0,89.55266666666667,1.3129904429372474,0.15728565509156997,8.347807955994709,0,8,6
3-1-4,0.5574619055273906,2026-07-25,3,1,0.21294203386738764,2000,0,0,0,3まくり,1920,202607252011,0,62.38933333333334,1.6481039418522525,0.11870707196659205,13.883789015671125,0,12,3
4-5-6,0.5081927940870757,2026-07-25,5,0,0.2072907628287893,2000,0,0,0,5頭展開,1200,202607250204,0,63.02766666666668,2.0346081673549197,0.10534367195040378,19.314004625857557,0,10,4
4-1-2,0.5358306243212677,2026-07-25,5,0,0.11575178728998219,2000,0,0,0,5頭展開,6970,202607250408,0,45.135,2.388235271557645,0.06202335244989374,38.50542057504885,0,11,4
1-4-3,0.5253430692090947,2026-07-25,5,0,0.11973224131529804,2000,0,0,0,5頭展開,1510,202607252012,0,51.12133333333334,2.291457884321217,0.06290050313586265,36.429881639766165,0,11,1
,0.5837919029039583,2026-07-25,5,0,0.20216372757762507,2000,0,1100,0,5頭展開,0,202607252412,0,63.51500000000001,3.773769246134913,0.11802154722069919,31.97525651038958,0,10,0
1-4-5,0.5306373911579731,2026-07-26,3,0,0.29845685708741765,2000,0,1500,0,3まくり,860,202607261211,0,75.26300000000002,4.7532152584497664,0.15837236801807533,30.012907667752202,0,12,1
2-4-3,0.5611920189094679,2026-07-26,3,0,0.17025743396953508,2000,0,0,0,3まくり差し,4450,202607260607,0,7.5969999999999995,1.7186854693615246,0.09554711310370881,17.987832531329627,0,7,2
4-6-2,0.5828449025012061,2026-07-26,5,0,0.09473273963264432,2000,0,0,0,5頭展開,6190,202607260312,0,41.705000000000005,2.3278057742666305,0.05521449439486072,42.15932428212725,0,10,4
1-4-3,0.5456078107908421,2026-07-26,5,0,0.17697447452027226,2000,0,0,0,5頭展開,2230,202607261706,0,75.38566666666665,2.4275666401907645,0.09655865560886541,25.140849620195837,0,10,1
1-3-2,0.5294535586379319,2026-07-26,5,0,0.09801410739644316,2000,0,0,0,5頭展開,1590,202607261712,0,45.75766666666667,2.8777497157831817,0.051893917957767266,55.4544699848097,0,8,1
1-5-2,0.5152076622543615,2026-07-27,3,0,0.15361505466776942,2000,0,0,0,3まくり,1530,202607272003,0,24.458333333333336,1.5329653397758929,0.07914365320245743,19.36940332858294,0,9,1
5-1-6,0.5818339982099021,2026-07-27,5,1,0.15679802195257758,2000,0,0,0,5頭展開,11860,202607270611,35580,64.79433333333334,1.4329493669705078,0.09123042002407222,15.706925021198053,1,10,5
1-2-4,0.5214283544709252,2026-07-27,5,0,0.08565734513725352,2000,0,0,0,5頭展開,1550,202607271012,0,43.611666666666665,1.2599040045980507,0.04466416852326621,28.208383728038026,0,9,1
5-4-1,0.5794772957767814,2026-07-27,5,1,0.14066845020535812,2000,0,0,0,5頭展開,2610,202607271406,0,67.92966666666665,1.2962759572457199,0.08151417312611176,15.902460977433122,0,11,5
5-1-3,0.5457530442116292,2026-07-27,5,1,0.09467878728235708,2000,0,0,0,5頭展開,30120,202607272011,90360,51.63066666666667,2.270274269534623,0.05167123638161166,43.93690626575659,1,11,5
4-5-1,0.5212985411736958,2026-07-28,3,0,0.22786514233204944,2000,0,0,0,3まくり,1230,202607281906,0,64.11666666666667,3.011456853550984,0.11878576628203392,25.35200089883547,0,12,4
1-4-3,0.5629080332572471,2026-07-28,3,0,0.17378699797767175,2000,0,0,0,3まくり,1020,202607281908,0,39.722,2.4205040004287723,0.0978260972372924,24.742927181869106,0,12,1
1-5-3,0.5680713860149701,2026-07-28,3,0,0.12693418955594885,2000,0,0,0,3まくり,2410,202607282012,0,20.56266666666667,1.2852894627777542,0.0721076809937348,17.824584635989456,0,13,1
3-1-6,0.5200003607635667,2026-07-28,3,1,0.2685535888557794,2000,0,0,0,3まくり,700,202607282406,0,71.42133333333334,1.9868497344392582,0.13964796308935584,14.227559718632936,0,11,3
1-2-3,0.5288442977036111,2026-07-28,3,0,0.21300805317830698,2000,0,0,0,3まくり,1250,202607282411,0,59.39766666666666,2.599985810084908,0.1126480942882952,23.08060182031026,0,9,1
1-2-3,0.5079544266657515,2026-07-28,5,0,0.1408086083419662,2000,0,0,0,5頭展開,1610,202607281511,0,52.091,1.4170278660843378,0.0715243559199458,19.81182280998598,0,11,1
1-2-5,0.5044584105998405,2026-07-28,5,0,0.21764779873536252,2000,0,0,0,5頭展開,900,202607281712,0,66.71499999999999,3.81916827553732,0.10979426262059497,34.784770937756896,0,11,1
1-3-4,0.5258187784337788,2026-07-28,5,0,0.10115160425355472,2000,0,0,0,5頭展開,1000,202607282007,0,43.16266666666667,1.4064013957027943,0.053187412985221165,26.442372673654607,0,10,1
1-5-3,0.5380191549933591,2026-07-28,5,0,0.2123219926558015,2000,0,0,0,5頭展開,2410,202607282012,0,58.494666666666674,3.6007851338051946,0.11423329907518051,31.521326644303645,0,11,1
1-6-5,0.5006536186973146,2026-07-29,3,0,0.15976299253239182,2000,0,0,0,3まくり,5840,202607291805,0,45.741,1.7487274348670536,0.07998592034525402,21.86294071905137,0,9,1
1-3-4,0.5098436916056609,2026-07-29,3,0,0.2826674994798412,2000,0,0,0,3まくり,350,202607291908,0,72.84266666666669,2.343044397747134,0.14411624143174348,16.25801765623238,0,12,1
1-3-5,0.519217481086629,2026-07-29,3,0,0.21400947912108353,2000,0,0,0,3まくり,700,202607292305,0,61.35433333333333,1.6355489420567142,0.11111746267791052,14.719099074441441,0,11,1
3-1-6,0.5188189737686234,2026-07-29,3,1,0.2100879600243592,2000,0,0,0,3まくり,2300,202607292405,0,54.663666666666664,1.7608564918992944,0.10899761982098162,16.154999483395475,0,13,3
1-2-3,0.5601291213570346,2026-07-29,5,0,0.17965072323440484,2000,0,1000,0,5頭展開,500,202607290410,0,56.76566666666667,6.897794826277493,0.10062760175644299,68.54774143353606,0,10,1
3-1-2,0.566098513761229,2026-07-29,5,0,0.1240601490783244,2000,0,0,0,5頭展開,3410,202607291111,0,41.10366666666667,1.6724358928023424,0.07023026601023595,23.813606124723883,0,9,3
1-3-4,0.5481816385193705,2026-07-29,5,0,0.1201465909223908,2000,0,0,0,5頭展開,2350,202607291904,0,47.46333333333334,2.0015420301438556,0.06586215507435271,30.389865437659708,0,11,1
1-2-5,0.5203850051497855,2026-07-29,5,0,0.22367731377946706,2000,0,0,0,5頭展開,1380,202607292410,0,62.795,3.324074320135933,0.11639832008301815,28.557751673435845,0,13,1
3-4-1,0.5289994790907575,2026-07-30,3,1,0.2717208925065097,2000,0,0,0,3まくり,2700,202607300804,0,71.556,1.3218928145694941,0.14374021059401934,9.196402378336954,0,11,3
4-1-2,0.5318397342718644,2026-07-30,3,0,0.23131561594548514,2000,0,0,0,3まくり,6780,202607302206,0,64.81566666666669,1.6549686471029539,0.12302283571737944,13.452532104729856,0,11,4
2-4-1,0.5208094630613829,2026-07-30,5,0,0.1431182549269255,2000,0,0,0,5頭展開,4880,202607300412,0,53.920333333333325,3.48273816457598,0.07453734150277419,46.724743522632295,0,11,2
5-6-3,0.5412244576749161,2026-07-30,5,1,0.1505949173229282,2000,0,0,0,5頭展開,25950,202607301106,0,54.721,2.2936503346319026,0.08150565245670065,28.140997163974482,0,9,5
1-2-5,0.517277925111743,2026-07-30,5,0,0.20873305482568932,2000,0,0,0,5頭展開,1040,202607301109,0,63.20500000000001,2.3913784654609427,0.10797300150246826,22.14792987306439,0,11,1
4-2-1,0.5019941168975687,2026-07-30,5,0,0.2083699066771925,2000,0,0,0,5頭展開,6070,202607301609,0,63.65766666666668,1.2917167695443648,0.10460046729044604,12.349053527243154,0,11,4
1-2-4,0.5606283704863442,2026-07-30,5,0,0.11963506121024417,2000,0,0,0,5頭展開,1690,202607301802,0,49.282000000000004,3.000716232688143,0.06707080941933323,44.73952616148365,0,11,1
1-3-4,0.5797892512870519,2026-07-30,5,0,0.13742891787698455,2000,0,0,0,5頭展開,930,202607301912,0,53.20866666666667,1.8629991122958938,0.07967980940108663,23.381068884314967,0,11,1
1-2-5,0.5834002450437998,2026-07-30,5,0,0.2030420696179779,2000,0,0,0,5頭展開,570,202607302408,0,67.09633333333333,2.1803037417653073,0.11845479316932858,18.406209520357777,0,13,1
2-3-4,0.518896052875206,2026-07-31,3,0,0.27249161569663527,2000,0,900,0,3まくり差し,13790,202607310803,0,71.028,2.0090332135274904,0.14139482382657156,14.208675813986508,0,7,2
1-4-6,0.5248769216438965,2026-07-31,3,0,0.28965571863277534,2000,0,0,0,3まくり,7070,202607311007,0,73.49133333333334,1.2201539736381537,0.15203360193252177,8.025554601934012,0,11,1
2-1-3,0.5795605687543737,2026-07-31,3,0,0.1990012325103429,2000,0,0,0,3まくり,7380,202607311507,0,51.49566666666668,1.868216754371238,0.11533326749651569,16.198420411766087,0,12,2
2-3-1,0.58920038347045,2026-07-31,3,0,0.16541893213292747,2000,0,0,0,3まくり,30920,202607311612,0,42.28900000000001,2.030382442137327,0.0974648982459932,20.831935175398353,0,12,2
3-4-1,0.5214372380911454,2026-07-31,3,1,0.21261754065834815,2000,0,0,0,3まくり,5110,202607312009,0,61.58933333333335,1.2349726089545492,0.11086670317062088,11.139256184554885,0,13,3
1-3-6,0.5163528213113043,2026-07-31,3,0,0.2009904612688246,2000,0,0,0,3まくり,870,202607312010,0,51.74933333333333,1.4541291284825373,0.10378199173281803,14.011381976808904,0,12,1
4-1-2,0.5323460577020557,2026-07-31,5,0,0.11824823497465432,2000,0,0,0,5頭展開,9230,202607310112,0,41.561666666666675,2.102470542059421,0.06294898171898357,33.39959574636578,0,9,4
4-1-5,0.545278784658491,2026-07-31,5,0,0.2022890176866641,2000,0,0,0,5頭展開,2800,202607310511,0,64.649,2.6784709358254917,0.11030390971394419,24.28264730390504,0,12,4
3-5-6,0.517849914222836,2026-07-31,5,0,0.12413049439282092,2000,0,0,0,5頭展開,20940,202607311005,0,40.742333333333335,2.6651168473256712,0.06428096587376055,41.46043562194778,0,7,3
1-2-3,0.5222859683233947,2026-07-31,5,0,0.15919517992371895,2000,0,0,0,5頭展開,1210,202607311103,0,25.783666666666665,4.0231917417544505,0.0831454086988766,48.38741915774369,0,10,1
1-4-5,0.5331910880110389,2026-07-31,5,0,0.21375554970838373,2000,0,0,0,5頭展開,2670,202607311104,0,60.191666666666656,2.9328013988089596,0.11397255411741082,25.732523251059927,0,11,1
1-4-3,0.5065042521726336,2026-07-31,5,0,0.11673279503947302,2000,0,0,0,5頭展開,1340,202607311312,0,44.935,2.3262988057958958,0.0591256570554896,39.344997106969274,0,11,1
1-2-4,0.5622825541989787,2026-07-31,5,0,0.2038706007663932,2000,0,1000,0,5頭展開,1080,202607311511,0,58.524333333333345,4.365555350439159,0.11463288212500783,38.08292410966772,0,10,1
1-5-2,0.5133997578752667,2026-07-31,5,0,0.1355500099661784,2000,0,0,0,5頭展開,1940,202607312202,0,38.449333333333335,1.521697379952429,0.06959134229662597,21.866188087971484,0,10,1
5-1-4,0.5244040567924114,2026-07-31,5,1,0.1193888088518291,2000,0,0,0,5頭展開,18450,202607312304,55350,45.736333333333334,1.9371100686129064,0.06260797569751295,30.940308275928757,1,9,5
1-3-4,0.5083017305206812,2026-08-01,3,0,0.178680625330493,2000,0,0,0,3まくり,610,202608010811,0,36.14433333333333,1.274635146132861,0.09082367106600706,14.034173373222346,0,11,1
2-1-4,0.5141574689010057,2026-08-01,3,0,0.1692099835944421,2000,0,0,0,3まくり,10260,202608011805,0,26.740000000000002,1.450959024084932,0.08700057687769903,16.677579346681988,0,9,2
3-6-4,0.5072838598895408,2026-08-01,5,0,0.15082857313494039,2000,0,0,0,5頭展開,91580,202608010505,0,50.733000000000004,1.2243176876846158,0.07651290076152446,16.001454336446756,0,11,3
1-4-6,0.5492406482378898,2026-08-01,5,0,0.19684543440746094,2000,0,0,0,5頭展開,970,202608011005,0,59.466333333333345,3.1472789433755493,0.10811551399662285,29.110336038118074,0,11,1
1-4-6,0.5162018447711433,2026-08-01,5,0,0.15079178976582536,2000,0,0,0,5頭展開,4860,202608011109,0,50.70500000000001,3.660133053586119,0.07783900005346145,47.021840607822085,0,10,1
5-2-1,0.5316670788861947,2026-08-01,5,1,0.14887039544557462,2000,0,0,0,5頭展開,12310,202608011112,24620,49.63166666666667,2.1445244754695536,0.07914948827918132,27.094609480041672,1,9,5
4-6-5,0.5183880086325475,2026-08-01,5,0,0.14794375788886607,2000,0,0,0,5頭展開,2310,202608011308,0,26.351000000000003,2.7454074248282136,0.07669227004162503,35.79770716576955,0,9,4
5-4-1,0.5508344289694472,2026-08-01,5,1,0.20598603922031833,2000,0,0,0,5頭展開,1220,202608011603,0,71.203,1.2661798506035784,0.1134642022896022,11.159289230023612,0,12,5
1-4-6,0.5658162124165256,2026-08-01,5,0,0.1589505725905501,2000,0,0,0,5頭展開,1060,202608011607,0,53.156333333333336,3.23989917697607,0.08993681094462307,36.024172337742534,0,9,1
1-5-6,0.5235663438731358,2026-08-01,5,0,0.20403991707405827,2000,0,0,0,5頭展開,1640,202608012003,0,72.79466666666667,1.8682226504791988,0.10682843338664251,17.488065595023464,0,12,1
5-4-6,0.5083058980527853,2026-08-01,5,1,0.1956295874659866,2000,0,0,0,5頭展開,12730,202608012012,0,75.23333333333333,2.684146610199715,0.09943967314259422,26.992713525422694,0,12,5
1-6-2,0.5640858201955898,2026-08-02,3,0,0.20524759537054577,2000,0,0,0,3まくり,25400,202608020612,0,52.584666666666664,2.095546243195199,0.11577725817776685,18.099808858641765,0,13,1
1-3-5,0.500301305789793,2026-08-02,3,0,0.17548916540105242,2000,0,0,0,3まくり,830,202608021307,0,48.34800000000001,2.6178123252082766,0.0877974586021075,29.81649317518444,0,12,1
5-4-1,0.5268580647299055,2026-08-02,5,1,0.25131504310702407,2000,0,1100,0,5頭展開,7510,202608020110,0,72.13366666666667,3.5486934215517585,0.13240735724887948,26.801331098856217,0,10,5
1-3-2,0.5267609367363337,2026-08-02,5,0,0.20503177010901294,2000,0,0,0,5頭展開,2830,202608020512,0,65.70366666666668,5.391912875423672,0.10800272728333228,49.923858508485914,0,11,1
4-2-5,0.5019941168975688,2026-08-02,5,0,0.20331943550072892,2000,0,0,0,5頭展開,5280,202608020609,0,64.80233333333334,3.2519205112950766,0.10206516047230062,31.8612197957364,0,11,4
1-2-4,0.5078350309282986,2026-08-02,5,0,0.1616902364025355,2000,0,0,0,5頭展開,560,202608020810,0,32.830999999999996,3.9925995363060753,0.08211196620428553,48.6238452307052,0,10,1
1-4-2,0.5104032374814451,2026-08-02,5,0,0.15908345817524328,2000,0,0,0,5頭展開,2370,202608021103,0,48.35033333333333,4.131593448166757,0.08119671208238824,50.88375307579614,0,8,1
1-2-3,0.5715490420925446,2026-08-02,5,0,0.12681394763500975,2000,0,0,0,5頭展開,930,202608021112,0,42.25833333333333,3.3787305281393096,0.07248039029476394,46.61578827595514,0,11,1
1-3-5,0.5225200952089046,2026-08-02,5,0,0.13601390815255007,2000,0,0,0,5頭展開,2200,202608022206,0,38.224000000000004,1.235071199507836,0.07107000023760568,17.378235477397897,0,12,1
2-3-5,0.5174728936580417,2026-08-03,3,0,0.2126729647677007,2000,0,0,0,3まくり,1580,202608030102,0,54.074,1.6783874615076002,0.11005249448117684,15.250789810990321,0,8,2
1-3-4,0.5081221824346493,2026-08-03,3,0,0.31182409640812564,2000,0,0,0,3まくり,610,202608030411,0,82.21433333333336,1.7463949127175418,0.1584447404026093,11.022107191945524,0,11,1
1-6-3,0.5159422352239023,2026-08-03,5,0,0.16137901419949566,2000,0,0,0,5頭展開,5730,202608030611,0,50.869,5.015156308588209,0.08326224930431765,60.233255172559254,0,10,1
4-5-6,0.5136213012172901,2026-08-03,5,0,0.26969018089784336,2000,0,1100,0,5頭展開,7090,202608031304,0,72.271,3.5621912132479894,0.13851862163827666,25.71633453406855,0,10,4
5-4-6,0.5004648416189458,2026-08-03,5,1,0.1953429416066207,2000,0,0,0,5頭展開,9050,202608031707,27150,61.86833333333334,2.5180975415749325,0.0977622743325364,25.75735434519122,1,10,5
6-1-2,0.5620680126719043,2026-08-03,5,0,0.2284705352373103,2000,0,0,0,5頭展開,7610,202608032006,0,68.752,2.3084049785741727,0.1284159796949213,17.975994763722287,0,11,6
1-3-2,0.5497207755091897,2026-08-03,5,0,0.1337947998567778,2000,0,0,0,5頭展開,1170,202608032010,0,44.980000000000004,3.02290914449668,0.07354978113636472,41.100178651681716,0,10,1
1-3-6,0.5124882173937,2026-08-04,3,0,0.21794875102230635,2000,0,0,0,3まくり,1110,202608040503,0,60.089,1.620482085416749,0.11169616689460513,14.507947143305394,0,9,1
4-5-2,0.5186248359795265,2026-08-04,3,0,0.22690701329319354,2000,0,0,0,3まくり,16220,202608040612,0,63.795000000000016,4.919939229158056,0.11767961255178673,41.807914918082865,0,11,4
3-4-5,0.5083116969931646,2026-08-04,3,1,0.21407434324839142,2000,0,0,0,3まくり,5650,202608041706,0,56.95433333333334,1.3009356952710185,0.10881649269928705,11.955317277741504,0,13,3
1-2-4,0.52347660230125,2026-08-04,5,0,0.20891080947086932,2000,0,0,0,5頭展開,2710,202608041004,0,60.37833333333333,2.888504123759015,0.10935992072581448,26.412822033778067,0,11,1
2-4-1,0.5227711152056936,2026-08-04,5,0,0.20269359170186563,2000,0,0,0,5頭展開,11670,202608041005,0,65.11300000000001,2.5309309858171276,0.10596235497903182,23.885190040538042,0,12,2
4-1-3,0.5267425939535086,2026-08-04,5,0,0.2503697725961891,2000,0,1200,0,5頭展開,2590,202608041208,0,71.08900000000001,5.919485458540986,0.13188042346486673,44.88524758276919,0,10,4
1-3-6,0.5184771486400503,2026-08-04,5,0,0.1597313210745614,2000,0,0,0,5頭展開,3250,202608041212,0,52.77299999999999,3.6871970173571524,0.08281703989924698,44.52220245788667,0,12,1
1-3-6,0.5136638442980827,2026-08-05,3,0,0.2179996631888598,2000,0,0,0,3まくり,580,202608050609,0,54.95633333333335,1.2478618377662005,0.11197854504927694,11.143758272775113,0,12,1
3-1-4,0.5307895409185086,2026-08-05,3,1,0.30648143637331965,2000,0,0,0,3まくり,1720,202608051707,0,76.08033333333334,2.234478366964384,0.16267714091263943,13.735662886799439,0,12,3
5-1-3,0.5453397201719724,2026-08-05,5,1,0.1906359068253955,2000,0,0,0,5頭展開,20600,202608050407,41200,78.85233333333333,1.5113800749843185,0.10396133208289138,14.537906014702191,1,9,5
1-2-6,0.530129322535943,2026-08-05,5,0,0.2429168950710657,2000,0,1000,0,5頭展開,1970,202608050610,0,75.00633333333334,3.459820689319588,0.1287773690165588,26.866682521481767,0,9,1
1-4-3,0.528504615478074,2026-08-05,5,0,0.18964634502472433,2000,0,0,0,5頭展開,1210,202608050611,0,63.88100000000001,2.609232271437686,0.10022896865411408,26.0327159550253,0,12,1
2-4-1,0.5077961166159184,2026-08-05,5,0,0.17259334538367796,2000,0,0,0,5頭展開,5100,202608050907,0,56.44533333333334,2.004729866880699,0.08764223053958162,22.87401694980034,0,12,2
4-1-3,0.5188664396895217,2026-08-05,5,0,0.17402459177404775,2000,0,0,0,5頭展開,3950,202608051402,0,56.82966666666667,2.0956457494477694,0.09029552035222259,23.208745475668394,0,11,4
1-3-2,0.5020263153846245,2026-08-05,5,0,0.14566156724738968,2000,0,0,0,5頭展開,1000,202608051712,0,31.955,3.0596050081342017,0.07312593989835674,41.840214462706086,0,13,1
1-3-4,0.5008468152787097,2026-08-05,5,0,0.15504527807702848,2000,0,0,0,5頭展開,1230,202608052110,0,53.308,1.9056910029902747,0.07765393374888166,24.540817328751483,0,10,1
1-5-6,0.5047903111032491,2026-08-06,3,0,0.22329355908320017,2000,0,900,0,3まくり,2080,202608060211,0,63.147666666666666,4.1430284300284965,0.11271642515696036,36.75620854954572,0,9,1
5-1-3,0.5097627092798167,2026-08-06,3,0,0.2262863312645052,2000,0,0,0,3まくり,3180,202608061204,0,63.59600000000001,1.5867398404544923,0.11535233329838426,13.75559379757009,0,10,5
4-5-1,0.541191835134279,2026-08-06,5,0,0.13835287909674945,2000,0,0,0,5頭展開,3570,202608060404,0,46.72833333333334,1.41277997204926,0.07487544853448087,18.868400786923647,0,9,4
1-3-4,0.5059595504164206,2026-08-06,5,0,0.19609431880054085,2000,0,0,0,5頭展開,1530,202608061012,0,62.021,3.214138680830133,0.0992157933795359,32.3954339460342,0,11,1
4-5-1,0.5237088554616326,2026-08-06,5,0,0.16288501168599093,2000,0,0,0,5頭展開,2400,202608061210,0,55.401,2.3243280195952565,0.08530432304192496,27.247482152257472,0,12,4
1-3-2,0.5032587630179519,2026-08-06,5,0,0.12048959906381161,2000,0,0,0,5頭展開,2940,202608061408,0,39.60033333333333,1.2006963608690784,0.06063744658138281,19.80123551636691,0,9,1
1-3-4,0.5170839156673794,2026-08-06,5,0,0.13733547174670635,2000,0,0,0,5頭展開,1380,202608061810,0,46.650000000000006,3.3550278073609654,0.07101396349081368,47.244621232766,0,8,1
1-2-5,0.5158262319151009,2026-08-06,5,0,0.1488952003386054,2000,0,0,0,5頭展開,890,202608061912,0,48.58866666666667,2.133271023569131,0.07680405014090688,27.775501678041348,0,12,1
3-4-6,0.5051550536798756,2026-08-07,3,1,0.2728981768997983,2000,0,0,0,3まくり,15920,202608071003,31840,70.79866666666668,1.9734157203728315,0.13785589320095779,14.315062450729679,1,13,3
2-1-3,0.5200416287808078,2026-08-07,3,0,0.21450406252672838,2000,0,0,0,3まくり,27720,202608071707,0,53.085666666666675,3.7929577166073067,0.11155104205650007,34.00199269036135,0,11,2
5-2-1,0.5159189418620568,2026-08-07,5,1,0.14246476361378593,2000,0,0,0,5頭展開,6090,202608070401,0,49.995000000000005,1.3302102169618764,0.07350027009625248,18.09803168369172,0,12,5
4-6-5,0.5507184256606458,2026-08-07,5,0,0.17120675548462003,2000,0,0,0,5頭展開,8050,202608071802,0,58.294000000000004,3.7284636609863817,0.09428671484295707,39.54389191729153,0,9,4
5-1-2,0.5212652023208946,2026-08-07,5,1,0.1644538221124951,2000,0,0,0,5頭展開,1330,202608072002,0,57.58000000000001,1.342281657768359,0.08572405485591417,15.658168060580886,0,11,5
1-5-2,0.5083036002740766,2026-08-07,5,0,0.2384614771107752,2000,0,0,0,5頭展開,1920,202608072006,0,71.292,3.1748244962749395,0.12121082734208134,26.192581685091103,0,11,1
5-4-2,0.5339160519862078,2026-08-07,5,1,0.1845759614499591,2000,0,0,0,5頭展開,26400,202608072402,26400,65.94166666666668,1.8028598490959988,0.09854806862892067,18.29421798091858,1,13,5
1-3-6,0.587971210461052,2026-08-08,3,0,0.31162180742711815,2000,0,0,0,3まくり,490,202608080508,0,75.91766666666666,1.2443094905991996,0.18322465131898352,6.791168555332267,0,13,1
3-1-6,0.5803851711925442,2026-08-08,3,1,0.20949579330573104,2000,0,0,0,3まくり,3440,202608081203,0,52.40600000000001,1.929625237297202,0.12158825186186456,15.8701618597941,0,11,3
1-3-4,0.5271780778229163,2026-08-08,3,0,0.272849291206151,2000,0,0,0,3まくり,490,202608081706,0,70.24600000000002,1.882793802447176,0.14384016487340381,13.089485847741171,0,10,1
3-1-5,0.5169254197874421,2026-08-08,3,1,0.28948303727864316,2000,0,0,0,3まくり差し,1110,202608081902,0,72.84100000000001,1.2002891983760156,0.14964114056660638,8.02111768081424,0,12,3
5-4-1,0.530757050038717,2026-08-08,5,1,0.11260245882342122,2000,0,0,0,5頭展開,8500,202608080405,0,42.349666666666664,1.6290875541278156,0.05976454887222515,27.25842635591138,0,10,5
1-3-5,0.5156094616412964,2026-08-08,5,0,0.1713673375472605,2000,0,0,0,5頭展開,3460,202608080412,0,54.66966666666666,2.31397145818359,0.0883586206556453,26.18840630391562,0,11,1
1-2-5,0.5371135441924975,2026-08-08,5,0,0.2127606005263772,2000,0,0,0,5頭展開,4060,202608081007,0,67.449,2.4186275469148493,0.1142766002132466,21.164678879154206,0,11,1
3-1-6,0.5474555798942587,2026-08-08,5,0,0.1396842748467142,2000,0,0,0,5頭展開,23420,202608081210,0,35.473000000000006,2.3210450847273942,0.07647093568831693,30.351990123248857,0,11,3
2-1-4,0.5460086597658356,2026-08-08,5,0,0.17462223089656698,2000,0,0,0,5頭展開,4140,202608081405,0,55.72966666666667,1.9579141424121518,0.09534525025715482,20.534994004750935,0,10,2
4-6-1,0.5426610230065834,2026-08-08,5,0,0.20749950103933212,2000,0,0,0,5頭展開,49660,202608081612,0,65.855,4.275242151062126,0.11260189150735958,37.9677649623026,0,13,4
5-2-1,0.5182724293773276,2026-08-08,5,1,0.17437632370247036,2000,0,0,0,5頭展開,17620,202608081710,0,55.60433333333334,2.4349837475901137,0.0903744409111666,26.94327868632213,0,10,5
4-5-1,0.5238793940333492,2026-08-08,5,0,0.20092962733841901,2000,0,0,0,5頭展開,9490,202608081807,0,60.234,2.5898819201321497,0.10526289141339762,24.60394052792013,0,8,4
1-3-5,0.5904725810898926,2026-08-08,5,0,0.13765218003646948,2000,0,0,0,5頭展開,1270,202608081808,0,46.658,2.1293153997516514,0.08127983803878473,26.19733812382346,0,12,1
1-3-5,0.5085599493172663,2026-08-09,3,0,0.1889830566309158,2000,0,0,0,3まくり,1150,202608091208,0,49.29900000000001,1.7665321677093702,0.09610921370204062,18.380466343070943,0,13,1
3-1-4,0.5300552809533434,2026-08-09,3,1,0.18086767758210023,2000,0,0,0,3まくり,1940,202608091311,0,35.296,1.5001972741837615,0.09586986765615887,15.64826687321901,0,14,3
1-4-5,0.5775583053951057,2026-08-09,5,0,0.19291798639721938,2000,0,0,0,5頭展開,1570,202608090502,0,58.401,1.2515259309844946,0.11142138530381407,11.23236735544028,0,12,1
2-4-1,0.5461439624434481,2026-08-09,5,0,0.2576235837180376,2000,0,1100,0,5頭展開,7320,202608090503,0,73.013,3.5405599018209934,0.14069956483065044,25.163971943214616,0,11,2
2-4-5,0.5086369754210656,2026-08-09,5,0,0.18867859929910172,2000,0,0,0,5頭展開,2610,202608090506,0,57.67966666666666,3.529324253822957,0.09596891207417828,36.77570348088346,0,10,2
