month,variant,race_code,p,head_hit,hist_n,player_st_bias,player_pred_actual_st
2026-07,CURRENT,202607010201,0.23184919357169917,0,32,0.08817534705261484,0.09817534705261484
2026-07,CURRENT,202607010202,0.3181104694735924,1,29,0.088804219902816,0.258804219902816
2026-07,CURRENT,202607010203,0.3448732784724601,0,19,0.07321946814516632,0.08321946814516631
2026-07,CURRENT,202607010204,0.528746884636383,1,38,0.09652842867103799,0.176528428671038
2026-07,CURRENT,202607010205,0.5367153313428404,1,49,0.09836211146118345,0.08836211146118346
2026-07,CURRENT,202607010206,0.22359380652332586,0,38,0.046111762004371316,0.11611176200437132
2026-07,CURRENT,202607010207,0.6048332015628433,1,40,0.07526729152419646,0.13526729152419648
2026-07,CURRENT,202607010208,0.34721786963141604,1,41,0.0657522465923495,0.1157522465923495
2026-07,CURRENT,202607010209,0.4601403367726962,0,20,0.08111215254032747,0.04111215254032747
2026-07,CURRENT,202607010210,0.5872812172343842,1,24,0.10715778165323009,0.027157781653230087
2026-07,CURRENT,202607010211,0.540705297941522,1,45,0.09206117411290589,0.07206117411290588
2026-07,CURRENT,202607010212,0.4827423707445221,0,41,0.12379146227862396,0.16379146227862396
2026-07,CURRENT,202607010501,0.5853948779552873,1,38,0.0692367620043713,0.1992367620043713
2026-07,CURRENT,202607010502,0.7071492305823461,1,26,0.0348156826724951,0.014815682672495101
2026-07,CURRENT,202607010503,0.48372437395391593,0,29,0.06906063015922624,0.16906063015922623
2026-07,CURRENT,202607010504,0.5100537755606861,1,18,0.032977306293207984,0.262977306293208
2026-07,CURRENT,202607010505,0.8005061647017958,0,42,0.059487780311727384,0.04948778031172738
2026-07,CURRENT,202607010506,0.39396487692849835,1,34,0.03416737673204145,0.29416737673204146
2026-07,CURRENT,202607010507,0.5158004757600959,1,26,0.0548156826724951,0.3048156826724951
2026-07,CURRENT,202607010508,0.5864333980962365,1,19,0.08459877848999392,0.09459877848999391
2026-07,CURRENT,202607010509,0.8145128315171458,1,42,0.10660316492711204,0.07660316492711204
2026-07,CURRENT,202607010510,0.649046926473832,0,34,0.06530374036840508,0.2053037403684051
2026-07,CURRENT,202607010511,0.7168462401730437,1,34,0.11598555855022327,0.29598555855022324
2026-07,CURRENT,202607010512,0.8688516281495845,1,44,0.08506230696684858,0.12506230696684859
2026-07,CURRENT,202607010601,0.5057267919950583,1,30,0.06558411440524561,0.25558411440524564
2026-07,CURRENT,202607010602,0.3514880827774474,0,13,0.0640593294004271,0.2140593294004271
2026-07,CURRENT,202607010603,0.8432777981998616,1,46,0.09881008171803259,0.13881008171803258
2026-07,CURRENT,202607010604,0.18445990443411772,0,36,0.07137749078717008,0.28137749078717006
2026-07,CURRENT,202607010605,0.3008161369785545,1,21,0.07010853471644592,0.04010853471644592
2026-07,CURRENT,202607010606,0.3355118972253981,1,31,0.10691133112706888,0.19691133112706888
2026-07,CURRENT,202607010607,0.3672668690523762,1,29,0.07470165580025188,0.3147016558002519
2026-07,CURRENT,202607010608,0.23197371291326088,0,23,0.08888983564272193,0.21888983564272194
2026-07,CURRENT,202607010609,0.5635942957968078,0,35,0.07096365724910719,0.3509636572491072
2026-07,CURRENT,202607010610,0.5094899846191286,1,25,0.10238184503456638,0.2623818450345664
2026-07,CURRENT,202607010611,0.36110094094209105,0,26,0.04898234933916177,0.15898234933916178
2026-07,CURRENT,202607010612,0.9004759860075447,1,35,0.10140810169355166,0.33140810169355167
2026-07,CURRENT,202607010701,0.4255907990036214,1,34,0.10325828582295055,0.17325828582295055
2026-07,CURRENT,202607010702,0.4445630375764174,1,14,0.0876401906754093,0.2076401906754093
2026-07,CURRENT,202607010703,0.20084047481094625,0,29,0.03675293785153393,0.13675293785153395
2026-07,CURRENT,202607010704,0.48507467502379154,0,40,0.06206729152419646,0.31206729152419643
2026-07,CURRENT,202607010705,0.5140050176945289,0,49,0.03361634874931904,0.21361634874931903
2026-07,CURRENT,202607010706,0.530579780089434,0,25,0.08638184503456639,0.23638184503456638
2026-07,CURRENT,202607010707,0.7264977081722952,1,27,0.023874718275941176,0.12387471827594118
2026-07,CURRENT,202607010708,0.6973213621975717,1,25,0.06495327360599497,0.18495327360599495
2026-07,CURRENT,202607010709,0.7149818906915723,1,46,0.08863151028946115,0.02863151028946115
2026-07,CURRENT,202607010710,0.6805474788444682,1,35,0.055630323915773855,0.16563032391577387
2026-07,CURRENT,202607010711,0.6976696668931399,1,0,0.06933645762098235,0.22933645762098237
2026-07,CURRENT,202607010712,0.7485582864028069,0,44,0.07246971437425599,0.162469714374256
2026-07,CURRENT,202607010801,0.8150900826994566,1,50,0.04055607627016373,0.07055607627016372
2026-07,CURRENT,202607010802,0.3061470201100135,0,33,0.09100847851650751,0.11100847851650751
2026-07,CURRENT,202607010803,0.36641105520996337,1,17,0.02012461393369717,0.050124613933697174
2026-07,CURRENT,202607010804,0.6663315890953261,1,27,0.07306390746513036,0.23306390746513037
2026-07,CURRENT,202607010805,0.45141351682345815,1,44,0.07450675141129304,0.17450675141129304
2026-07,CURRENT,202607010806,0.5763337408901591,1,49,0.07717567078321735,0.12717567078321734
2026-07,CURRENT,202607010807,0.15126551259632,0,34,0.032349194913859625,0.13234919491385963
2026-07,CURRENT,202607010808,0.4919376206661632,0,23,0.07161710836999466,0.18161710836999467
2026-07,CURRENT,202607010809,0.7236043878263541,1,41,0.058497344631565175,0.09849734463156518
2026-07,CURRENT,202607010810,0.7029842276588498,1,42,0.066603164927112,0.066603164927112
2026-07,CURRENT,202607010811,0.7087169539891536,1,38,0.04298676200437133,0.11298676200437133
2026-07,CURRENT,202607010812,0.8430713424140905,1,41,0.0690855799256828,0.1690855799256828
2026-07,CURRENT,202607011001,0.8142959835192574,1,41,0.06830126620019264,0.08830126620019264
2026-07,CURRENT,202607011002,0.7560578369958233,0,41,0.0806542073766632,0.12065420737666321
2026-07,CURRENT,202607011003,0.6443885072581503,1,34,0.08348555855022326,0.11348555855022326
2026-07,CURRENT,202607011004,0.6751158434591491,1,43,0.09308235049452498,0.11308235049452499
2026-07,CURRENT,202607011005,0.6925374651043618,1,37,0.02836945906829412,0.08836945906829412
2026-07,CURRENT,202607011006,0.2633348101110479,1,30,0.06658411440524559,0.1665841144052456
2026-07,CURRENT,202607011007,0.36809764580547416,0,24,0.06627542871205362,0.34627542871205363
2026-07,CURRENT,202607011009,0.2676572413153843,0,28,0.054825383584469034,0.054825383584469034
2026-07,CURRENT,202607011010,0.4656518961835383,1,35,0.04540810169355163,0.03540810169355163
2026-07,CURRENT,202607011011,0.5302763274529968,1,42,0.09044931877326584,0.12044931877326584
2026-07,CURRENT,202607011012,0.299207364700914,0,20,0.0644454858736608,0.24444548587366077
2026-07,CURRENT,202607011101,0.32379372874970136,0,27,0.0590098534110763,-0.030990146588923698
2026-07,CURRENT,202607011102,0.2974842838781224,0,31,0.11276498966365422,0.19276498966365424
2026-07,CURRENT,202607011103,0.6613586765555428,0,25,0.08181041646313779,0.0718104164631378
2026-07,CURRENT,202607011104,0.7185091079857933,1,33,0.08472940874906565,0.06472940874906565
2026-07,CURRENT,202607011105,0.11849232431554578,0,34,0.05325828582295053,0.31325828582295057
2026-07,CURRENT,202607011106,0.7976168526455873,1,29,0.07162473272332882,0.10162473272332882
2026-07,CURRENT,202607011107,0.34686940696381274,1,35,0.04874143502688497,0.17874143502688497
2026-07,CURRENT,202607011108,0.21248100108115006,0,26,0.11703790489471731,0.18703790489471733
2026-07,CURRENT,202607011109,0.6632820460342111,1,22,0.06166764300655699,0.181667643006557
2026-07,CURRENT,202607011110,0.7928997239793012,1,40,0.09366729152419648,0.17366729152419647
2026-07,CURRENT,202607011111,0.5360709572321738,1,42,0.11352624185018895,0.13352624185018894
2026-07,CURRENT,202607011112,0.8163533051368007,1,45,0.08751571956745133,0.15751571956745133
2026-07,CURRENT,202607011601,0.6103646221407699,0,38,0.02215342867103799,0.17215342867103797
2026-07,CURRENT,202607011602,0.6024997361261244,0,18,0.006191592007493696,0.0461915920074937
2026-07,CURRENT,202607011603,0.2487707418863501,0,39,0.08823193012673107,0.2282319301267311
2026-07,CURRENT,202607011604,0.38824137358425104,0,37,0.047518395238506886,0.05751839523850689
2026-07,CURRENT,202607011605,0.7169351015176132,1,36,0.043116621221952686,0.033116621221952684
2026-07,CURRENT,202607011606,0.3456199416118916,0,40,0.09986729152419649,0.1798672915241965
2026-07,CURRENT,202607011607,0.5389301140366076,1,26,0.03064901600582843,0.20064901600582843
2026-07,CURRENT,202607011608,0.5064077053384368,0,42,0.08794931877326582,0.2579493187732658
2026-07,CURRENT,202607011609,0.7128301847308218,1,47,0.07040990484578638,0.12040990484578638
2026-07,CURRENT,202607011610,0.7489944697797627,0,37,0.07411413991935795,0.17411413991935795
2026-07,CURRENT,202607011611,0.7407001721411772,1,37,0.11709286332361328,0.20709286332361326
2026-07,CURRENT,202607011612,0.6994227093465991,0,39,0.08170131788183314,0.12170131788183314
2026-07,CURRENT,202607011701,0.6258623234045013,0,38,0.01382009533770466,0.04382009533770466
2026-07,CURRENT,202607011702,0.6508434287810396,1,40,0.03146729152419647,0.06146729152419647
2026-07,CURRENT,202607011703,0.4740030546833716,0,44,0.07228452918907083,0.11228452918907084
2026-07,CURRENT,202607011704,0.5190637656777746,0,42,0.07794931877326584,0.11794931877326584
2026-07,CURRENT,202607011705,0.6510332525240113,1,40,0.07666729152419649,0.1566672915241965
2026-07,CURRENT,202607011706,0.8081885158662204,1,40,0.10986729152419647,0.21986729152419648
2026-07,CURRENT,202607011707,0.5795667603074101,0,31,0.0964235262490201,0.23642352624902013
2026-07,CURRENT,202607011708,0.7163957419845923,1,29,0.08624011733871342,0.2962401173387134
2026-07,CURRENT,202607011709,0.649167995922721,0,36,0.028986186439343992,0.258986186439344
2026-07,CURRENT,202607011710,0.8573924701847231,0,42,0.07333393415788123,0.11333393415788123
2026-07,CURRENT,202607011711,0.6178863594063054,1,45,0.04824299229472407,0.16824299229472406
2026-07,CURRENT,202607011712,0.7407897115572484,1,40,0.07566729152419648,0.08566729152419647
2026-07,CURRENT,202607011901,0.7077594577818398,1,30,0.06133411440524559,0.2913341144052456
2026-07,CURRENT,202607011903,0.30162550150360584,0,25,0.08723898789170924,0.19723898789170924
2026-07,CURRENT,202607011904,0.5464245830615198,1,37,0.1009226505576558,0.19092265055765578
2026-07,CURRENT,202607011905,0.6451635914656966,1,28,0.12877275200552168,0.018772752005521684
2026-07,CURRENT,202607011906,0.4926815069162101,1,33,-0.011317102878841318,0.10868289712115868
2026-07,CURRENT,202607011907,0.7657315383045803,0,19,0.04666774400723531,0.2366677440072353
2026-07,CURRENT,202607011908,0.7111066403508737,1,42,0.04544931877326586,0.17544931877326586
2026-07,CURRENT,202607011909,0.74950473419832,0,20,0.05344548587366079,0.6434454858736608
2026-07,CURRENT,202607011910,0.9114834997301747,1,38,0.048403428671037994,0.138403428671038
2026-07,CURRENT,202607011911,0.6860059572810171,0,36,0.11789922991760488,0.08789922991760488
2026-07,CURRENT,202607011912,0.698434919253934,1,2,0.06361371468415196,0.26361371468415196
2026-07,CURRENT,202607012001,0.49889856528850013,0,21,0.04010853471644592,0.17010853471644594
2026-07,CURRENT,202607012002,0.4416169833389761,0,33,0.06658987386534476,0.28658987386534474
2026-07,CURRENT,202607012003,0.37719523765705787,0,26,0.060093460450272876,0.14009346045027288
2026-07,CURRENT,202607012004,0.456692290447896,1,30,0.040084114405245584,0.06008411440524558
2026-07,CURRENT,202607012005,0.7260693632326644,0,38,0.03444509533770465,0.16444509533770466
2026-07,CURRENT,202607012006,0.2761552936916384,0,34,0.08030374036840508,0.1403037403684051
2026-07,CURRENT,202607012007,0.8780677467415113,1,41,0.047516952474702424,0.18751695247470243
2026-07,CURRENT,202607012008,0.6960704958543033,1,30,0.0973341144052456,0.2073341144052456
2026-07,CURRENT,202607012009,0.47606707164958567,0,36,0.04985575165673529,-0.04014424834326471
2026-07,CURRENT,202607012010,0.7309639495015874,1,39,0.052721726045098435,0.21272172604509842
2026-07,CURRENT,202607012011,0.581121045209929,1,32,0.10960391848118628,0.20960391848118629
2026-07,CURRENT,202607012201,0.9020979931646425,1,39,0.06251764441244537,0.08251764441244537
2026-07,CURRENT,202607012202,0.24760058948520905,0,25,0.042096130748852094,0.002096130748852093
2026-07,CURRENT,202607012203,0.22928733601124274,1,26,0.06676012711693954,0.15676012711693954
2026-07,CURRENT,202607012204,0.23340590095802421,0,25,0.049524702177423524,0.2695247021774235
2026-07,CURRENT,202607012205,0.33610037626810213,0,43,0.10232763351339293,0.20232763351339295
2026-07,CURRENT,202607012206,0.33295369740956027,0,26,0.02342679378360621,-0.00657320621639379
2026-07,CURRENT,202607012207,0.6133479243197196,1,33,0.09100847851650752,0.1610084785165075
2026-07,CURRENT,202607012208,0.8197206527969622,1,42,0.07218008800403507,0.08218008800403506
2026-07,CURRENT,202607012209,0.6560302439924168,1,33,0.07286894363278659,0.2228689436327866
2026-07,CURRENT,202607012210,0.5927944981152758,1,38,0.044653428671038005,0.134653428671038
2026-07,CURRENT,202607012211,0.7295145018999433,0,37,0.04602903353637923,0.07602903353637923
2026-07,CURRENT,202607012212,0.7418496168314711,1,40,0.10526729152419646,0.16526729152419645
2026-07,CURRENT,202607012301,0.8184874690363672,0,39,0.06966050155530253,0.1296605015553025
2026-07,CURRENT,202607012302,0.7137894992652754,1,19,0.04666774400723529,0.056667744007235295
2026-07,CURRENT,202607012303,0.6257824398302692,1,45,0.09115208320381496,0.251152083203815
