date,month,race_code,layer,n,winner,second,third,head4_win,hit,return_yen,profit_yen,comp_odds,comp_band,tickets
2026-04-01,2026-04,202604010603,S,11,4,6,2,1,0,0.0,-10000.0,3.2410398714120885,3-4,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6|4-2-3
2026-04-01,2026-04,202604010603,S,12,4,6,2,1,0,0.0,-10000.0,3.0046741275303823,3-4,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6|4-2-3|4-2-6
2026-04-01,2026-04,202604010603,S,13,4,6,2,1,0,0.0,-10000.0,2.9940989639096878,<3,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6|4-2-3|4-2-6|4-5-3
2026-04-01,2026-04,202604010603,S,14,4,6,2,1,0,0.0,-10000.0,2.8663869662060883,<3,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6|4-2-3|4-2-6|4-5-3|4-3-2
2026-04-01,2026-04,202604010603,S,15,4,6,2,1,0,0.0,-10000.0,2.6972128778442506,<3,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6|4-2-3|4-2-6|4-5-3|4-3-2|4-6-3
2026-04-01,2026-04,202604010603,S,16,4,6,2,1,0,0.0,-10000.0,2.6867362267668957,<3,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6|4-2-3|4-2-6|4-5-3|4-3-2|4-6-3|4-5-2
2026-04-01,2026-04,202604010603,S,17,4,6,2,1,1,24009.999999999996,14009.999999999996,2.4915702757090776,<3,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6|4-2-3|4-2-6|4-5-3|4-3-2|4-6-3|4-5-2|4-6-2
2026-04-01,2026-04,202604010603,S,18,4,6,2,1,1,24009.999999999996,14009.999999999996,2.4652534283900267,<3,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6|4-2-3|4-2-6|4-5-3|4-3-2|4-6-3|4-5-2|4-6-2|4-6-5
2026-04-01,2026-04,202604010603,S,19,4,6,2,1,1,24009.999999999996,14009.999999999996,2.4523326728242374,<3,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6|4-2-3|4-2-6|4-5-3|4-3-2|4-6-3|4-5-2|4-6-2|4-6-5|4-3-5
2026-04-01,2026-04,202604010603,S,20,4,6,2,1,1,24009.999999999996,14009.999999999996,2.4342756440986375,<3,4-1-6|4-1-2|4-5-1|4-5-6|4-1-3|4-2-1|4-6-1|4-3-1|4-1-5|4-3-6|4-2-3|4-2-6|4-5-3|4-3-2|4-6-3|4-5-2|4-6-2|4-6-5|4-3-5|4-2-5
2026-04-01,2026-04,202604010804,S,2,4,1,3,1,0,0.0,-10000.0,11.714917127071823,10-12,4-1-5|4-2-5
2026-04-01,2026-04,202604010804,S,3,4,1,3,1,0,0.0,-10000.0,7.632227207731375,6-8,4-1-5|4-2-5|4-2-1
2026-04-01,2026-04,202604010804,S,4,4,1,3,1,0,0.0,-10000.0,7.0760384041179725,6-8,4-1-5|4-2-5|4-2-1|4-1-6
2026-04-01,2026-04,202604010804,S,5,4,1,3,1,0,0.0,-10000.0,5.524722878041385,5-6,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1
2026-04-01,2026-04,202604010804,S,6,4,1,3,1,0,0.0,-10000.0,3.7929190312312944,3-4,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2
2026-04-01,2026-04,202604010804,S,7,4,1,3,1,0,0.0,-10000.0,3.6477397901904447,3-4,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6
2026-04-01,2026-04,202604010804,S,8,4,1,3,1,0,0.0,-10000.0,3.5914889649289536,3-4,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5
2026-04-01,2026-04,202604010804,S,9,4,1,3,1,0,0.0,-10000.0,3.240897201776827,3-4,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2
2026-04-01,2026-04,202604010804,S,10,4,1,3,1,0,0.0,-10000.0,3.1747718218682617,3-4,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6
2026-04-01,2026-04,202604010804,S,11,4,1,3,1,0,0.0,-10000.0,3.1094815156739375,3-4,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6|4-3-1
2026-04-01,2026-04,202604010804,S,12,4,1,3,1,0,0.0,-10000.0,3.0133784928707477,3-4,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6|4-3-1|4-2-3
2026-04-01,2026-04,202604010804,S,13,4,1,3,1,1,27100.0,17100.0,2.8546664891314912,<3,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6|4-3-1|4-2-3|4-1-3
2026-04-01,2026-04,202604010804,S,14,4,1,3,1,1,27100.0,17100.0,2.828358182443055,<3,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6|4-3-1|4-2-3|4-1-3|4-6-5
2026-04-01,2026-04,202604010804,S,15,4,1,3,1,1,27100.0,17100.0,2.789922238018893,<3,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6|4-3-1|4-2-3|4-1-3|4-6-5|4-3-2
2026-04-01,2026-04,202604010804,S,16,4,1,3,1,1,27100.0,17100.0,2.7347149865314284,<3,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6|4-3-1|4-2-3|4-1-3|4-6-5|4-3-2|4-5-3
2026-04-01,2026-04,202604010804,S,17,4,1,3,1,1,27100.0,17100.0,2.7233515591247572,<3,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6|4-3-1|4-2-3|4-1-3|4-6-5|4-3-2|4-5-3|4-3-6
2026-04-01,2026-04,202604010804,S,18,4,1,3,1,1,27100.0,17100.0,2.698762469201017,<3,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6|4-3-1|4-2-3|4-1-3|4-6-5|4-3-2|4-5-3|4-3-6|4-6-1
