actual2,R,top2,top3,exact3
2,114,0.9912280701754386,1.0,0.7192982456140351
3,89,0.8314606741573034,0.9775280898876404,0.47191011235955055
4,42,0.40476190476190477,0.8095238095238095,0.19047619047619047
5,32,0.1875,0.46875,0.125
6,13,0.0,0.15384615384615385,0.0
