actual2,R,top2,top3,exact3
2,114,0.9473684210526315,0.9912280701754386,0.6491228070175439
3,89,0.7528089887640449,0.9550561797752809,0.43820224719101125
4,42,0.4523809523809524,0.8571428571428571,0.19047619047619047
5,32,0.25,0.59375,0.125
6,13,0.07692307692307693,0.15384615384615385,0.07692307692307693
