period,grade,lambda,tickets,races,headwins,odds_races,changed_races,role_hit_rate_pct,hybrid_hit_rate_pct,hit_diff_pt,role_pair_coverage_pct,hybrid_pair_coverage_pct,pair_cov_diff_pt,role_comp_rate_pct,hybrid_comp_rate_pct,comp_reduction_pt,role_roi_pct,hybrid_roi_pct,roi_diff_pt
2026-06,A,0.15,7,70,18,68,69,15.714285714285714,15.714285714285714,0.0,61.111111111111114,61.111111111111114,0.0,43.32487343740028,41.204114734241564,2.120758703158714,59.183673469387756,59.183673469387756,0.0
2026-07,A,0.15,7,64,19,64,63,20.3125,20.3125,0.0,68.42105263157895,68.42105263157895,0.0,40.38165072079919,39.961838375818566,0.41981234498062747,58.504464285714285,58.504464285714285,0.0
2026-08,A,0.15,7,64,19,61,64,14.0625,15.625,1.5625,47.36842105263158,52.63157894736842,5.263157894736835,39.33285285970864,37.77762484195402,1.5552280177546152,36.450892857142854,45.13392857142857,8.683035714285715
2026-06..08,A,0.15,7,198,56,193,196,16.666666666666668,17.171717171717173,0.5050505050505052,58.92857142857143,60.714285714285715,1.7857142857142847,41.08715577366111,39.70918431782388,1.3779714558372262,51.61616161616162,54.42279942279942,2.806637806637802
2026-06,S,0.15,7,39,10,39,38,15.384615384615385,15.384615384615385,0.0,60.0,60.0,0.0,49.017563285916594,45.602155060406275,3.415408225510319,39.34065934065934,39.34065934065934,0.0
2026-07,S,0.15,7,29,8,29,29,17.24137931034483,17.24137931034483,0.0,62.5,62.5,0.0,34.143498226208315,33.63846793112218,0.5050302950861365,33.49753694581281,33.49753694581281,0.0
2026-08,S,0.15,7,37,13,35,37,16.216216216216218,18.91891891891892,2.7027027027027017,46.15384615384615,53.84615384615385,7.692307692307693,44.481946554469566,42.27614999419672,2.2057965602728444,42.23938223938224,57.25868725868726,15.019305019305023
2026-06..08,S,0.15,7,105,31,103,104,16.19047619047619,17.142857142857142,0.9523809523809526,54.83870967741935,58.064516129032256,3.225806451612904,43.288490739002164,41.10354239956576,2.184948339436403,38.74829931972789,44.04081632653061,5.2925170068027185
