config,R,hits,rate,worst_month,delta_vs_base
BASE,204,166,0.8137254901960784,0.7837837837837838,0.0
STRICT_SAFE,204,168,0.8235294117647058,0.7222222222222222,0.009803921568627416
CAUSAL_ONLY,204,164,0.803921568627451,0.6666666666666666,-0.009803921568627416
STRICT_PLUS_CAUSAL,204,171,0.8382352941176471,0.7843137254901961,0.02450980392156865
