rule,conf_cut,points,R,hits,hit_rate,wilson_lo,wilson_hi
HGB_q0.975_AND_LR_q0.950,0.6,1,136,21,0.15441176470588236,0.10326798450326716,0.22454223148906186
HGB_q0.975_AND_LR_q0.950,0.6,2,136,40,0.29411764705882354,0.22404267545649473,0.3755038361985098
HGB_q0.975_AND_LR_q0.950,0.6,3,136,56,0.4117647058823529,0.3325825804753728,0.49579449594820046
HGB_q0.975_AND_LR_q0.950,0.6,4,136,65,0.47794117647058826,0.39575507336234567,0.5613391957435476
HGB_q0.975_AND_LR_q0.950,0.6,5,136,73,0.5367647058823529,0.4531024006562899,0.6184071508338879
