ensemble,members,weights,min_n,R,heads,head_rate,cut,monthly_floor,months,month_detail,pass_40
PAIR:ENV_ENTRY+ALL_SAFE_HGB,ENV_ENTRY+ALL_SAFE_HGB,0.60+0.40,200,204,64,0.3137254901960784,0.20131067917243992,0.24285714285714285,3,2026-04:70R/24.29%;2026-05:77R/36.36%;2026-06:57R/33.33%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.40+0.50+0.10,200,201,63,0.31343283582089554,0.2311500250503415,0.2537313432835821,3,2026-04:67R/25.37%;2026-05:75R/38.67%;2026-06:59R/28.81%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.30+0.50+0.20,200,205,64,0.3121951219512195,0.22969466110669584,0.25757575757575757,3,2026-04:66R/25.76%;2026-05:77R/36.36%;2026-06:62R/30.65%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.20+0.70+0.10,200,205,64,0.3121951219512195,0.21450718999826188,0.25396825396825395,3,2026-04:63R/25.40%;2026-05:81R/35.80%;2026-06:61R/31.15%,False
TRIPLE:ENV_ENTRY+ST_3HEAD_ANALOG+ALL_SAFE_HGB,ENV_ENTRY+ST_3HEAD_ANALOG+ALL_SAFE_HGB,0.50+0.10+0.40,200,205,64,0.3121951219512195,0.20163402853603374,0.2535211267605634,3,2026-04:71R/25.35%;2026-05:75R/34.67%;2026-06:59R/33.90%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.40+0.50+0.10,200,202,63,0.3118811881188119,0.220313252171139,0.26153846153846155,3,2026-04:65R/26.15%;2026-05:77R/37.66%;2026-06:60R/28.33%,False
TRIPLE:ENV_ENTRY+ST_3HEAD_ANALOG+ALL_SAFE_HGB,ENV_ENTRY+ST_3HEAD_ANALOG+ALL_SAFE_HGB,0.50+0.20+0.30,200,202,63,0.3118811881188119,0.2193727021090885,0.2571428571428571,3,2026-04:70R/25.71%;2026-05:71R/38.03%;2026-06:61R/29.51%,False
PAIR:ENV_ENTRY+OPP_CONTEXT,ENV_ENTRY+OPP_CONTEXT,0.60+0.40,200,202,63,0.3118811881188119,0.2331002096778412,0.25396825396825395,3,2026-04:63R/25.40%;2026-05:80R/37.50%;2026-06:59R/28.81%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.40+0.20+0.40,200,202,63,0.3118811881188119,0.2446489630351042,0.2463768115942029,3,2026-04:69R/24.64%;2026-05:74R/37.84%;2026-06:59R/30.51%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.20+0.30+0.50,200,202,63,0.3118811881188119,0.17583121165438959,0.23076923076923078,3,2026-04:65R/23.08%;2026-05:75R/36.00%;2026-06:62R/33.87%,False
PAIR:ENV_ENTRY+OPP_CONTEXT,ENV_ENTRY+OPP_CONTEXT,0.70+0.30,200,203,63,0.3103448275862069,0.2383662366965936,0.25757575757575757,3,2026-04:66R/25.76%;2026-05:81R/37.04%;2026-06:56R/28.57%,False
PAIR:ENV_ENTRY+OPP_CONTEXT,ENV_ENTRY+OPP_CONTEXT,0.35+0.65,200,200,62,0.31,0.22072846300948346,0.26153846153846155,3,2026-04:65R/26.15%;2026-05:77R/36.36%;2026-06:58R/29.31%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.70+0.20+0.10,200,200,62,0.31,0.2349752711293417,0.26153846153846155,3,2026-04:65R/26.15%;2026-05:76R/36.84%;2026-06:59R/28.81%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.50+0.40+0.10,200,200,62,0.31,0.23515783011067248,0.25396825396825395,3,2026-04:63R/25.40%;2026-05:79R/37.97%;2026-06:58R/27.59%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.30+0.50+0.20,200,200,62,0.31,0.20868904898647403,0.25396825396825395,3,2026-04:63R/25.40%;2026-05:77R/35.06%;2026-06:60R/31.67%,False
TRIPLE:ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,0.70+0.20+0.10,200,200,62,0.31,0.2240566344635019,0.2537313432835821,3,2026-04:67R/25.37%;2026-05:77R/36.36%;2026-06:56R/30.36%,False
PAIR:ENV_ENTRY+OPP_CONTEXT,ENV_ENTRY+OPP_CONTEXT,0.45+0.55,200,200,62,0.31,0.22823173408112973,0.25,3,2026-04:64R/25.00%;2026-05:77R/37.66%;2026-06:59R/28.81%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.50+0.20+0.30,200,200,62,0.31,0.24455205509578878,0.25,3,2026-04:68R/25.00%;2026-05:74R/37.84%;2026-06:58R/29.31%,False
TRIPLE:ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,0.50+0.40+0.10,200,200,62,0.31,0.19457148856819648,0.25,3,2026-04:68R/25.00%;2026-05:75R/36.00%;2026-06:57R/31.58%,False
