date,month,race_code,venue,race,head_hit,actual_combo,test_month,opp_mass,p_head,tickets,exact3
2026-02-19,2026-02,202602192405,24,5,1,1-3-6,2026-02,0.4702422635576947,0.8099283308163745,1-3-6|1-3-2|1-2-3,1
2026-02-20,2026-02,202602201308,13,8,1,1-2-6,2026-02,0.44279167815231824,0.8901351671231899,1-3-2|1-3-6|1-2-3,0
2026-02-20,2026-02,202602201309,13,9,1,1-4-3,2026-02,0.4353434314787965,0.8414817815336486,1-2-5|1-2-3|1-5-2,0
2026-02-20,2026-02,202602201706,17,6,1,1-3-2,2026-02,0.4057053637913505,0.8221178435660947,1-3-4|1-3-2|1-2-3,1
2026-02-20,2026-02,202602202410,24,10,0,2-1-5,2026-02,0.4030011454246373,0.8123219226893894,1-2-5|1-2-3|1-5-2,0
2026-02-21,2026-02,202602211306,13,6,1,1-3-2,2026-02,0.4660956737090977,0.852707671547575,1-4-3|1-4-2|1-2-4,0
2026-02-21,2026-02,202602211804,18,4,0,4-1-2,2026-02,0.46639873336377313,0.8149341330777099,1-2-4|1-2-3|1-4-2,0
2026-02-22,2026-02,202602220604,06,4,1,1-2-3,2026-02,0.41187843969494103,0.8357244290522681,1-2-3|1-2-4|1-4-2,1
2026-02-22,2026-02,202602221701,17,1,1,1-4-6,2026-02,0.4135887026396371,0.8309635777237167,1-2-6|1-2-4|1-3-2,0
2026-02-22,2026-02,202602222401,24,1,0,3-6-2,2026-02,0.3813095820657982,0.8084115806169756,1-6-4|1-4-6|1-4-2,0
2026-02-23,2026-02,202602231811,18,11,1,1-3-2,2026-02,0.38979356920690966,0.8152719509443525,1-2-5|1-2-4|1-5-2,0
2026-02-23,2026-02,202602232407,24,7,1,1-2-3,2026-02,0.4828033419341137,0.8175546968741204,1-2-3|1-3-2|1-2-4,1
2026-02-24,2026-02,202602240405,04,5,1,1-2-4,2026-02,0.4465743152497319,0.8085665903148489,1-3-2|1-2-3|1-3-4,0
2026-02-24,2026-02,202602241112,11,12,1,1-3-2,2026-02,0.4265367061248469,0.8317115240242686,1-2-4|1-2-6|1-4-2,0
2026-02-24,2026-02,202602241210,12,10,1,1-4-3,2026-02,0.42324227930154734,0.8080535000523592,1-2-4|1-2-3|1-4-2,0
2026-02-24,2026-02,202602241701,17,1,1,1-4-2,2026-02,0.3775462147756696,0.8283928110406383,1-4-3|1-3-4|1-4-5,0
2026-02-25,2026-02,202602250711,07,11,1,1-2-3,2026-02,0.37618581781512234,0.8234582311429043,1-2-3|1-3-2|1-3-4,1
2026-02-25,2026-02,202602251412,14,12,1,1-2-6,2026-02,0.4117467366320732,0.8267705754155626,1-2-3|1-2-5|1-5-2,0
2026-02-26,2026-02,202602260106,01,6,1,1-3-2,2026-02,0.5059397186188467,0.8123290444208652,1-2-3|1-2-4|1-3-2,1
2026-02-26,2026-02,202602261202,12,2,1,1-2-3,2026-02,0.3804147918190232,0.8134094433993551,1-3-2|1-2-3|1-2-5,1
2026-02-26,2026-02,202602262407,24,7,0,3-2-1,2026-02,0.41902687153286566,0.8575005911782944,1-2-3|1-3-4|1-3-2,0
2026-02-27,2026-02,202602272412,24,12,0,6-1-2,2026-02,0.49318446955725637,0.8265690786117553,1-2-3|1-2-4|1-3-2,0
2026-02-28,2026-02,202602281307,13,7,0,2-1-3,2026-02,0.43679575632066936,0.8525851887890896,1-2-3|1-3-2|1-2-4,0
2026-02-28,2026-02,202602281803,18,3,1,1-2-3,2026-02,0.3879780788470677,0.8251495723585792,1-5-3|1-2-3|1-2-5,1
2026-02-28,2026-02,202602282412,24,12,1,1-3-6,2026-02,0.4025868242951707,0.8363105724803364,1-3-4|1-4-3|1-3-2,0
2026-03-01,2026-03,202603012408,24,8,1,1-5-2,2026-03,0.42228167355301893,0.8297046417424335,1-3-5|1-3-2|1-2-3,0
2026-03-02,2026-03,202603022212,22,12,1,1-2-3,2026-03,0.4255274167104591,0.8152806082500778,1-3-2|1-2-3|1-3-4,1
2026-03-03,2026-03,202603031803,18,3,1,1-3-4,2026-03,0.4236168622064963,0.8074849551416694,1-2-3|1-2-5|1-3-2,0
2026-03-05,2026-03,202603051801,18,1,1,1-3-2,2026-03,0.42020557477698767,0.8129955555660305,1-2-3|1-2-5|1-3-2,1
2026-03-05,2026-03,202603051803,18,3,1,1-5-2,2026-03,0.438893218576459,0.819578658881684,1-2-5|1-2-3|1-5-2,1
2026-03-08,2026-03,202603082312,23,12,1,1-3-2,2026-03,0.41564301775672674,0.8142776407282096,1-3-2|1-3-6|1-2-3,1
2026-03-12,2026-03,202603121804,18,4,1,1-2-6,2026-03,0.4275836033947704,0.8109831286672644,1-2-4|1-2-3|1-3-2,0
2026-03-13,2026-03,202603132104,21,4,1,1-2-3,2026-03,0.461472610430602,0.825937206929576,1-3-2|1-3-6|1-2-3,1
2026-03-15,2026-03,202603151804,18,4,1,1-3-5,2026-03,0.43070897571691186,0.8165567469582341,1-3-2|1-2-3|1-2-5,0
2026-03-17,2026-03,202603171001,10,1,1,1-4-5,2026-03,0.4826432294132918,0.8182641177150499,1-2-3|1-3-2|1-3-5,0
2026-03-17,2026-03,202603171003,10,3,1,1-2-3,2026-03,0.46550736828391054,0.8306169522867515,1-3-2|1-3-6|1-2-3,1
2026-03-19,2026-03,202603191001,10,1,1,1-4-5,2026-03,0.42713949094567827,0.811517092041892,1-2-3|1-2-4|1-3-2,0
2026-03-20,2026-03,202603200106,01,6,1,1-2-4,2026-03,0.45483658164205676,0.8107238262821027,1-2-3|1-3-2|1-2-4,1
2026-03-23,2026-03,202603232201,22,1,0,2-1-3,2026-03,0.4622998165040275,0.8221161920174485,1-2-3|1-3-2|1-2-4,0
2026-03-25,2026-03,202603250905,09,5,1,1-5-4,2026-03,0.3796303301467735,0.8181878006663679,1-2-3|1-3-2|1-3-4,0
2026-03-28,2026-03,202603280801,08,1,1,1-4-5,2026-03,0.4115414251600492,0.8304714973673029,1-3-2|1-2-3|1-3-4,0
2026-04-01,2026-04,202604012410,24,10,1,1-2-3,2026-04,0.4235978083504657,0.8192901705763097,1-2-3|1-3-2|1-2-5,1
2026-04-02,2026-04,202604021508,15,8,1,1-4-3,2026-04,0.43626919456100577,0.8314102260973795,1-2-4|1-2-3|1-4-2,0
2026-04-02,2026-04,202604022407,24,7,1,1-4-2,2026-04,0.5427270185290579,0.8531562535202124,1-3-2|1-3-4|1-2-3,0
2026-04-03,2026-04,202604030112,01,12,1,1-5-2,2026-04,0.3783601481500318,0.813856466601454,1-2-3|1-2-4|1-3-2,0
2026-04-03,2026-04,202604030405,04,5,1,1-4-2,2026-04,0.37914982494064337,0.8235605561677157,1-3-2|1-2-3|1-3-4,0
