family,scope,avg_features,races,new_top1_pct,new_top2_pct,new_top4_pct,new_top6_pct,new_top10_pct,new_top20_pct,v96_top1_pct,v96_top2_pct,v96_top4_pct,v96_top6_pct,v96_top10_pct,v96_top20_pct,delta_top1_pt,delta_top2_pt,delta_top4_pt,delta_top6_pt,delta_top10_pt
BASE_CURRENT,ALL,11.0,141,12.76595744680851,26.24113475177305,37.5886524822695,51.06382978723404,70.2127659574468,100.0,14.184397163120568,25.53191489361702,42.5531914893617,56.02836879432624,77.30496453900709,100.0,-1.418439716312058,0.709219858156029,-4.964539007092199,-4.964539007092199,-7.092198581560282
BASE_CURRENT,HOLD_ALL,11.0,87,12.643678160919542,25.287356321839084,36.7816091954023,50.57471264367817,67.81609195402298,100.0,16.091954022988507,28.735632183908045,44.827586206896555,55.172413793103445,75.86206896551724,100.0,-3.4482758620689644,-3.448275862068961,-8.045977011494259,-4.597701149425276,-8.045977011494259
BASE_CURRENT,HOLD_SA,11.0,40,10.0,22.5,37.5,50.0,67.5,100.0,15.0,35.0,45.0,57.49999999999999,77.5,100.0,-5.0,-12.5,-7.5,-7.499999999999993,-10.0
BASE_CURRENT_PLAYER,ALL,16.0,141,15.602836879432624,28.368794326241137,41.13475177304964,51.06382978723404,70.92198581560284,100.0,14.184397163120568,25.53191489361702,42.5531914893617,56.02836879432624,77.30496453900709,100.0,1.4184397163120561,2.836879432624116,-1.418439716312058,-4.964539007092199,-6.38297872340425
BASE_CURRENT_PLAYER,HOLD_ALL,16.0,87,17.24137931034483,32.18390804597701,42.5287356321839,49.42528735632184,72.41379310344827,100.0,16.091954022988507,28.735632183908045,44.827586206896555,55.172413793103445,75.86206896551724,100.0,1.1494252873563227,3.448275862068968,-2.2988505747126524,-5.747126436781606,-3.448275862068968
BASE_CURRENT_PLAYER,HOLD_SA,16.0,40,15.0,27.500000000000004,40.0,45.0,75.0,100.0,15.0,35.0,45.0,57.49999999999999,77.5,100.0,0.0,-7.4999999999999964,-5.0,-12.499999999999993,-2.5
CURRENT_ONLY,ALL,6.0,141,7.801418439716312,15.602836879432624,29.078014184397162,40.42553191489361,60.28368794326241,100.0,14.184397163120568,25.53191489361702,42.5531914893617,56.02836879432624,77.30496453900709,100.0,-6.382978723404256,-9.929078014184396,-13.47517730496454,-15.60283687943263,-17.02127659574468
CURRENT_ONLY,HOLD_ALL,6.0,87,8.045977011494253,16.091954022988507,33.33333333333333,39.08045977011494,62.06896551724138,100.0,16.091954022988507,28.735632183908045,44.827586206896555,55.172413793103445,75.86206896551724,100.0,-8.045977011494253,-12.643678160919539,-11.494252873563227,-16.091954022988503,-13.793103448275858
CURRENT_ONLY,HOLD_SA,6.0,40,7.5,12.5,32.5,42.5,65.0,100.0,15.0,35.0,45.0,57.49999999999999,77.5,100.0,-7.5,-22.5,-12.5,-14.999999999999993,-12.5
