family,scope,avg_features,races,new_top1_pct,new_top2_pct,new_top4_pct,new_top6_pct,new_top10_pct,new_top20_pct,v96_top1_pct,v96_top2_pct,v96_top4_pct,v96_top6_pct,v96_top10_pct,v96_top20_pct,delta_top1_pt,delta_top2_pt,delta_top4_pt,delta_top6_pt,delta_top10_pt,delta_top20_pt
PAIR_ALL,ALL,125.58865248226951,141,12.056737588652481,20.56737588652482,36.87943262411347,53.90070921985816,77.30496453900709,100.0,14.184397163120568,25.53191489361702,42.5531914893617,56.02836879432624,77.30496453900709,100.0,-2.127659574468087,-4.964539007092199,-5.673758865248232,-2.1276595744680833,0.0,0.0
PAIR_ALL,HOLD_ALL,126.57471264367815,87,13.793103448275861,22.988505747126435,40.229885057471265,51.724137931034484,78.16091954022988,100.0,16.091954022988507,28.735632183908045,44.827586206896555,55.172413793103445,75.86206896551724,100.0,-2.2988505747126453,-5.74712643678161,-4.597701149425291,-3.448275862068961,2.2988505747126453,0.0
PAIR_ALL,HOLD_SA,126.8,40,15.0,20.0,32.5,42.5,72.5,100.0,15.0,35.0,45.0,57.49999999999999,77.5,100.0,0.0,-15.0,-12.5,-14.999999999999993,-5.0,0.0
PAIR_BASE,ALL,37.0,141,13.47517730496454,23.404255319148938,37.5886524822695,56.73758865248227,75.88652482269504,100.0,14.184397163120568,25.53191489361702,42.5531914893617,56.02836879432624,77.30496453900709,100.0,-0.709219858156029,-2.1276595744680833,-4.964539007092199,0.7092198581560325,-1.4184397163120508,0.0
PAIR_BASE,HOLD_ALL,37.0,87,13.793103448275861,26.436781609195403,39.08045977011494,56.32183908045977,78.16091954022988,100.0,16.091954022988507,28.735632183908045,44.827586206896555,55.172413793103445,75.86206896551724,100.0,-2.2988505747126453,-2.2988505747126418,-5.747126436781613,1.1494252873563227,2.2988505747126453,0.0
PAIR_BASE,HOLD_SA,37.0,40,15.0,25.0,30.0,52.5,70.0,100.0,15.0,35.0,45.0,57.49999999999999,77.5,100.0,0.0,-10.0,-15.0,-4.999999999999993,-7.5,0.0
PAIR_BASE_PLAYER,ALL,52.0,141,15.602836879432624,24.113475177304963,37.5886524822695,53.191489361702125,76.59574468085107,100.0,14.184397163120568,25.53191489361702,42.5531914893617,56.02836879432624,77.30496453900709,100.0,1.4184397163120561,-1.418439716312058,-4.964539007092199,-2.836879432624116,-0.7092198581560183,0.0
PAIR_BASE_PLAYER,HOLD_ALL,52.0,87,17.24137931034483,25.287356321839084,37.93103448275862,49.42528735632184,81.60919540229885,100.0,16.091954022988507,28.735632183908045,44.827586206896555,55.172413793103445,75.86206896551724,100.0,1.1494252873563227,-3.448275862068961,-6.896551724137936,-5.747126436781606,5.747126436781613,0.0
PAIR_BASE_PLAYER,HOLD_SA,52.0,40,17.5,22.5,30.0,45.0,77.5,100.0,15.0,35.0,45.0,57.49999999999999,77.5,100.0,2.5,-12.5,-15.0,-12.499999999999993,0.0,0.0
PAIR_BASE_PRIOR,ALL,61.0,141,12.76595744680851,23.404255319148938,38.297872340425535,53.191489361702125,76.59574468085107,100.0,14.184397163120568,25.53191489361702,42.5531914893617,56.02836879432624,77.30496453900709,100.0,-1.418439716312058,-2.1276595744680833,-4.255319148936167,-2.836879432624116,-0.7092198581560183,0.0
PAIR_BASE_PRIOR,HOLD_ALL,61.0,87,12.643678160919542,27.586206896551722,39.08045977011494,56.32183908045977,77.01149425287356,100.0,16.091954022988507,28.735632183908045,44.827586206896555,55.172413793103445,75.86206896551724,100.0,-3.4482758620689644,-1.1494252873563227,-5.747126436781613,1.1494252873563227,1.1494252873563227,0.0
PAIR_BASE_PRIOR,HOLD_SA,61.0,40,12.5,25.0,32.5,47.5,72.5,100.0,15.0,35.0,45.0,57.49999999999999,77.5,100.0,-2.5,-10.0,-12.5,-9.999999999999993,-5.0,0.0
PAIR_BASE_SCENARIO,ALL,86.58865248226951,141,12.76595744680851,27.659574468085108,39.71631205673759,56.73758865248227,77.30496453900709,100.0,14.184397163120568,25.53191489361702,42.5531914893617,56.02836879432624,77.30496453900709,100.0,-1.418439716312058,2.127659574468087,-2.8368794326241087,0.7092198581560325,0.0,0.0
PAIR_BASE_SCENARIO,HOLD_ALL,87.57471264367815,87,13.793103448275861,26.436781609195403,39.08045977011494,54.02298850574713,77.01149425287356,100.0,16.091954022988507,28.735632183908045,44.827586206896555,55.172413793103445,75.86206896551724,100.0,-2.2988505747126453,-2.2988505747126418,-5.747126436781613,-1.1494252873563156,1.1494252873563227,0.0
PAIR_BASE_SCENARIO,HOLD_SA,87.8,40,10.0,20.0,32.5,52.5,72.5,100.0,15.0,35.0,45.0,57.49999999999999,77.5,100.0,-5.0,-15.0,-12.5,-4.999999999999993,-5.0,0.0
PAIR_PLAYER_PRIOR,ALL,76.0,141,12.056737588652481,24.113475177304963,39.00709219858156,51.06382978723404,77.30496453900709,100.0,14.184397163120568,25.53191489361702,42.5531914893617,56.02836879432624,77.30496453900709,100.0,-2.127659574468087,-1.418439716312058,-3.546099290780141,-4.964539007092199,0.0,0.0
PAIR_PLAYER_PRIOR,HOLD_ALL,76.0,87,12.643678160919542,26.436781609195403,39.08045977011494,50.57471264367817,78.16091954022988,100.0,16.091954022988507,28.735632183908045,44.827586206896555,55.172413793103445,75.86206896551724,100.0,-3.4482758620689644,-2.2988505747126418,-5.747126436781613,-4.597701149425276,2.2988505747126453,0.0
PAIR_PLAYER_PRIOR,HOLD_SA,76.0,40,15.0,22.5,35.0,42.5,72.5,100.0,15.0,35.0,45.0,57.49999999999999,77.5,100.0,0.0,-12.5,-10.0,-14.999999999999993,-5.0,0.0
PAIR_PLAYER_SCENARIO,ALL,101.58865248226951,141,13.47517730496454,28.368794326241137,39.71631205673759,53.191489361702125,75.177304964539,100.0,14.184397163120568,25.53191489361702,42.5531914893617,56.02836879432624,77.30496453900709,100.0,-0.709219858156029,2.836879432624116,-2.8368794326241087,-2.836879432624116,-2.1276595744680833,0.0
PAIR_PLAYER_SCENARIO,HOLD_ALL,102.57471264367815,87,16.091954022988507,27.586206896551722,39.08045977011494,50.57471264367817,78.16091954022988,100.0,16.091954022988507,28.735632183908045,44.827586206896555,55.172413793103445,75.86206896551724,100.0,0.0,-1.1494252873563227,-5.747126436781613,-4.597701149425276,2.2988505747126453,0.0
PAIR_PLAYER_SCENARIO,HOLD_SA,102.8,40,15.0,22.5,35.0,45.0,72.5,100.0,15.0,35.0,45.0,57.49999999999999,77.5,100.0,0.0,-12.5,-10.0,-12.499999999999993,-5.0,0.0
