レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202603030301,2026-03-03,03,01R,秋末 秦悟,6.60,0.17,3.4,2,,IP,4,,IP,1,,IP,1,,IP,1,,IP,5,,IP,1,,IP,6,,IP,1,,IP,6,,IP,松田 隆司,5.10,0.15,2.5,6,,IP,3,,IP,3,,IP,2,,IP,2,,IP,3,,IP,3,,IP,6,,IP,2,,IP,6,,IP,高橋 直哉,5.10,0.19,3.5,5,,IP,2,2,IP,5,,G3,3,,G3,3,,IP,3,,IP,4,,IP,2,,IP,6,,IP,2,,IP,岡部 哲,3.10,0.20,3.5,5,,IP,5,,IP,5,,IP,4,,IP,6,,IP,6,,IP,6,,IP,4,,IP,2,,IP,3,,IP,原村 拓也,3.60,0.19,4.0,3,,IP,3,,IP,3,,IP,6,,IP,5,,IP,5,,IP,3,,IP,5,,IP,6,,G3,4,,G3,黒田 剛,2.80,0.18,3.8,4,,IP,5,,IP,4,,IP,5,,IP,3,,IP,5,,IP,6,,IP,4,,IP,5,,IP,6,,IP
202603030302,2026-03-03,03,02R,藤本 元輝,8.60,0.13,2.0,1,,IP,2,,IP,5,,IP,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,北川 太一,7.30,0.15,2.4,2,,IP,2,,IP,1,,IP,3,,IP,1,,IP,4,,G3,3,,IP,4,,IP,1,,IP,3,,IP,加藤 啓太,4.20,0.20,4.4,5,,IP,3,,IP,3,,IP,3,2,IP,4,,IP,4,,IP,4,,IP,2,,IP,6,,IP,6,,IP,鈴木 峻佑,4.10,0.17,4.2,4,,IP,6,,IP,2,,IP,6,,IP,4,,IP,3,,IP,2,,IP,5,,IP,3,,IP,6,,IP,山本 稔太朗,4.11,0.13,2.9,欠,,IP,エ,,IP,4,,IP,6,,IP,転,,IP,5,,G3,2,4,IP,2,,IP,2,4,G3,3,,G3,草川 壮良,2.40,0.16,3.4,6,,IP,落,,IP,5,,IP,4,,IP,5,,IP,6,,IP,4,,IP,2,,IP,6,,IP,6,,IP
202603030303,2026-03-03,03,03R,齊藤 廉,7.22,0.15,3.8,1,,IP,2,,IP,4,,IP,6,,IP,5,,IP,1,,IP,1,,IP,1,,IP,1,,IP,,,IP,岡部 貴司,4.20,0.18,2.7,4,,IP,3,,IP,5,,IP,F,3,IP,4,,IP,3,,IP,4,,IP,3,,IP,4,,IP,3,,IP,石塚 裕介,5.80,0.13,2.3,1,,IP,転,,IP,4,,IP,2,,IP,2,,IP,5,,IP,2,,IP,3,,IP,3,,IP,3,4,IP,大串 重幸,4.50,0.19,4.4,3,,IP,3,,IP,2,,IP,4,3,IP,6,5,IP,1,,IP,4,,IP,6,,IP,6,,IP,4,,IP,本岡 勝利,3.60,0.23,3.9,4,,IP,4,,IP,4,,IP,4,,IP,5,,IP,4,,IP,5,,IP,5,,IP,3,,IP,4,,IP,吉田 祐貴,3.70,0.22,3.8,5,,IP,6,,IP,4,,IP,6,,IP,4,,IP,2,,IP,3,,IP,3,,IP,6,,IP,4,5,IP
202603030304,2026-03-03,03,04R,香川 陽太,5.40,0.19,4.3,5,3,IP,6,,IP,2,,IP,6,,IP,1,,IP,4,,IP,1,,IP,5,,IP,3,,IP,1,,IP,山田 和佐,5.00,0.18,4.0,3,,IP,5,,IP,5,,IP,4,,IP,3,,IP,3,,IP,4,,IP,2,,IP,3,,IP,3,,IP,幸田 智裕,4.50,0.17,3.3,3,,IP,5,,IP,4,,IP,5,4,IP,4,,IP,3,,IP,3,,IP,2,,IP,3,,IP,6,,IP,相馬 翔,4.10,0.18,3.9,6,,IP,5,,IP,6,,IP,6,,IP,1,,IP,5,,IP,1,,IP,5,,IP,4,,IP,2,,IP,大野 芳顕,4.40,0.21,3.7,4,,IP,5,,IP,6,,IP,2,,IP,2,,IP,4,,IP,5,,IP,3,,IP,2,4,G3,6,,IP,古田 祐貴,3.70,0.16,4.1,4,,IP,6,,IP,5,,IP,4,,IP,5,,IP,3,,IP,4,,G1,4,,G1,3,,IP,5,,IP
202603030305,2026-03-03,03,05R,香月 大輝,10.00,0.11,1.0,1,,IP,,,,,,,,,,,,,,,,,,,,,,,,,,,IP,原村 拓也,6.00,0.21,4.1,2,,IP,1,,IP,2,,IP,3,,IP,3,,IP,3,,IP,3,,IP,3,,IP,5,,IP,5,,G3,佐竹 友樹,2.80,0.19,3.9,5,,IP,5,,IP,5,,IP,3,6,IP,5,,IP,6,,IP,2,,IP,5,,IP,6,,IP,5,,IP,早川 颯太,1.00,0.25,5.0,6,,IP,6,,IP,6,6,IP,6,5,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,6,,IP,河合 三弘,4.20,0.18,3.7,6,,IP,5,,IP,4,,IP,3,4,IP,3,6,IP,6,,IP,3,,IP,5,,IP,4,6,G3,1,,IP,上田 健太,3.80,0.11,2.3,5,,IP,6,5,IP,4,,IP,3,,IP,5,,IP,3,,IP,4,,IP,3,,IP,3,,IP,6,,IP
202603030306,2026-03-03,03,06R,長谷川 充,7.60,0.16,2.4,1,,IP,2,,IP,1,,IP,4,,IP,4,,IP,1,,IP,2,,IP,4,,IP,1,,IP,2,,G3,中嶋 誠一郎,5.90,0.16,2.8,1,,IP,4,,IP,3,,IP,2,,IP,4,,IP,6,,IP,5,,IP,2,,IP,1,,IP,3,,G3,木山 誠一,6.50,0.12,2.1,2,,IP,2,,IP,3,4,IP,1,4,IP,5,,IP,6,,IP,2,,IP,1,,IP,3,,IP,3,,IP,草川 壮良,4.10,0.18,3.2,5,,IP,5,,IP,4,,IP,4,,IP,6,6,IP,3,6,IP,3,,IP,2,5,IP,4,,IP,4,5,IP,松田 隆司,4.20,0.18,3.5,2,,IP,2,,IP,1,,IP,6,,IP,4,,IP,4,,IP,6,,IP,6,,IP,4,4,IP,6,,IP,石原 翼,2.80,0.17,3.8,3,,IP,6,5,IP,6,,IP,6,,IP,5,,IP,6,,IP,6,,IP,6,,IP,2,,IP,3,,IP
202603030307,2026-03-03,03,07R,一色 颯輝,5.90,0.20,4.5,4,,IP,エ,,IP,1,,IP,5,,IP,1,,IP,1,,IP,1,,IP,2,,IP,4,,IP,6,,IP,岡部 哲,5.60,0.15,3.6,3,,IP,4,,IP,3,,IP,5,,IP,2,,IP,4,,IP,4,,IP,2,,IP,3,3,IP,2,,IP,鈴木 峻佑,3.22,0.22,3.4,不,,IP,4,2,IP,4,,IP,5,,IP,4,,IP,3,,IP,5,,IP,4,,IP,5,,IP,6,,IP,楠原 正剛,5.90,0.13,2.3,3,,IP,1,,IP,2,,G1,6,,G1,5,,IP,3,,IP,2,,IP,4,,IP,3,,IP,3,,IP,岡部 貴司,4.30,0.17,3.4,3,,IP,5,,IP,4,,IP,6,,IP,1,,IP,3,,IP,5,,IP,5,,IP,3,,IP,5,,IP,齊藤 廉,3.78,0.18,3.5,エ,,IP,5,,IP,2,,IP,5,5,IP,5,,IP,3,,IP,3,,IP,3,,IP,6,,IP,6,,IP
202603030308,2026-03-03,03,08R,入澤 友治,5.50,0.21,3.8,6,,IP,5,,IP,1,,IP,1,,IP,1,,IP,5,,IP,2,,IP,6,,IP,6,,IP,1,,IP,山本 稔太朗,5.50,0.17,3.5,3,1,IP,6,,IP,2,,IP,6,,IP,3,,IP,6,,IP,3,,IP,2,,G3,1,,G3,2,,IP,柴田 友和,5.30,0.17,3.5,2,,IP,3,,IP,3,,IP,5,,IP,1,,IP,5,,IP,3,,IP,6,,IP,5,,IP,1,,IP,幸田 智裕,4.60,0.24,4.0,1,,IP,5,,IP,5,,IP,3,,IP,3,,IP,5,,IP,2,,IP,5,,IP,3,,IP,5,6,IP,山田 和佐,3.89,0.18,4.3,4,,IP,3,,IP,6,,IP,2,,IP,4,,IP,5,,IP,5,,IP,5,,IP,転,,IP,3,,IP,秋末 秦悟,2.70,0.19,4.3,4,3,IP,4,,IP,4,,IP,6,,IP,5,,IP,6,,IP,3,,IP,6,,IP,5,,IP,5,,IP
202603030309,2026-03-03,03,09R,黒田 剛,6.30,0.15,2.7,2,,IP,6,,IP,5,,IP,1,,IP,3,,IP,3,,IP,3,,IP,3,,IP,2,,IP,1,,IP,本岡 勝利,3.80,0.17,3.9,4,,IP,6,,IP,4,,IP,6,,IP,2,,IP,3,,IP,4,,IP,6,,IP,2,,IP,6,,IP,相馬 翔,5.13,0.15,2.8,2,,IP,5,,IP,2,,IP,2,,IP,6,,IP,4,,IP,エ,,IP,2,,IP,5,,IP,不,,IP,加藤 啓太,4.00,0.21,3.0,4,,IP,4,,IP,6,,IP,3,,IP,5,,IP,4,,IP,6,,IP,4,,IP,3,,IP,2,,IP,上田 健太,4.00,0.17,3.6,6,,IP,5,,IP,1,,IP,3,,IP,5,,IP,5,,IP,3,,IP,4,,IP,3,,IP,6,,IP,香川 陽太,2.40,0.21,4.8,6,,IP,4,,IP,5,,IP,落,,IP,6,,IP,4,,IP,6,,IP,6,,IP,2,5,IP,5,,IP
202603030310,2026-03-03,03,10R,石原 翼,7.30,0.15,1.8,1,,IP,1,,IP,2,,IP,6,,IP,5,,IP,1,,IP,1,,IP,5,,IP,1,,IP,1,,IP,大野 芳顕,7.00,0.20,3.0,1,,IP,2,,IP,1,,IP,2,,IP,5,,IP,2,,IP,4,,IP,4,,IP,2,,IP,2,,G3,大串 重幸,6.90,0.16,2.9,3,,IP,4,4,IP,3,,IP,1,,IP,2,,IP,6,,IP,1,,IP,2,,IP,2,,IP,2,,IP,高橋 直哉,3.80,0.20,4.0,1,,IP,6,,IP,5,,IP,6,,G3,3,,G3,4,,IP,5,,IP,6,,IP,6,,IP,1,,IP,香月 大輝,2.70,0.15,3.1,5,,IP,5,,IP,3,,IP,6,,IP,5,,IP,3,6,IP,4,,IP,6,6,IP,5,,IP,6,,IP,藤本 元輝,2.30,0.23,5.1,6,,IP,5,,IP,5,,IP,5,,IP,3,,IP,3,,IP,6,,IP,6,,IP,6,,IP,6,,IP
