name,d,combined_min,value_min,pre21_R,pre21_trigger_R,pre21_stake_yen,pre21_return_yen,pre21_profit_yen,pre21_roi,close21_tight_R,close21_tight_trigger_R,close21_tight_stake_yen,close21_tight_return_yen,close21_tight_profit_yen,close21_tight_roi,full165_close_tight_R,full165_close_tight_trigger_R,full165_close_tight_stake_yen,full165_close_tight_return_yen,full165_close_tight_profit_yen,full165_close_tight_roi,dev_close_tight_roi,support_close_tight_roi
ALIGN_MIN,0.18,2.74390243902439,1.3414634146341464,21,3,7200,8150,950,1.1319444444444444,21,1,6600,7370,770,1.1166666666666667,165,15,54000,74730,20730,1.383888888888889,1.4178807947019867,1.206896551724138
ALIGN_ROUND5,0.2,2.8125,1.375,21,3,7200,8150,950,1.1319444444444444,21,1,6600,7370,770,1.1166666666666667,165,13,53400,74080,20680,1.3872659176029962,1.4223713646532439,1.206896551724138
P95_ROUND5,0.30000000000000004,3.2142857142857144,1.5714285714285716,21,1,6600,8150,1550,1.2348484848484849,21,0,6300,7370,1070,1.16984126984127,165,4,50700,68510,17810,1.3512820512820514,1.3713947990543736,1.25
