date,jcd,rno,source_type,snapshot_type,source_url,odds_mapping_version,1-2-3,1-2-4,1-2-5,1-2-6,1-3-2,1-3-4,1-3-5,1-3-6,1-4-2,1-4-3,1-4-5,1-4-6,1-5-2,1-5-3,1-5-4,1-5-6,1-6-2,1-6-3,1-6-4,1-6-5,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,2-3-4,2-3-5,2-3-6,2-4-1,2-4-3,2-4-5,2-4-6,2-5-1,2-5-3,2-5-4,2-5-6,2-6-1,2-6-3,2-6-4,2-6-5,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,3-2-4,3-2-5,3-2-6,3-4-1,3-4-2,3-4-5,3-4-6,3-5-1,3-5-2,3-5-4,3-5-6,3-6-1,3-6-2,3-6-4,3-6-5,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,4-2-3,4-2-5,4-2-6,4-3-1,4-3-2,4-3-5,4-3-6,4-5-1,4-5-2,4-5-3,4-5-6,4-6-1,4-6-2,4-6-3,4-6-5,5-1-2,5-1-3,5-1-4,5-1-6,5-2-1,5-2-3,5-2-4,5-2-6,5-3-1,5-3-2,5-3-4,5-3-6,5-4-1,5-4-2,5-4-3,5-4-6,5-6-1,5-6-2,5-6-3,5-6-4,6-1-2,6-1-3,6-1-4,6-1-5,6-2-1,6-2-3,6-2-4,6-2-5,6-3-1,6-3-2,6-3-4,6-3-5,6-4-1,6-4-2,6-4-3,6-4-5,6-5-1,6-5-2,6-5-3,6-5-4
2026-06-05,01,1,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260605&jcd=01&rno=1,official_table_v2,9.2,34.6,40.7,14.0,10.3,24.1,29.8,10.3,64.5,59.5,121.4,54.2,93.4,86.1,210.7,67.4,25.2,22.3,78.3,76.2,41.8,119.9,139.3,51.6,73.6,204.5,309.8,107.7,221.8,251.6,584.3,221.8,389.5,562.1,1044.0,470.2,101.6,151.3,247.9,430.8,33.1,53.2,55.1,25.3,59.7,149.0,137.4,71.1,111.8,175.3,231.9,112.8,151.3,183.5,292.9,143.6,47.1,72.4,107.6,121.4,195.1,159.9,188.5,105.3,277.0,337.2,599.2,229.6,227.8,378.3,502.3,223.1,309.8,751.8,819.7,241.3,127.3,193.1,247.4,239.9,313.1,245.4,353.4,203.8,562.1,742.4,1168.0,655.7,417.1,599.2,1000.0,426.1,570.2,1168.0,1017.0,472.1,309.8,534.1,652.1,819.7,61.0,54.4,164.4,333.4,116.4,132.6,292.9,587.2,84.5,118.6,232.3,573.0,267.6,300.3,314.7,605.3,652.1,915.0,936.8,831.2
2026-06-05,01,2,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260605&jcd=01&rno=2,official_table_v2,36.2,38.7,125.1,130.8,31.6,24.3,64.7,148.1,41.5,36.0,98.9,128.6,124.1,90.2,88.1,418.2,267.6,288.4,329.3,611.6,48.7,52.2,151.6,135.7,51.7,30.3,85.7,96.8,50.4,27.0,82.8,59.5,178.4,108.0,114.3,272.9,207.0,157.0,130.0,363.1,28.1,19.8,58.8,107.0,37.2,21.7,67.1,94.8,21.8,21.5,41.6,65.1,80.9,78.1,60.8,206.4,266.2,229.4,200.6,353.7,76.2,53.1,154.6,143.8,67.7,43.9,110.8,76.1,43.7,41.7,80.4,79.3,196.0,153.0,111.7,217.5,169.1,123.3,119.3,202.6,175.3,95.0,133.5,420.4,212.4,110.8,134.2,379.2,80.7,94.1,70.6,246.1,152.9,138.2,91.0,327.3,756.7,726.3,516.5,623.3,533.4,640.5,710.5,1016.0,487.1,574.9,378.3,692.3,423.7,628.2,451.9,719.9,544.1,348.4,416.1,616.3,1251.0,1205.0,980.1,945.9
2026-06-05,01,3,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260605&jcd=01&rno=3,official_table_v2,86.2,128.9,206.7,326.8,47.7,12.8,25.1,52.7,76.9,21.4,47.9,90.5,230.0,84.4,130.8,230.0,422.5,241.9,297.0,455.6,195.6,251.8,431.8,548.6,195.1,155.3,235.8,356.0,262.2,178.9,342.4,351.9,733.9,477.8,736.4,1014.0,1114.0,757.2,724.0,1369.0,48.7,12.0,20.4,40.1,99.6,76.4,71.2,133.9,12.9,44.1,13.5,20.3,41.1,80.1,32.5,47.0,113.4,193.7,66.0,80.7,105.4,35.4,56.8,95.2,187.3,136.0,170.5,209.1,28.5,78.2,27.4,43.1,58.8,132.2,40.5,62.3,151.7,224.7,104.0,117.2,513.2,184.5,242.9,401.9,811.5,480.0,724.0,820.8,167.2,338.6,141.2,184.4,231.2,497.8,140.3,221.4,647.7,939.0,356.6,493.2,1033.0,525.8,689.2,968.7,1319.0,951.5,986.4,1493.0,429.2,881.3,364.4,689.2,768.0,939.0,411.1,759.9,1028.0,1514.0,796.4,790.6
2026-06-05,01,4,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260605&jcd=01&rno=4,official_table_v2,45.8,16.2,63.0,103.0,78.3,70.0,188.3,257.1,15.8,45.4,46.7,62.2,139.9,267.5,142.0,261.3,263.3,459.1,209.3,417.4,57.1,19.8,60.9,98.2,128.0,57.7,185.7,301.9,16.8,29.4,23.6,34.3,146.9,232.7,78.3,235.1,323.4,529.2,138.3,387.6,293.5,224.6,438.7,807.8,295.5,153.4,378.0,716.5,226.9,161.1,393.0,487.7,776.1,772.5,788.9,1513.0,1541.0,1493.0,1109.0,1920.0,17.5,60.5,32.7,46.9,14.9,25.9,15.7,23.2,123.6,57.3,139.2,117.9,33.8,19.5,121.1,29.2,64.6,42.5,137.3,55.2,266.3,630.5,227.2,388.0,276.8,490.6,137.5,427.0,1073.0,891.4,905.8,1647.0,175.9,107.6,479.4,136.6,554.5,645.0,1400.0,270.1,1073.0,1759.0,988.4,1856.0,1226.0,1846.0,428.1,1394.0,1507.0,2435.0,1953.0,3055.0,836.0,374.2,1424.0,722.7,1778.0,1480.0,2317.0,836.0
2026-06-05,01,5,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260605&jcd=01&rno=5,official_table_v2,85.6,30.9,86.2,48.8,136.5,95.9,182.4,101.6,38.0,87.4,70.1,27.4,151.0,278.3,157.4,136.2,88.9,169.8,58.0,144.1,64.2,29.6,77.2,36.6,103.1,72.7,166.8,94.4,33.6,51.7,44.0,18.3,151.1,194.1,90.4,90.7,69.6,105.0,34.4,90.7,130.4,84.4,216.5,92.2,150.3,84.7,239.2,110.2,100.4,87.1,143.4,51.4,460.8,393.1,253.7,260.6,179.3,169.0,88.3,258.5,56.2,117.4,72.3,37.4,50.0,75.2,49.0,20.8,167.7,137.9,189.6,76.9,80.7,61.8,156.8,32.1,40.4,24.3,68.0,33.1,307.8,540.4,241.1,197.9,280.7,447.9,190.7,165.9,769.0,719.5,506.3,398.6,217.7,164.9,323.8,96.6,225.2,184.4,326.3,129.5,175.7,368.4,151.0,351.2,199.7,283.9,77.7,259.2,423.3,366.5,222.9,529.6,129.1,67.6,161.7,135.6,389.3,306.8,482.5,195.3
2026-06-05,01,6,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260605&jcd=01&rno=6,official_table_v2,15.0,10.4,22.3,102.8,15.0,8.8,14.0,107.2,8.2,8.8,8.9,61.4,26.3,24.3,16.9,93.2,253.4,325.6,190.7,278.0,179.3,128.4,239.6,442.2,423.3,842.2,1027.0,2145.0,282.2,778.2,1047.0,1835.0,546.5,1362.0,1021.0,2442.0,1960.0,3207.0,2835.0,3608.0,129.4,72.3,89.4,532.7,394.9,672.7,833.4,2022.0,163.4,487.0,360.4,1180.0,247.4,694.8,460.1,1345.0,1960.0,2886.0,2189.0,2624.0,41.1,49.5,30.8,128.8,138.6,350.0,263.0,621.3,162.0,394.9,301.5,962.2,53.6,136.9,164.4,172.3,371.8,611.8,1011.0,444.7,149.5,138.4,82.4,328.3,378.9,928.4,635.0,1463.0,290.5,956.4,540.9,1362.0,119.5,327.3,390.5,362.8,872.3,1490.0,1716.0,765.1,1037.0,1689.0,931.1,1362.0,1764.0,3825.0,2405.0,3378.0,1793.0,3969.0,3207.0,3735.0,1328.0,2145.0,2967.0,1579.0,1764.0,3024.0,2913.0,1285.0
2026-06-05,01,7,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260605&jcd=01&rno=7,official_table_v2,12.0,44.4,28.8,155.6,7.1,9.9,6.5,43.9,58.2,29.9,53.1,266.6,33.0,15.8,53.2,128.9,353.0,243.1,579.0,363.4,93.6,253.0,204.7,575.1,148.6,420.0,307.9,1362.0,563.9,670.6,866.3,1857.0,481.1,443.1,866.3,2171.0,2412.0,2592.0,3021.0,3545.0,18.3,15.0,11.2,89.1,58.5,140.0,101.7,506.4,43.0,138.4,67.7,258.1,36.1,100.8,85.0,271.2,418.0,1206.0,723.7,745.5,228.2,120.4,151.9,481.1,434.2,409.2,544.5,1173.0,153.7,363.4,214.8,701.8,211.1,411.6,278.6,631.6,1291.0,1763.0,1418.0,1472.0,117.0,55.3,136.4,209.1,310.7,318.4,675.9,970.4,78.3,165.7,221.0,360.7,312.1,625.9,384.3,748.7,701.8,1286.0,1015.0,1197.0,1877.0,1197.0,2363.0,2131.0,2735.0,2919.0,3340.0,3047.0,1219.0,2801.0,2446.0,2481.0,2672.0,3695.0,2779.0,2554.0,2043.0,2895.0,2481.0,2241.0
2026-06-05,01,8,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260605&jcd=01&rno=8,official_table_v2,31.5,52.2,15.6,97.3,36.8,48.6,15.3,90.4,75.2,78.3,32.0,136.9,11.2,11.1,15.9,25.6,197.1,212.5,288.5,98.4,131.8,174.7,72.0,240.1,210.6,556.1,208.4,601.3,424.9,711.7,426.3,858.8,97.3,175.7,307.7,293.5,766.7,1284.0,1754.0,695.9,144.9,172.3,61.2,238.6,257.9,751.1,256.8,795.1,421.8,969.3,393.7,951.2,76.2,184.6,232.3,247.7,660.9,1176.0,1408.0,596.0,273.7,434.0,111.1,450.3,515.9,1309.0,496.4,1389.0,677.4,1343.0,407.1,1389.0,73.2,225.5,230.9,175.4,690.0,1357.0,1547.0,557.6,15.1,16.2,18.6,19.9,40.6,85.2,137.6,76.9,40.3,91.2,109.4,102.8,32.8,118.2,98.4,68.8,36.5,66.8,91.3,107.6,584.1,749.7,912.8,318.5,904.7,1292.0,1703.0,738.8,931.6,1615.0,1976.0,827.4,1375.0,2353.0,2576.0,1200.0,286.7,497.0,545.0,637.1
2026-06-05,01,9,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260605&jcd=01&rno=9,official_table_v2,26.3,19.4,15.3,35.1,31.1,30.3,32.6,60.2,30.0,33.7,30.3,50.2,27.6,47.4,45.3,41.3,90.6,153.8,120.4,92.7,45.0,31.4,24.2,45.8,95.1,104.3,90.0,122.6,79.2,124.9,85.8,103.4,61.6,107.3,99.4,73.7,168.6,254.8,216.3,130.4,114.8,83.8,92.2,134.0,159.9,151.6,140.8,184.1,121.7,157.9,122.6,179.9,179.0,182.1,199.3,224.3,431.8,455.3,467.8,428.6,65.8,70.5,49.5,78.6,111.4,164.4,113.2,139.3,117.7,159.5,102.5,137.5,52.3,79.8,94.7,50.8,121.5,167.5,188.9,83.9,89.3,184.8,87.2,95.6,126.8,283.4,218.9,141.5,313.9,387.2,372.8,400.1,85.8,159.2,250.3,78.8,152.4,169.2,410.1,134.6,291.9,583.9,423.7,299.6,358.1,617.4,499.8,283.6,833.7,852.8,1003.0,936.7,575.7,564.6,861.8,390.6,349.2,290.1,729.7,352.2
2026-06-05,01,10,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260605&jcd=01&rno=10,official_table_v2,24.5,10.8,56.8,20.9,32.9,19.7,93.7,37.1,10.8,15.6,24.1,12.2,95.7,150.2,65.4,107.0,33.2,52.3,26.2,89.3,100.7,46.8,125.8,67.1,371.7,540.8,813.6,561.1,86.5,311.3,265.9,115.5,506.5,1072.0,762.4,830.2,200.3,538.8,253.8,662.2,304.1,153.3,351.3,234.8,529.3,774.3,1042.0,800.5,242.4,613.3,554.1,366.5,898.4,1241.0,1262.0,1606.0,627.9,1002.0,709.3,1446.0,27.6,41.0,31.6,22.0,58.7,237.4,159.0,76.4,115.9,331.8,327.9,203.6,51.5,121.8,258.8,63.1,28.3,52.9,120.7,54.7,286.2,566.7,176.6,306.2,442.1,1129.0,515.3,651.6,1140.0,1371.0,1584.0,1844.0,238.7,500.3,991.8,272.0,552.8,960.0,1540.0,467.9,118.2,259.7,81.0,253.1,200.2,512.9,194.3,547.4,600.1,926.3,718.4,1322.0,84.3,130.2,353.5,164.2,411.6,658.3,1075.0,290.9
