date,jcd,rno,source_type,snapshot_type,source_url,1-2-3,1-2-4,1-2-5,1-2-6,1-3-2,1-3-4,1-3-5,1-3-6,1-4-2,1-4-3,1-4-5,1-4-6,1-5-2,1-5-3,1-5-4,1-5-6,1-6-2,1-6-3,1-6-4,1-6-5,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,2-3-4,2-3-5,2-3-6,2-4-1,2-4-3,2-4-5,2-4-6,2-5-1,2-5-3,2-5-4,2-5-6,2-6-1,2-6-3,2-6-4,2-6-5,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,3-2-4,3-2-5,3-2-6,3-4-1,3-4-2,3-4-5,3-4-6,3-5-1,3-5-2,3-5-4,3-5-6,3-6-1,3-6-2,3-6-4,3-6-5,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,4-2-3,4-2-5,4-2-6,4-3-1,4-3-2,4-3-5,4-3-6,4-5-1,4-5-2,4-5-3,4-5-6,4-6-1,4-6-2,4-6-3,4-6-5,5-1-2,5-1-3,5-1-4,5-1-6,5-2-1,5-2-3,5-2-4,5-2-6,5-3-1,5-3-2,5-3-4,5-3-6,5-4-1,5-4-2,5-4-3,5-4-6,5-6-1,5-6-2,5-6-3,5-6-4,6-1-2,6-1-3,6-1-4,6-1-5,6-2-1,6-2-3,6-2-4,6-2-5,6-3-1,6-3-2,6-3-4,6-3-5,6-4-1,6-4-2,6-4-3,6-4-5,6-5-1,6-5-2,6-5-3,6-5-4
2026-06-04,03,1,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260604&jcd=03&rno=1,22.0,51.9,39.1,125.4,131.3,456.4,37.6,93.8,35.3,91.0,85.8,437.9,35.6,82.0,25.3,92.5,153.5,673.9,42.7,142.6,48.0,95.7,129.1,570.5,18.7,63.7,57.4,177.2,172.2,605.0,16.7,87.0,73.5,198.2,138.6,867.2,16.7,55.7,46.3,191.0,299.0,1049.0,29.9,140.1,76.7,166.9,206.4,873.0,43.6,172.7,58.0,116.4,98.3,650.4,33.1,140.1,106.8,190.1,124.1,949.5,45.0,184.7,59.0,117.2,143.4,602.2,47.9,267.6,86.4,121.4,166.7,667.0,51.9,132.3,43.4,116.9,210.1,897.1,33.8,88.4,61.7,141.8,310.4,1171.0,66.9,196.2,66.7,140.0,186.0,656.9,53.8,225.0,75.3,74.0,157.1,813.0,90.9,384.8,158.0,163.2,220.8,607.8,96.9,427.8,176.7,199.8,276.1,828.5,131.6,599.4,210.4,218.6,284.6,660.3,109.4,480.0,163.2,135.7,299.7,718.6
2026-06-04,03,2,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260604&jcd=03&rno=2,12.7,23.4,88.1,130.6,68.1,254.1,15.5,25.5,181.4,312.5,242.8,729.8,14.1,16.2,138.5,172.8,189.3,666.5,21.4,26.9,237.0,237.0,107.1,323.3,21.7,57.5,100.9,122.4,67.8,262.3,58.3,84.8,152.0,207.6,167.4,459.9,47.7,50.5,104.5,119.4,153.6,510.3,69.6,84.8,163.0,154.2,79.4,211.0,39.5,55.7,276.7,399.5,320.9,1135.0,84.7,91.0,252.6,347.4,332.4,591.1,62.2,46.3,317.0,459.9,763.9,1004.0,85.6,67.8,399.5,551.2,533.2,907.2,32.0,26.8,237.5,211.0,282.1,919.9,75.8,63.5,201.2,158.9,229.5,478.5,75.2,55.8,404.4,466.5,725.7,1079.0,46.5,29.9,288.3,208.3,272.7,649.9,81.6,80.4,528.8,398.2,144.5,354.0,239.2,201.9,345.6,311.7,116.7,234.5,190.4,141.6,631.0,656.4,514.3,777.6,93.1,52.4,469.9,274.4,256.1,516.3
2026-06-04,03,3,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260604&jcd=03&rno=3,19.5,18.9,24.3,110.6,389.6,367.7,53.3,46.7,49.2,128.1,401.2,357.2,81.8,63.5,72.2,225.6,673.1,822.6,50.4,46.4,52.2,188.9,554.0,925.5,20.8,16.3,18.1,90.6,363.5,357.2,54.2,21.3,22.9,48.7,235.0,189.6,84.0,33.9,35.4,121.7,393.4,443.8,55.0,25.7,25.8,86.5,299.4,486.2,87.9,58.0,65.4,115.2,452.4,399.2,94.8,33.9,36.8,53.2,275.6,188.3,212.9,85.5,101.2,156.0,567.5,512.2,182.0,70.1,68.9,100.8,423.0,740.4,196.0,135.6,167.7,241.6,684.4,1093.0,190.5,82.6,102.1,161.7,462.7,517.1,340.0,142.0,192.5,193.0,607.8,628.9,291.9,115.9,161.4,166.2,472.1,885.2,148.8,122.3,137.1,264.8,822.6,1224.0,153.8,72.7,70.1,156.9,413.4,527.1,361.9,155.1,156.0,174.5,641.3,818.5,404.1,154.6,221.0,217.4,648.9,963.8
2026-06-04,03,4,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260604&jcd=03&rno=4,32.2,60.0,161.3,914.7,21.4,133.4,140.0,241.2,404.0,948.4,47.6,381.7,12.0,20.7,91.5,621.3,154.8,879.0,24.9,41.3,185.1,834.2,18.6,85.1,61.7,119.4,193.9,1112.0,28.7,178.7,228.9,409.5,475.4,870.5,61.8,401.3,44.9,68.1,106.1,747.7,230.1,974.0,78.4,129.1,206.8,879.0,25.9,97.2,327.0,568.4,610.8,1066.0,93.5,669.8,369.2,577.5,563.1,924.0,91.5,544.4,242.5,431.0,289.7,537.9,267.3,1305.0,328.2,586.9,590.8,1053.0,74.2,261.5,14.3,26.6,86.1,416.1,347.2,1553.0,29.5,48.5,92.2,428.0,435.2,1540.0,128.0,203.8,206.4,373.0,327.6,1334.0,18.3,27.8,76.6,307.5,243.1,687.7,57.4,84.2,324.6,1140.0,22.9,68.6,120.1,172.4,265.3,1059.0,25.2,66.5,359.6,489.6,750.8,1035.0,55.9,144.7,39.2,56.5,155.6,592.7,145.4,278.0
2026-06-04,03,5,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260604&jcd=03&rno=5,181.0,594.4,271.3,155.8,223.6,941.6,194.8,524.8,63.1,41.7,55.7,1028.0,216.7,675.0,63.7,20.3,23.7,549.2,415.0,1131.0,172.6,56.8,43.3,370.4,152.1,739.6,470.8,310.8,516.3,1474.0,35.6,716.0,412.7,374.1,655.2,1915.0,37.8,797.5,475.8,233.4,448.2,1318.0,118.8,1494.0,868.6,368.6,563.0,1185.0,134.6,610.6,48.2,48.3,83.8,1179.0,31.3,744.5,247.0,216.5,442.9,1672.0,18.0,532.3,26.5,24.7,54.1,643.9,55.5,953.6,62.8,57.8,95.0,545.2,167.8,978.6,57.1,14.7,21.8,500.2,38.4,987.2,322.9,95.5,160.7,1057.0,20.3,685.3,35.0,17.2,32.3,586.6,48.5,1047.0,67.1,14.7,20.8,171.9,466.8,1792.0,343.1,106.7,85.5,352.9,249.8,1948.0,830.0,337.5,411.2,978.6,155.7,1427.0,213.6,126.5,123.6,484.0,129.6,1302.0,189.9,50.9,56.0,171.9
2026-06-04,03,6,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260604&jcd=03&rno=6,17.7,27.5,22.1,142.5,348.8,1552.0,36.0,51.8,32.0,107.7,237.2,2270.0,53.4,79.6,45.8,162.6,363.8,2340.0,129.3,184.5,152.4,329.9,555.1,1671.0,16.1,21.6,18.3,122.6,360.4,1709.0,24.2,17.5,15.1,68.4,211.2,910.8,37.4,27.6,24.3,107.3,353.7,1568.0,102.0,72.3,68.8,226.0,526.3,1216.0,63.3,72.2,36.5,93.3,261.3,1311.0,49.7,42.0,24.3,58.2,200.6,707.4,100.0,77.4,34.3,80.0,238.7,956.6,213.0,151.2,82.3,164.7,415.5,1110.0,108.5,169.3,83.8,177.4,415.5,2304.0,83.4,84.6,55.0,133.0,383.1,1877.0,145.2,157.1,75.0,108.5,252.2,1246.0,228.3,248.1,142.9,198.3,379.3,1408.0,390.0,549.1,430.8,644.5,831.1,1322.0,361.3,335.0,229.4,481.3,764.3,1257.0,495.4,524.5,290.8,415.5,745.6,1521.0,440.8,484.4,304.2,384.1,664.2,1395.0
2026-06-04,03,7,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260604&jcd=03&rno=7,22.7,79.4,148.2,350.1,13.4,296.9,51.8,126.0,344.1,632.1,22.1,463.5,8.5,31.4,69.9,210.7,65.2,769.6,54.3,130.6,256.2,527.9,26.1,161.8,35.0,146.5,195.5,435.5,24.2,403.3,93.0,333.3,579.4,1066.0,46.0,676.7,19.6,109.8,136.4,395.4,130.2,1493.0,85.8,367.9,468.9,819.7,53.7,327.9,110.8,296.1,667.7,955.7,50.3,676.7,153.9,457.2,869.2,1229.0,80.4,809.8,70.2,261.5,534.9,760.9,217.5,819.7,155.2,772.6,1126.0,1229.0,124.7,589.6,8.4,39.5,80.8,186.7,139.5,1390.0,14.8,71.6,124.2,304.6,201.4,1666.0,34.6,158.1,369.3,505.4,322.1,1738.0,19.3,114.1,214.0,317.5,188.4,964.8,131.1,394.6,607.4,735.9,48.2,150.4,179.2,672.1,715.1,1044.0,70.6,238.9,238.0,865.4,1260.0,1326.0,116.0,393.8,74.3,293.5,490.6,587.9,174.2,542.0
2026-06-04,03,8,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260604&jcd=03&rno=8,27.9,50.8,103.5,26.1,64.4,1269.0,20.0,32.4,83.3,44.0,71.8,1940.0,24.8,32.6,84.2,17.6,37.1,1811.0,203.3,393.8,771.9,175.0,259.7,1698.0,34.5,91.9,123.8,31.9,105.4,2156.0,31.0,129.7,192.9,73.1,196.9,2563.0,35.7,153.1,172.4,36.3,102.5,998.9,263.3,854.4,656.3,164.8,497.6,1913.0,18.3,54.6,105.9,87.4,142.7,2426.0,29.6,116.9,172.1,116.8,248.3,2663.0,15.7,77.4,117.4,79.0,150.6,2515.0,197.7,388.1,859.8,454.3,838.6,2953.0,29.7,75.2,121.5,18.6,38.5,1835.0,40.8,147.1,182.3,29.7,60.2,977.4,22.9,93.8,145.6,43.5,82.4,2717.0,238.3,828.4,991.7,96.2,190.5,1656.0,460.5,899.7,1246.0,399.5,849.1,1476.0,1013.0,1372.0,759.0,302.5,1113.0,1861.0,818.4,718.8,1561.0,665.9,1476.0,2470.0,754.7,1293.0,1386.0,380.5,675.9,1677.0
2026-06-04,03,9,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260604&jcd=03&rno=9,14.2,47.0,61.5,99.5,50.6,549.3,22.1,61.0,69.2,109.3,54.9,788.6,13.7,41.5,49.6,67.2,66.6,843.0,69.2,173.5,182.8,198.2,105.6,462.7,15.4,73.5,109.3,163.8,96.4,838.1,17.5,103.3,186.3,247.3,186.8,1452.0,11.7,83.6,114.7,186.8,198.2,1746.0,56.7,392.1,461.2,364.8,334.8,984.4,26.5,149.0,121.9,147.5,118.1,1333.0,27.0,227.4,195.8,223.6,220.9,1705.0,21.7,183.5,150.1,186.1,253.7,1629.0,69.5,547.3,380.0,465.6,399.6,1577.0,16.5,82.6,95.0,85.9,115.8,1333.0,16.2,125.7,171.3,154.2,198.4,1880.0,24.5,158.0,206.8,192.7,252.4,1767.0,45.1,304.3,348.4,202.0,273.1,1137.0,141.7,618.9,726.1,500.6,249.8,551.4,168.6,1055.0,582.0,688.6,511.0,1078.0,197.4,958.7,788.6,810.4,527.6,1243.0,120.2,852.8,663.7,459.8,448.5,1032.0
2026-06-04,03,10,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260604&jcd=03&rno=10,16.1,117.7,66.5,115.4,119.1,520.7,22.9,176.5,37.9,81.4,54.8,590.8,28.2,167.6,29.0,70.3,81.3,633.5,80.6,393.0,149.3,168.6,140.3,580.6,9.9,199.0,160.3,257.1,274.5,936.1,8.6,316.1,289.2,482.9,478.8,1181.0,9.4,375.3,216.9,380.4,584.6,1181.0,49.1,771.4,459.0,541.0,764.3,1388.0,21.6,303.5,83.9,140.5,87.7,863.3,13.2,503.4,216.1,361.4,248.3,1281.0,18.1,549.9,83.9,147.5,148.5,941.4,59.8,824.9,270.0,409.4,291.8,1022.0,31.4,356.8,55.3,88.2,142.9,952.1,16.1,512.7,179.3,247.5,417.6,1322.0,24.5,694.3,90.5,122.9,182.9,1198.0,59.5,991.8,221.2,195.5,300.7,980.1,154.0,891.0,422.9,386.6,337.9,677.3,145.0,1343.0,671.9,727.6,841.5,1365.0,179.3,1377.0,643.3,663.8,504.9,968.7,155.4,1377.0,501.9,468.0,584.6,1016.0
