レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202609190205,2026-09-19,02,05R,12:44,2026-09-19T12:58:21.966375+09:00,1247,逃　げ,1,青木　幸太郎,"1'49""1",3,森　　　弘行,"1'51""3",4,上野　真之介,"1'52""2",2,山本　　光雄,"1'54""2",6,林　　　恵祐,,5,根岸　　真優,,1,0.04,,2,0.08,,3,0.06,,4,0.12,,5,0.07,,6,0.12,,3,,0.0,0.0,23.0,24.0
202609191605,2026-09-19,16,05R,12:47,2026-09-19T13:04:17.564329+09:00,1252,差　し,2,笠原　　　亮,"1'50""4",3,土山　　卓也,"1'52""2",1,安藤　　裕貴,"1'53""4",5,沢田　　昭宏,"1'54""5",6,東　　　健介,,4,杉山　　太陽,,1,0.1,,2,0.16,,3,0.18,,4,0.22,,5,0.23,,6,0.28,,1,5,3.0,3.0,28.0,27.0
202609191306,2026-09-19,13,06R,12:50,2026-09-19T13:06:23.609593+09:00,1253,逃　げ,1,榎　　　幸司,"1'50""2",6,河合　　三弘,"1'51""5",3,浦田　　信義,"1'52""7",4,重成　　一人,"1'53""6",2,渡　　　修平,"1'53""9",5,本村　　　大,"1'56""6",1,0.29,,2,0.26,,3,0.24,,4,0.19,,5,0.28,,6,0.12,,2,3,2.0,0.0,32.0,25.3
202609190405,2026-09-19,04,05R,12:52,2026-09-19T13:14:20.465558+09:00,1255,まくり差し,4,本吉　　正樹,"2'00""6",5,宮迫　　暢彦,"2'03""1",6,河野　　主樹,"2'06""0",2,小野　　京平,"2'11""2",,,,,,,1,0.17,,2,0.18,,3,0.13,,4,0.16,,5,0.14,,6,0.21,,3,1,4.0,3.0,23.0,25.0
202609190604,2026-09-19,06,04R,12:55,2026-09-19T13:14:20.465558+09:00,1259,差　し,4,近藤　雄一郎,"1'51""0",1,川上　　　剛,"1'52""7",5,寳田　　亮治,"1'53""2",6,熊本　　英一,"1'54""5",3,野中　　義生,,2,本橋　　克洋,,1,0.16,,2,0.19,,3,0.14,,4,0.22,,5,0.22,,6,0.29,,2,5,2.0,1.0,27.0,27.0
202609190506,2026-09-19,05,06R,12:57,2026-09-19T13:14:20.465558+09:00,1301,まくり,3,深谷　　知博,"1'46""4",2,長田　　頼宗,"1'48""8",4,西山　　貴浩,"1'50""4",5,原田　　篤志,"1'50""9",1,中澤　　和志,,6,河野　　　大,,1,0.09,,2,0.08,,3,0.09,,4,0.04,,5,0.05,,6,0.05,,3,7,1.0,2.0,22.0,24.0
202609191410,2026-09-19,14,10R,13:04,2026-09-19T13:22:22.559630+09:00,1308,逃　げ,1,稲田　　浩二,"1'48""9",3,岩崎　　芳美,"1'49""9",2,馬袋　　義則,"1'51""5",4,村越　　　篤,"1'53""5",5,渡邊　　裕貴,,6,中尾　　彩香,,1,0.1,,2,0.11,,3,0.1,,4,0.11,,5,0.12,,6,0.1,,1,8,3.0,3.0,28.0,27.0
202609191706,2026-09-19,17,06R,13:07,2026-09-19T13:26:19.603342+09:00,1310,まくり差し,4,小林　　愛実,"1'59""2",2,後藤　　美翼,"2'02""6",1,西岡　　育未,"2'06""2",6,菅野　はやか,"2'09""0",5,宮田　　　栞,"2'12""9",,,,1,0.14,,2,0.1,,3,0.05,,4,0.05,,6,0.03,,5,0.31,,2,5,1.0,1.0,26.0,25.0
202609192310,2026-09-19,23,10R,13:11,2026-09-19T13:26:19.603342+09:00,1315,抜　き,2,百武　　　翔,"1'50""1",1,渡邊　雄一郎,"1'51""0",3,服部　　達哉,"1'52""5",4,藤田　　浩人,"1'54""1",5,鈴谷　　一平,"1'56""8",6,鳥飼　　　眞,"2'11""4",1,0.08,,2,0.16,,3,0.09,,4,0.19,,5,0.23,,6,0.21,,2,1,4.0,4.0,24.0,25.0
202609190305,2026-09-19,03,05R,13:02,2026-09-19T13:28:23.898621+09:00,1305,逃　げ,1,齊藤　　　廉,"1'51""8",2,山本　　英志,"1'53""3",5,山口　　達也,"1'54""2",6,吉田　　宗弘,"1'55""8",3,中野　　孝二,,4,長尾　京志郎,,1,0.09,,2,0.12,,3,0.07,,4,0.12,,5,0.11,,6,0.14,,3,1,4.0,5.0,22.0,24.0
202609190206,2026-09-19,02,06R,13:14,2026-09-19T13:28:23.898621+09:00,1317,差　し,2,下寺　　秀和,"1'49""1",1,石川　　哲秀,"1'50""3",3,片岡　　雅裕,"1'51""3",4,小松　　卓司,"1'52""1",5,長谷川　親王,,6,横川　　聖志,,1,0.1,,2,0.14,,3,0.2,,4,0.17,,5,0.19,,6,0.18,,3,,0.0,0.0,22.0,24.0
202609191606,2026-09-19,16,06R,13:20,2026-09-19T13:42:20.961669+09:00,1325,差　し,4,嘉手苅　徹哉,"1'51""7",1,瀬川　　大地,"1'53""5",5,田村　　隆信,"1'55""0",3,近藤　　友宝,"1'55""8",2,大塚　　浩二,,6,柳内　　敬太,,1,0.13,,2,0.12,,3,0.15,,4,0.17,,5,0.15,,6,0.23,,1,5,4.0,5.0,28.0,27.0
202609190406,2026-09-19,04,06R,13:22,2026-09-19T13:42:20.961669+09:00,1325,まくり,4,繁野谷　圭介,"1'50""7",2,大場　　広孝,"1'52""3",1,國弘　　翔平,"1'53""8",5,永田　　啓二,"1'55""1",3,藤井　　太雅,,6,藤原　　　駿,,1,0.11,,2,0.15,,3,0.18,,4,0.17,,5,0.08,,6,0.13,,3,1,3.0,3.0,22.0,25.0
202609190605,2026-09-19,06,05R,13:24,2026-09-19T13:42:20.961669+09:00,1328,逃　げ,1,宮崎　心之介,"1'50""2",2,大須賀　　友,"1'51""6",6,荒川　　健太,"1'52""9",3,梶野　　学志,"1'54""1",5,小林　　甘寧,,4,松山　　裕基,,1,0.09,,2,0.23,,3,0.18,,6,0.14,,4,0.16,,5,0.15,,2,5,2.0,1.0,27.0,27.0
202609191307,2026-09-19,13,07R,13:27,2026-09-19T13:42:20.961669+09:00,1330,逃　げ,1,坂元　　浩仁,"1'49""3",2,木下　　大將,"1'50""5",3,今出　　晋二,"1'52""9",6,服部　　幸男,"1'55""5",4,川添　　英正,"1'56""7",5,原田　　朱理,"1'58""4",1,0.16,,2,0.17,,3,0.16,,4,0.21,,6,0.22,,5,0.23,,1,2,4.0,0.0,33.3,25.4
202609190507,2026-09-19,05,07R,13:29,2026-09-19T13:46:23.437258+09:00,1333,まくり差し,3,石橋　　道友,"1'47""5",1,竹田　　和哉,"1'49""4",2,福来　　　剛,"1'50""7",5,濱野谷　憲吾,"1'52""3",4,船岡　洋一郎,,6,松山　　将吾,,1,0.11,,2,0.13,,3,0.13,,4,0.17,,5,0.16,,6,0.21,,2,7,1.0,2.0,22.0,24.0
202609191411,2026-09-19,14,11R,13:33,2026-09-19T13:50:24.933786+09:00,1337,逃　げ,1,益田　　啓司,"1'48""5",2,岡村　　慶太,"1'49""4",5,宮崎　　　奨,"1'51""9",4,鈴木　　雅希,"1'53""3",3,石塚　　久也,,6,長岡　　良也,,1,0.09,,2,0.14,,3,0.13,,4,0.19,,5,0.25,,6,0.26,,1,8,3.0,3.0,27.0,27.0
202609190306,2026-09-19,03,06R,13:29,2026-09-19T13:52:17.504294+09:00,1332,抜　き,1,豊田　　祥生,"1'57""3",4,中村　　　楓,"2'00""8",5,森　　　雄利,"2'03""9",6,南　　　佑典,"2'06""9",3,鳥居塚　孝博,,,,,1,0.17,,2,0.09,,3,0.09,,4,0.16,,5,0.23,,6,0.19,,2,1,3.0,5.0,22.0,24.0
202609191707,2026-09-19,17,07R,13:40,2026-09-19T13:58:20.712669+09:00,1344,逃　げ,1,喜井　つかさ,"1'50""2",2,平山　　智加,"1'52""9",5,村上　　奈穂,"1'53""4",3,豊田　　　結,"1'54""2",6,濱崎　寿里矢,"1'56""7",4,戸田　海咲音,"1'58""3",1,0.05,,2,0.24,,3,0.13,,4,0.2,,5,0.07,,6,0.1,,2,5,1.0,1.0,27.0,25.0
202609190207,2026-09-19,02,07R,13:45,2026-09-19T14:02:27.436583+09:00,1348,逃　げ,1,西野　　雄貴,"1'47""9",4,松田　　隆司,"1'51""5",3,清水　　紀克,"1'52""5",5,佐藤　謙史朗,"1'53""5",2,須藤　　隆雄,,6,龍田　　真白,,1,0.08,,3,0.06,,2,0.15,,4,0.11,,5,0.05,,6,0.05,,3,,0.0,0.0,22.0,24.0
202609192311,2026-09-19,23,11R,13:48,2026-09-19T14:04:23.540512+09:00,1352,逃　げ,1,赤岩　　善生,"1'49""7",2,古結　　　宏,"1'50""8",3,芝田　　浩治,"1'52""1",5,加藤　　高史,"1'53""1",6,松尾　　宣邦,"1'53""9",4,飯島　　昌弘,"1'56""1",1,0.1,,2,0.14,,3,0.09,,4,0.1,,5,0.08,,6,0.11,,2,2,5.0,5.0,24.0,25.0
202609191607,2026-09-19,16,07R,13:52,2026-09-19T14:10:32.049203+09:00,1356,抜　き,2,林　　　美憲,"1'51""0",3,広次　　　修,"1'51""8",4,山崎　　義明,"1'53""3",5,山本　　兼士,"1'55""2",1,小澤　　　学,,6,田中　　大輝,,1,0.19,,2,0.1,,3,0.08,,4,0.07,,5,0.01,,6,0.07,,1,5,4.0,5.0,29.0,27.0
202609190407,2026-09-19,04,07R,13:54,2026-09-19T14:12:20.214008+09:00,1357,まくり,3,平岡　　重典,"1'51""5",5,野間　　大樹,"1'52""7",1,内山　　文典,"1'53""5",6,金山　　立樹,"1'54""6",2,富田　　恕生,,4,熊倉　　幹太,,1,0.19,,2,0.23,,3,0.14,,4,0.22,,5,0.23,,6,0.23,,3,1,3.0,3.0,22.0,25.0
202609190307,2026-09-19,03,07R,13:56,2026-09-19T14:18:20.166452+09:00,1401,逃　げ,1,枝尾　　　賢,"1'52""2",3,赤坂　　俊輔,"1'52""4",6,丸岡　　正典,"1'54""8",5,竹内　　　来,"1'56""0",4,池田　　雷太,,2,宮崎　　奏磨,,1,0.21,,2,0.26,,3,0.24,,4,0.29,,5,0.38,,6,0.38,,3,1,3.0,5.0,22.0,24.0
202609190606,2026-09-19,06,06R,13:59,2026-09-19T14:18:20.166452+09:00,1403,まくり差し,6,下條　雄太郎,"1'49""5",4,浦田　　晃嗣,"1'51""9",2,安達　　裕樹,"1'54""0",3,早川　　颯太,"1'55""3",1,柳瀬　　幹太,,5,藤山　　翔大,,1,0.07,,2,0.15,,3,0.16,,4,0.06,,6,0.03,,5,0.17,,2,,0.0,0.0,28.0,27.0
202609190508,2026-09-19,05,08R,14:02,2026-09-19T14:22:23.524513+09:00,1406,逃　げ,1,山田　　康二,"1'47""3",3,岩瀬　　裕亮,"1'48""9",2,中野　　次郎,"1'51""1",6,秦　　　英悟,"1'51""8",5,毒島　　　誠,,4,山田　　哲也,,1,0.06,,2,0.12,,3,0.1,,4,0.15,,5,0.13,,6,0.17,,2,1,1.0,2.0,22.0,24.0
202609191308,2026-09-19,13,08R,14:07,2026-09-19T14:22:23.524513+09:00,1410,差　し,2,和田　　兼輔,"1'50""1",1,上原　　　崚,"1'50""8",3,山下　　和彦,"1'52""4",6,三好　　勇人,"1'53""7",4,伯母　　芳恒,"1'54""9",5,谷口　　健一,"1'57""9",1,0.09,,2,0.09,,3,0.11,,4,0.15,,5,0.17,,6,0.21,,2,2,6.0,4.0,32.6,25.5
202609191412,2026-09-19,14,12R,14:09,2026-09-19T14:22:23.524513+09:00,1413,逃　げ,1,竹井　　貴史,"1'47""4",4,倉田　　茂将,"1'49""8",5,古澤　　光紀,"1'51""6",2,深川　麻奈美,"1'52""9",3,烏野　　賢太,,6,赤池　　修平,,1,0.17,,2,0.12,,3,0.16,,4,0.13,,5,0.14,,6,0.18,,1,8,2.0,2.0,28.0,27.0
202609191708,2026-09-19,17,08R,14:12,2026-09-19T14:28:23.395651+09:00,1416,逃　げ,1,向井田　真紀,"1'51""3",4,池　　　千夏,"1'53""0",2,白石　　有美,"1'55""0",3,笠野　友紀恵,"1'55""7",5,樫葉　　新心,"1'55""8",6,池田　　美優,"1'56""2",1,0.12,,2,0.21,,3,0.22,,4,0.15,,5,0.2,,6,0.26,,2,5,1.0,1.0,27.0,25.0
202609190208,2026-09-19,02,08R,14:16,2026-09-19T14:32:22.746754+09:00,1419,まくり,2,田中　信一郎,"1'49""1",4,黒崎　　竜也,"1'52""0",6,荒井　　翔伍,"1'53""2",1,中嶋　　世奈,"1'53""4",3,飯田　　庄吾,,5,林　　　風音,,1,0.24,,2,0.1,,3,0.06,,4,0.22,,6,0.06,,5,0.11,,3,,0.0,0.0,23.0,24.0
202609191608,2026-09-19,16,08R,14:22,2026-09-19T14:40:28.014587+09:00,1426,まくり,4,榮田　　将彦,"1'50""2",2,北村　　征嗣,"1'52""2",1,宇野　　博之,"1'53""6",6,谷野　　錬志,"1'54""8",5,櫻井　　　隼,,3,福田　　　理,,1,0.18,,2,0.15,,3,0.16,,4,0.1,,6,0.14,,5,0.11,,1,5,3.0,3.0,30.0,27.0
202609192312,2026-09-19,23,12R,14:30,2026-09-19T14:40:28.014587+09:00,1434,逃　げ,1,三角　　哲男,"1'49""7",3,島川　　光男,"1'51""3",2,齊藤　　　仁,"1'52""5",6,宮地　　博士,"1'53""0",4,大神　　康司,"1'53""6",5,郷原　　章平,"1'55""2",1,0.05,,4,0.11,,2,0.12,,3,0.09,,5,0.15,,6,0.16,,2,1,4.0,4.0,24.0,25.0
202609190308,2026-09-19,03,08R,14:24,2026-09-19T14:44:23.734280+09:00,1428,逃　げ,1,森定　　晃史,"1'51""3",5,高橋　　直哉,"1'53""3",4,鐘ヶ江　真司,"1'54""1",2,中村　　泰平,"1'56""5",3,堀本　　裕也,,6,室田　　泰史,,1,0.11,,2,0.14,,3,0.14,,4,0.19,,5,0.17,,6,0.17,,3,1,2.0,5.0,22.0,24.0
202609190408,2026-09-19,04,08R,14:26,2026-09-19T14:44:23.734280+09:00,1429,まくり,6,阿波　　勝哉,"1'51""8",1,大平　誉史明,"1'52""8",3,桑原　　　啓,"1'54""3",5,永井　　亮次,"1'55""5",4,森作　　広大,,2,伊藤　　尚汰,,1,0.17,,2,0.16,,3,0.11,,4,0.14,,5,0.12,,6,0.01,,3,1,3.0,3.0,22.0,25.0
202609190607,2026-09-19,06,07R,14:32,2026-09-19T14:50:24.862270+09:00,1436,差　し,4,吉田　　翔悟,"1'50""5",3,上村　　宏太,"1'52""2",2,湯川　　浩司,"1'53""4",6,有賀　　達也,"1'53""9",1,森　　　照夫,,5,廣部　　大明,,1,0.13,,2,0.11,,3,0.11,,4,0.08,,5,0.05,,6,0.05,,2,,0.0,0.0,29.0,27.0
202609191309,2026-09-19,13,09R,14:35,2026-09-19T14:52:24.012588+09:00,1438,差　し,2,村岡　　賢人,"1'50""0",1,峰重　　力也,"1'51""7",5,村田　　　敦,"1'53""3",3,南野　　利騰,"1'53""5",4,貫地谷　直人,"1'54""7",6,松井　　賢治,"1'57""8",1,0.21,,2,0.16,,6,0.18,,3,0.19,,4,0.19,,5,0.16,,2,3,4.0,0.0,32.5,25.4
202609190509,2026-09-19,05,09R,14:38,2026-09-19T14:56:22.240017+09:00,1442,逃　げ,1,佐藤　　　翼,"1'47""4",6,安河内　　健,"1'49""1",4,石渡　　鉄兵,"1'50""4",2,村上　　　遼,"1'51""6",3,若林　　　将,,5,池永　　　太,,1,0.13,,2,0.16,,3,0.12,,4,0.09,,5,0.15,,6,0.06,,3,7,1.0,2.0,22.0,24.0
202609191709,2026-09-19,17,09R,14:47,2026-09-19T15:02:22.346894+09:00,1450,逃　げ,1,角　　ひとみ,"1'51""5",2,水野　　望美,"1'52""2",4,中谷　　朋子,"1'54""2",3,植竹　　玲奈,"1'55""0",6,野田　　亜湖,"1'56""9",5,鈴木　　成美,"1'57""4",1,0.09,,2,0.08,,3,0.07,,4,0.17,,5,0.14,,6,0.19,,1,6,1.0,1.0,27.0,25.0
202609190209,2026-09-19,02,09R,14:48,2026-09-19T15:04:21.136461+09:00,1451,逃　げ,1,盛本　　真輔,"1'50""7",2,土屋　実沙希,"1'52""7",,,,,,,,,,,,,1,0.01,,2,0.02,,3,-0.04,F,4,-0.03,F,6,-0.04,F,5,-0.07,F,3,8,1.0,1.0,22.0,24.0
202609190309,2026-09-19,03,09R,14:52,2026-09-19T15:10:32.307758+09:00,1455,逃　げ,1,三嶌　　誠司,"1'51""5",5,平見　　真彦,"1'52""7",3,佐竹　　太一,"1'54""3",6,眞崎　　武蔵,"1'55""6",4,田中　　　堅,,2,鶴本　　崇文,,1,0.22,,2,0.23,,3,0.23,,4,0.3,,5,0.23,,6,0.29,,3,1,2.0,5.0,22.0,24.0
202609190409,2026-09-19,04,09R,14:57,2026-09-19T15:16:24.372921+09:00,1500,逃　げ,1,濱崎　　　誠,"1'50""7",3,永松　　良教,"1'51""7",2,早川　　尚人,"1'52""9",5,澤崎　　雄哉,"1'54""7",4,久永　　祥平,,6,本吉　　正樹,,1,0.19,,2,0.21,,3,0.14,,4,0.23,,5,0.2,,6,0.21,,2,1,4.0,3.0,22.0,25.0
202609190608,2026-09-19,06,08R,14:59,2026-09-19T15:16:24.372921+09:00,1503,まくり,4,渋谷　　明憲,"1'50""1",6,武重　　雄介,"1'52""1",1,中島　　昂章,"1'53""6",3,松下　　知幸,"1'54""9",5,加藤　　　翔,,2,高村　　　諒,,1,0.38,,2,0.3,,3,0.29,,4,0.22,,5,0.2,,6,0.25,,2,5,2.0,1.0,28.0,27.0
202609191609,2026-09-19,16,09R,15:02,2026-09-19T15:20:26.582319+09:00,1506,まくり差し,3,上田　　健太,"1'50""2",1,稗田　　聖也,"1'51""1",5,安東　　幸治,"1'53""0",6,野村　　羽玖,"1'54""1",2,重富　　伸也,,4,寺嶋　　　雄,,1,0.16,,2,0.17,,3,0.13,,4,0.08,,5,0.12,,6,0.16,,1,5,4.0,5.0,30.0,27.0
202609191310,2026-09-19,13,10R,15:09,2026-09-19T15:26:19.549451+09:00,1512,まくり差し,3,三苫　　晃幸,"1'49""7",1,山本　　隆幸,"1'51""4",4,河合　　三弘,"1'52""9",2,鈴木　　　博,"1'54""6",5,杢野　　誓良,"1'54""6",6,乙藤　　智史,"1'55""4",1,0.19,,2,0.15,,3,0.14,,4,0.09,,5,0.08,,6,0.16,,2,1,3.0,0.0,32.6,25.5
202609190510,2026-09-19,05,10R,15:14,2026-09-19T15:32:22.993839+09:00,1518,逃　げ,1,長尾　　章平,"1'48""1",5,原田　　幸哉,"1'49""0",4,久田　　敏之,"1'50""0",2,佐藤　隆太郎,"1'52""0",6,前田　　将太,,3,森高　　一真,,1,0.14,,2,0.11,,3,0.11,,4,0.05,,5,0.07,,6,0.11,,3,8,1.0,2.0,22.0,24.0
202609191201,2026-09-19,12,01R,15:19,2026-09-19T15:38:23.199741+09:00,1522,逃　げ,1,藤山　　雅弘,"1'51""3",2,関　　　裕也,"1'52""4",3,山崎　　善庸,"1'54""0",6,木山　　大聖,"1'55""0",4,畔柳　　俊吾,"1'56""6",5,越智　　照浩,"1'57""1",1,0.12,,2,0.13,,3,0.14,,4,0.11,,5,0.14,,6,0.18,,1,1,2.0,1.0,31.0,27.0
202609190210,2026-09-19,02,10R,15:21,2026-09-19T15:38:23.199741+09:00,1524,まくり差し,5,下寺　　秀和,"1'49""2",1,松尾　　　拓,"1'50""3",2,平田　さやか,"1'51""5",4,武富　　智亮,"1'52""8",6,豊田　　訓靖,,3,山本　景士郎,,1,0.11,,2,0.18,,3,0.16,,4,0.09,,5,0.11,,6,0.12,,2,8,1.0,1.0,22.0,24.0
202609191501,2026-09-19,15,01R,15:22,2026-09-19T15:38:23.199741+09:00,1525,差　し,2,泉　　　具巳,"1'50""9",1,吉田　　和仁,"1'51""6",4,宮本　　夏樹,"1'53""5",6,森安　　弘雅,"1'54""6",3,小林　　京平,"1'55""5",5,甲斐　　貴大,"1'57""3",1,0.18,,2,0.19,,3,0.19,,4,0.25,,5,0.33,,6,0.34,,1,2,1.0,1.0,34.0,28.0
202609191710,2026-09-19,17,10R,15:24,2026-09-19T15:40:21.004899+09:00,1527,逃　げ,1,三嶌　さらら,"1'50""1",2,守屋　　美穂,"1'51""2",3,藤田　　美代,"1'53""5",5,原田　　佑実,"1'55""2",6,加藤　　奈月,"1'56""8",4,長野　　未来,"1'59""1",1,0.26,,2,0.24,,3,0.22,,5,0.24,,6,0.31,,4,0.25,,1,6,2.0,2.0,28.0,25.0
202609190310,2026-09-19,03,10R,15:22,2026-09-19T15:42:20.886995+09:00,1525,逃　げ,1,野中　　一平,"1'52""3",3,平田　健之佑,"1'53""3",2,坪内　　　実,"1'54""0",4,鳥居塚　孝博,"1'54""8",6,山口　　達也,,5,角山　　雄哉,,1,0.05,,2,0.01,,3,0.03,,4,0.16,,5,0.19,,6,0.2,,3,1,2.0,5.0,22.0,24.0
202609190410,2026-09-19,04,10R,15:30,2026-09-19T15:48:22.349027+09:00,1533,逃　げ,1,河野　　主樹,"1'49""9",3,折下　　寛法,"1'51""3",4,濱本　　優一,"1'52""4",2,國崎　　良春,"1'53""0",6,渡邉　　睦広,,5,渡辺　　空依,,1,0.18,,2,0.14,,3,0.11,,4,0.11,,5,0.12,,6,0.09,,2,1,3.0,3.0,22.0,25.0
202609190609,2026-09-19,06,09R,15:32,2026-09-19T15:48:22.349027+09:00,1536,逃　げ,1,金子　　　萌,"1'49""7",3,小林　　甘寧,"1'50""9",5,高橋　　　勲,"1'53""9",4,山一　　鉄也,"1'54""3",6,本橋　　克洋,,2,西丸　　敦基,,1,0.16,,2,0.15,,3,0.18,,5,0.13,,4,0.2,,6,0.19,,2,5,2.0,1.0,27.0,27.0
202609191610,2026-09-19,16,10R,15:35,2026-09-19T15:56:19.268031+09:00,1540,差　し,2,山地　　正樹,"1'50""6",4,津留　浩一郎,"1'51""7",5,吉田　凌太朗,"1'52""2",3,岡田　　憲行,"1'54""0",1,沢田　　昭宏,,6,近藤　　友宝,,1,0.17,,2,0.21,,3,0.19,,4,0.12,,5,0.12,,6,0.1,,1,4,2.0,3.0,30.0,27.0
202609191311,2026-09-19,13,11R,15:41,2026-09-19T16:00:41.888005+09:00,1544,逃　げ,1,重成　　一人,"1'56""7",6,後藤　　正宗,"1'58""7",4,倉富　　大誠,"2'02""1",3,木下　　大將,"2'04""6",5,荒井　　輝年,"2'07""0",,,,1,0.16,,2,0.17,,3,0.16,,4,0.16,,5,0.14,,6,0.16,,2,2,2.0,0.0,32.3,25.5
202609191202,2026-09-19,12,02R,15:43,2026-09-19T16:00:41.888005+09:00,1546,まくり,3,吉島　　祥之,"1'51""6",5,西山　　　育,"1'53""3",2,廣中　　良一,"1'54""6",6,鈴木　結平太,"1'55""2",4,牟田　　奨太,"1'57""3",1,土井　　祥伍,"2'00""9",1,0.22,,2,0.22,,3,0.21,,4,0.12,,5,0.3,,6,0.2,,1,2,3.0,1.0,31.0,27.0
202609191502,2026-09-19,15,02R,15:47,2026-09-19T16:04:18.079539+09:00,1551,まくり,2,深川　　和仁,"1'50""7",3,北川　　太一,"1'52""0",6,高倉　　孝太,"1'53""7",4,草場　　康幸,"1'54""7",5,金田　　大輔,"1'55""6",1,広瀬　　聖仁,"1'57""9",1,0.24,,2,0.13,,3,0.15,,4,0.11,,5,0.09,,6,0.09,,1,4,2.0,2.0,34.0,28.0
202609190511,2026-09-19,05,11R,15:52,2026-09-19T16:10:31.724298+09:00,1556,逃　げ,1,丸野　　一樹,"1'47""8",3,河野　　　大,"1'49""1",4,永井　　彪也,"1'50""3",2,菅　　　章哉,"1'51""3",5,吉田　　拡郎,,6,須藤　　博倫,,1,0.06,,2,0.12,,3,0.06,,4,0.08,,5,0.07,,6,0.09,,2,,0.0,2.0,22.0,24.0
202609190311,2026-09-19,03,11R,15:53,2026-09-19T16:10:31.724298+09:00,1556,まくり差し,4,渡邉　　俊介,"1'52""1",1,重木　　輝彦,"1'54""1",2,田頭　　虎親,"1'55""1",6,山本　　英志,"1'55""4",3,東口　　　晃,,5,丸岡　　正典,,1,0.25,,2,0.26,,3,0.26,,4,0.17,,5,0.19,,6,0.34,,3,1,2.0,5.0,22.0,24.0
202609190211,2026-09-19,02,11R,15:55,2026-09-19T16:10:31.724298+09:00,1558,まくり,2,坂本　　雄紀,"1'49""8",4,山本　　光雄,"1'50""8",3,出口　舞有子,"1'52""0",6,金田　　　諭,"1'53""0",1,片岡　　雅裕,,5,柘植　　政浩,,1,0.11,,2,0.15,,3,0.13,,4,0.08,,5,0.12,,6,0.14,,2,,0.0,0.0,22.0,24.0
202609190610,2026-09-19,06,10R,15:59,2026-09-19T16:14:23.172825+09:00,1603,逃　げ,1,角谷　　健吾,"1'50""2",2,廣瀬　　篤哉,"1'51""8",5,梶野　　学志,"1'53""8",3,江本　　真治,"1'55""0",4,熊本　　英一,,6,藤山　　翔大,,1,0.11,,2,0.11,,3,0.16,,4,0.31,,5,0.35,,6,0.49,,2,5,2.0,1.0,27.0,27.0
202609191711,2026-09-19,17,11R,16:02,2026-09-19T16:18:30.436056+09:00,1605,差　し,4,山崎　小葉音,"1'50""4",3,高田　ひかる,"1'51""7",6,永井　　聖美,"1'53""6",2,藤原　　早菜,"1'54""6",5,平高　　奈菜,"1'54""7",,,,2,0.14,,3,0.09,,4,0.05,,5,0.13,,6,0.06,,,,,2,,0.0,1.0,28.0,25.0
202609190411,2026-09-19,04,11R,16:06,2026-09-19T16:24:22.557841+09:00,1609,まくり,3,繁野谷　圭介,"1'49""8",2,永田　　啓二,"1'51""5",1,篠原　　飛翔,"1'52""3",4,上野　　秀和,"1'52""4",5,馬場　　　剛,,6,森　　　貴洋,,1,0.12,,2,0.17,,3,0.12,,4,0.08,,5,0.07,,6,0.13,,3,,0.0,3.0,22.0,25.0
202609191203,2026-09-19,12,03R,16:10,2026-09-19T16:26:26.831332+09:00,1613,逃　げ,1,池本　　輝明,"1'50""8",2,小野寺　智洋,"1'52""7",6,牧原　　　崇,"1'53""8",5,森　　晋太郎,"1'54""0",4,田中　　孝明,"1'54""1",3,松江　　秀徳,"1'58""6",1,0.2,,2,0.18,,3,0.23,,4,0.24,,5,0.22,,6,0.22,,2,1,3.0,1.0,31.0,27.0
202609191611,2026-09-19,16,11R,16:13,2026-09-19T16:30:29.925399+09:00,1617,逃　げ,1,田村　　隆信,"1'50""6",2,山本　　修一,"1'50""9",3,笠原　　　亮,"1'52""9",6,松下　　直也,"1'53""2",5,広次　　　修,,4,寺島　　吉彦,,1,0.17,,2,0.18,,3,0.16,,4,0.19,,5,0.18,,6,0.23,,1,5,2.0,3.0,30.0,27.0
202609191503,2026-09-19,15,03R,16:16,2026-09-19T16:30:29.925399+09:00,1619,まくり差し,3,香川　　颯太,"1'50""5",5,河野　　真也,"1'52""1",2,山田　　真聖,"1'53""4",4,峰重　　侑治,"1'54""2",6,河村　　　了,"1'55""3",1,大町　　利克,"1'57""1",1,0.08,,2,0.11,,3,0.12,,4,0.15,,5,0.18,,6,0.22,,1,3,3.0,3.0,33.0,28.0
