date,jcd,rno,source_type,snapshot_type,source_url,odds_mapping_version,1-2-3,1-2-4,1-2-5,1-2-6,1-3-2,1-3-4,1-3-5,1-3-6,1-4-2,1-4-3,1-4-5,1-4-6,1-5-2,1-5-3,1-5-4,1-5-6,1-6-2,1-6-3,1-6-4,1-6-5,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,2-3-4,2-3-5,2-3-6,2-4-1,2-4-3,2-4-5,2-4-6,2-5-1,2-5-3,2-5-4,2-5-6,2-6-1,2-6-3,2-6-4,2-6-5,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,3-2-4,3-2-5,3-2-6,3-4-1,3-4-2,3-4-5,3-4-6,3-5-1,3-5-2,3-5-4,3-5-6,3-6-1,3-6-2,3-6-4,3-6-5,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,4-2-3,4-2-5,4-2-6,4-3-1,4-3-2,4-3-5,4-3-6,4-5-1,4-5-2,4-5-3,4-5-6,4-6-1,4-6-2,4-6-3,4-6-5,5-1-2,5-1-3,5-1-4,5-1-6,5-2-1,5-2-3,5-2-4,5-2-6,5-3-1,5-3-2,5-3-4,5-3-6,5-4-1,5-4-2,5-4-3,5-4-6,5-6-1,5-6-2,5-6-3,5-6-4,6-1-2,6-1-3,6-1-4,6-1-5,6-2-1,6-2-3,6-2-4,6-2-5,6-3-1,6-3-2,6-3-4,6-3-5,6-4-1,6-4-2,6-4-3,6-4-5,6-5-1,6-5-2,6-5-3,6-5-4
2026-01-05,01,1,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260105&jcd=01&rno=1,official_table_v2,77.9,28.1,51.0,47.1,163.0,195.3,294.7,340.5,42.0,196.6,73.7,81.8,144.6,380.6,188.1,227.2,127.9,459.3,162.8,239.2,77.6,13.8,22.8,13.9,143.6,106.3,169.5,147.9,16.2,74.7,11.9,11.9,53.8,181.5,32.0,37.2,30.9,158.5,24.1,33.0,427.6,456.5,585.9,747.9,307.5,324.2,570.2,522.2,590.6,408.8,617.5,506.2,896.6,779.2,885.9,907.5,1445.0,1086.0,836.1,1272.0,51.0,303.1,79.9,78.0,35.9,167.9,22.0,22.5,529.6,349.3,529.6,404.4,70.8,35.9,311.3,43.9,93.7,43.8,308.1,58.3,196.3,808.9,238.5,292.4,153.5,561.6,110.6,161.2,1119.0,870.3,791.6,1055.0,180.4,97.8,607.5,123.8,388.6,232.5,779.2,185.5,300.6,1026.0,372.0,541.2,254.4,664.4,132.0,254.4,1710.0,1119.0,1190.0,2096.0,407.7,144.3,1012.0,223.1,722.5,394.7,1488.0,269.1
2026-01-05,01,2,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260105&jcd=01&rno=2,official_table_v2,25.6,8.9,23.9,11.2,63.3,89.7,133.2,98.4,19.6,81.7,50.9,27.8,70.1,205.0,107.1,102.6,35.4,153.6,49.9,92.4,47.4,15.4,42.4,17.3,140.1,130.4,197.8,125.5,34.9,115.3,61.2,26.5,106.7,237.5,107.5,86.6,37.9,159.1,40.8,80.4,295.4,453.6,499.8,467.1,245.2,398.3,413.0,346.7,613.1,519.7,1171.0,707.0,905.5,761.9,1195.0,1001.0,740.3,798.0,817.4,1286.0,53.2,244.7,90.6,57.4,66.7,316.4,88.5,48.2,599.0,694.5,829.0,557.9,86.3,82.0,329.2,56.1,73.2,58.7,327.9,71.8,228.1,676.5,303.0,230.3,237.8,632.8,262.4,166.9,949.3,964.9,1207.0,1001.0,223.5,213.2,709.1,139.0,253.1,185.5,806.2,194.4,87.9,386.5,146.4,261.5,86.7,316.4,103.8,167.6,777.0,837.8,976.9,1580.0,152.7,121.9,678.4,184.2,361.6,252.0,989.2,236.6
2026-01-05,01,3,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260105&jcd=01&rno=3,official_table_v2,33.8,25.6,242.7,11.4,71.1,94.9,485.8,50.4,45.7,91.7,376.9,31.9,852.7,938.2,1438.0,872.6,13.7,29.5,21.5,304.1,58.8,38.8,374.5,19.0,122.3,135.1,804.5,78.1,59.3,95.7,476.5,27.4,1125.0,1460.0,1653.0,978.1,22.9,42.4,22.2,349.6,340.5,363.2,1014.0,245.9,305.0,332.5,1226.0,175.5,483.5,407.7,1425.0,228.4,2107.0,1969.0,1969.0,1813.0,266.0,182.5,207.9,1164.0,87.5,186.9,486.6,57.4,97.3,154.6,539.2,40.9,396.4,323.2,1120.0,173.2,1295.0,1527.0,1252.0,668.0,37.3,28.4,69.6,227.0,1348.0,1969.0,2093.0,1342.0,1330.0,1592.0,2233.0,959.3,2302.0,2064.0,2375.0,1813.0,2394.0,2536.0,1982.0,1053.0,1445.0,1511.0,1813.0,1542.0,18.2,54.1,31.5,244.9,21.1,44.2,21.6,209.8,128.6,95.2,113.3,589.1,37.4,26.5,64.7,229.3,505.5,491.4,657.8,534.4
2026-01-05,01,4,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260105&jcd=01&rno=4,official_table_v2,75.4,219.2,307.9,92.7,173.1,467.9,558.1,257.5,548.7,696.2,935.0,641.8,859.0,1052.0,1501.0,1204.0,226.6,327.8,734.7,1050.0,30.1,85.6,143.1,30.8,26.5,11.0,28.5,4.3,90.5,24.8,74.2,17.2,201.3,67.8,123.5,54.4,33.1,6.6,14.7,37.9,212.9,611.5,724.4,301.6,92.7,59.9,105.4,22.7,698.1,157.8,484.1,218.1,1072.0,315.0,795.6,422.1,272.9,50.8,180.7,291.5,711.5,1052.0,1099.0,751.8,348.5,125.7,256.5,72.5,999.9,241.7,904.0,320.1,1224.0,476.1,1005.0,434.1,488.2,96.8,208.8,335.4,1179.0,1703.0,1863.0,1279.0,915.1,409.8,629.4,262.8,1792.0,647.4,1603.0,847.7,1962.0,936.7,1890.0,957.4,1236.0,384.5,817.0,973.6,273.0,555.7,810.6,1099.0,136.0,36.1,68.0,140.2,394.2,61.8,222.2,428.4,781.2,141.5,299.2,598.8,1304.0,408.5,728.5,869.1
2026-01-05,01,5,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260105&jcd=01&rno=5,official_table_v2,153.4,80.0,21.4,54.2,288.8,561.5,242.6,535.7,169.7,419.3,89.3,173.9,13.8,85.9,29.6,19.1,98.6,359.6,178.2,61.7,276.4,140.1,42.9,87.6,600.5,1063.0,397.8,790.0,297.4,839.2,158.4,278.0,30.6,129.9,54.6,32.7,146.9,475.6,248.4,81.2,1185.0,1557.0,738.9,1380.0,978.9,1929.0,822.1,1386.0,1935.0,2357.0,1477.0,1776.0,702.1,640.5,1004.0,647.3,1561.0,1651.0,1721.0,860.7,452.8,951.2,231.5,371.2,524.1,1192.0,259.6,415.5,1541.0,1893.0,907.0,1185.0,187.2,172.8,453.8,130.1,430.6,384.7,824.4,191.0,11.9,75.1,20.6,13.1,16.7,88.8,27.5,14.5,188.0,205.6,250.0,181.2,42.2,42.8,163.2,31.4,21.8,18.2,85.4,26.4,147.5,436.8,313.9,95.3,151.3,424.9,280.3,88.9,723.9,828.9,985.2,436.8,436.8,405.5,815.5,182.6,81.2,70.5,233.5,112.1
2026-01-05,01,6,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260105&jcd=01&rno=6,official_table_v2,21.7,36.5,107.6,54.9,13.5,4.1,27.9,7.7,35.1,9.1,55.1,15.8,197.7,121.0,146.2,156.1,85.7,29.3,40.6,124.8,161.8,295.6,568.3,362.9,261.3,461.1,1047.0,616.8,603.9,693.7,1038.0,1047.0,1276.0,1571.0,1124.0,1833.0,987.2,1166.0,1686.0,2357.0,52.2,13.5,63.2,22.3,132.8,191.5,522.6,307.6,37.3,142.6,123.8,51.1,210.6,558.7,293.1,297.7,80.1,330.0,107.4,263.2,246.4,82.3,228.6,114.3,584.1,716.3,948.7,989.4,105.9,395.9,378.1,146.5,518.5,937.2,807.7,695.8,261.1,925.9,247.4,759.9,825.0,741.6,694.8,721.9,1269.0,1777.0,1175.0,1933.0,866.8,1756.0,1358.0,1305.0,920.4,1383.0,1621.0,1383.0,1026.0,2538.0,1375.0,1258.0,608.7,204.9,303.7,746.4,916.7,1235.0,1621.0,2497.0,285.7,1225.0,465.7,1252.0,529.2,1941.0,585.6,1500.0,1276.0,3121.0,1770.0,1743.0
2026-01-05,01,7,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260105&jcd=01&rno=7,official_table_v2,9.9,135.5,79.3,31.7,3.4,36.9,17.1,3.7,367.3,208.1,416.2,322.4,170.9,91.4,424.3,161.1,40.8,18.1,228.6,129.6,93.7,520.6,383.0,204.7,120.4,646.6,438.0,246.6,1338.0,1385.0,1916.0,2952.0,1063.0,898.5,1260.0,1358.0,445.8,398.7,1476.0,1077.0,18.1,75.6,38.3,11.6,61.9,421.3,253.2,109.3,345.6,537.0,569.9,453.9,191.5,311.2,529.3,230.6,41.3,87.2,325.3,182.3,1327.0,1007.0,1436.0,1431.0,1760.0,1573.0,1988.0,2450.0,1194.0,1476.0,1753.0,2048.0,1964.0,2263.0,1741.0,2626.0,2763.0,2898.0,2916.0,3211.0,766.6,462.8,1462.0,694.9,1000.0,1145.0,2121.0,1741.0,557.2,1072.0,1760.0,1017.0,1842.0,2462.0,1956.0,2863.0,1134.0,1948.0,1123.0,2898.0,162.3,78.8,881.8,479.1,298.9,293.0,2131.0,922.9,97.2,210.0,1077.0,546.3,2425.0,3066.0,2462.0,2916.0,939.3,1231.0,943.0,2731.0
2026-01-05,01,8,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260105&jcd=01&rno=8,official_table_v2,9.6,69.4,9.8,21.7,12.2,72.2,8.3,19.0,167.2,145.1,124.9,180.9,13.3,10.9,85.3,13.5,34.4,34.0,161.5,28.0,78.2,371.8,83.4,140.3,155.0,721.4,226.1,380.2,914.1,1520.0,1253.0,1705.0,157.9,243.8,907.7,291.9,338.6,622.2,1503.0,451.5,113.0,391.9,69.7,145.9,162.6,848.5,267.3,449.9,1106.0,1499.0,1187.0,2114.0,104.1,242.6,684.4,225.9,392.8,658.4,1625.0,409.2,432.0,671.1,339.9,432.0,820.4,1259.0,920.6,1241.0,1226.0,1625.0,1293.0,2024.0,330.2,624.4,783.3,341.0,606.2,1081.0,1581.0,557.5,53.3,46.9,213.0,38.7,116.4,206.4,598.5,149.5,108.8,232.7,692.6,194.5,383.3,666.0,826.9,390.5,55.1,107.1,133.7,305.8,95.9,138.8,425.6,73.4,199.2,377.2,1097.0,228.4,318.9,508.4,1499.0,360.4,836.2,1440.0,1793.0,838.9,90.6,175.4,229.0,469.4
2026-01-05,01,9,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260105&jcd=01&rno=9,official_table_v2,5.0,10.1,28.4,16.7,7.1,11.7,32.4,15.8,26.4,28.6,84.4,44.3,110.6,113.5,213.1,165.3,44.3,43.7,83.1,141.4,24.5,50.9,110.7,56.7,48.4,136.4,178.8,117.8,189.4,237.3,510.4,342.6,435.7,490.2,956.8,702.2,184.0,259.8,418.3,617.3,39.8,66.5,129.3,74.6,57.0,151.8,211.0,144.7,187.3,230.2,487.6,305.3,394.3,521.4,822.5,690.9,219.0,291.4,454.5,603.9,140.4,197.4,291.8,188.9,214.1,240.8,382.7,295.4,316.4,293.5,556.8,443.3,425.1,497.6,688.3,404.7,259.2,344.3,525.8,385.1,649.0,747.4,1118.0,668.5,912.9,1213.0,1657.0,1177.0,950.3,1406.0,2183.0,1796.0,1283.0,1604.0,1894.0,1052.0,1062.0,1564.0,1779.0,1313.0,151.4,180.8,332.8,516.1,228.9,310.4,584.3,858.0,306.1,396.6,758.6,1248.0,671.7,841.2,1018.0,1027.0,932.7,1240.0,1600.0,1205.0
2026-01-05,01,10,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260105&jcd=01&rno=10,official_table_v2,38.4,58.3,43.3,145.5,28.3,11.5,6.2,35.6,56.4,23.2,22.0,84.3,36.8,9.3,18.8,34.2,231.8,119.9,197.6,107.3,254.1,399.0,245.6,598.9,381.9,949.0,491.5,1109.0,709.2,1176.0,1073.0,1623.0,403.6,565.0,1019.0,1000.0,1207.0,1669.0,2357.0,1480.0,102.5,35.5,17.7,63.2,236.7,451.2,227.3,487.0,70.4,308.9,54.3,147.6,26.0,148.0,42.4,53.2,191.7,536.7,307.1,149.2,388.7,156.5,122.2,319.2,744.1,1056.0,727.6,1056.0,194.1,709.2,136.9,405.3,142.7,438.2,136.7,215.1,703.3,1272.0,769.4,466.2,103.3,28.6,54.0,60.9,274.0,391.1,537.2,434.0,40.6,222.3,78.0,84.6,120.2,412.4,113.2,185.4,126.5,399.5,148.0,231.4,703.3,407.0,748.9,328.5,1162.0,1444.0,1991.0,1358.0,517.4,1295.0,950.6,399.5,1233.0,1871.0,1281.0,845.6,336.9,851.7,361.8,641.3
