レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202607060101,2026-07-06,01,01R,村上 彰一,5.90,0.19,4.5,1,,IP,4,,IP,1,,IP,1,,IP,5,,IP,2,,IP,6,2,IP,2,,IP,5,,IP,4,2,IP,淺香 文武,4.70,0.13,2.8,2,,IP,5,,IP,3,,G3,5,,IP,6,,IP,3,,IP,4,,IP,2,,IP,3,,IP,4,,IP,越智 照浩,4.00,0.12,3.2,転,,IP,6,,G3,2,4,G3,6,,IP,2,,IP,3,,IP,3,,IP,5,,IP,欠,,IP,4,,IP,菊池 峰晴,4.90,0.19,4.3,5,,IP,4,5,IP,4,,IP,4,5,IP,3,,IP,6,,IP,3,,IP,1,5,IP,4,,IP,2,,IP,藤原 仙二,6.11,0.19,3.9,3,6,IP,2,6,IP,4,,IP,3,,IP,3,,IP,4,,G2,転,,IP,3,,IP,3,,IP,2,,IP,永井 源,4.50,0.19,3.5,3,,IP,3,,IP,2,,IP,3,,IP,5,,IP,6,,IP,5,,G3,3,,G3,4,,IP,4,5,IP
202607060102,2026-07-06,01,02R,吉田 宗弘,6.40,0.13,2.6,F,,IP,2,,IP,1,,IP,1,,IP,1,,IP,4,,IP,1,,IP,2,,IP,5,,IP,5,,IP,中村 泰平,7.60,0.13,2.5,1,,IP,2,,IP,3,,IP,2,,IP,4,,IP,3,,IP,1,3,IP,2,,IP,2,,IP,2,,G3,鶴田 勇雄,4.70,0.18,2.5,1,4,IP,3,,IP,6,,IP,3,,IP,5,,IP,3,,IP,3,,IP,4,5,G3,4,4,IP,5,,IP,大西 賢,5.20,0.18,2.6,4,,IP,2,,IP,3,,IP,3,,IP,4,,IP,5,,IP,2,,IP,1,,IP,5,,IP,5,,IP,林 祐介,3.30,0.13,3.0,6,,IP,4,,IP,6,,IP,5,,IP,5,,IP,3,,IP,6,,IP,4,,IP,2,4,IP,5,,IP,國崎 良春,5.40,0.17,3.1,2,,IP,4,,IP,2,,IP,3,,IP,5,,IP,5,,G3,6,,G3,3,,G3,2,,IP,2,,IP
202607060103,2026-07-06,01,03R,小黒 竜吾,5.40,0.17,2.6,4,,IP,3,,G3,6,2,IP,4,,IP,3,2,IP,3,,IP,1,,IP,6,,IP,3,,IP,1,,IP,今泉 徹,4.50,0.15,2.7,2,,IP,4,,IP,4,,IP,4,,IP,5,,IP,4,,IP,4,,IP,2,,IP,6,,IP,3,,IP,松尾 基成,2.80,0.16,2.5,6,4,IP,6,,IP,4,,IP,4,4,IP,6,,IP,4,4,IP,4,,IP,6,4,IP,4,,IP,4,,IP,宇留田 翔平,5.00,0.13,2.8,1,,IP,6,,IP,5,,IP,6,,IP,5,,IP,2,,IP,2,,IP,5,,IP,1,,IP,3,5,G3,鈴木 博,6.60,0.17,2.6,1,,IP,4,,IP,4,,G3,3,,G3,4,6,IP,1,,IP,1,,IP,2,,IP,4,,IP,3,,IP,上村 純一,3.80,0.11,1.7,6,,G2,2,,IP,3,,IP,6,,G2,6,,IP,6,,IP,4,,IP,3,,IP,4,,G1,5,,G1
202607060104,2026-07-06,01,04R,黒柳 浩孝,8.30,0.17,3.0,2,,IP,3,,IP,2,,IP,1,,IP,1,,IP,4,,IP,2,,G2,1,,IP,1,,IP,2,,IP,栗城 匠,6.10,0.15,3.2,5,,IP,1,3,IP,2,,IP,3,,IP,2,,IP,5,,G2,5,,IP,2,,G1,2,,G1,5,,IP,山口 修路,5.40,0.18,4.1,4,,IP,3,,IP,4,4,IP,3,,IP,2,4,G3,3,4,IP,3,,IP,4,,G3,2,,IP,5,,IP,浮田 圭浩,5.10,0.23,3.6,5,,IP,3,,IP,4,,IP,3,,IP,2,,IP,6,,IP,4,,IP,2,,IP,2,,IP,4,,IP,小林 一樹,5.20,0.11,1.8,4,,IP,2,,IP,3,,IP,4,,IP,4,,IP,6,,IP,3,,IP,1,,IP,2,,IP,6,,IP,吉田 凌太朗,3.30,0.17,4.1,F,,IP,1,5,IP,5,,G1,6,,G1,5,,IP,5,,IP,6,,IP,4,,IP,2,,IP,6,,IP
202607060105,2026-07-06,01,05R,宮迫 暢彦,6.10,0.17,2.6,6,,IP,3,,IP,F,,G3,1,,IP,4,,IP,3,,IP,1,,IP,3,,IP,2,,IP,1,,IP,鋤柄 貴俊,5.20,0.15,3.2,2,,IP,5,,G1,6,,IP,4,,IP,3,,IP,2,,IP,3,,IP,2,,IP,5,,IP,3,,IP,村上 彰一,5.30,0.18,3.3,3,,IP,3,,IP,F,,IP,4,,IP,6,,IP,1,,IP,4,,IP,4,,IP,1,,IP,2,,IP,岡田 憲行,7.10,0.15,3.3,2,,IP,1,,IP,2,3,IP,2,,IP,4,,IP,1,,IP,5,,IP,6,1,IP,1,1,IP,2,,IP,麻生 慎介,5.70,0.14,2.0,4,6,IP,4,,IP,4,4,IP,3,,IP,4,,IP,4,,IP,3,,IP,1,,IP,1,,IP,4,,G1,川原 祐明,5.20,0.14,3.6,3,,IP,3,,IP,6,,IP,4,,IP,1,5,IP,4,,IP,3,,IP,2,,IP,6,,IP,4,,IP
202607060106,2026-07-06,01,06R,西野 雄貴,9.33,0.13,2.3,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,1,,IP,3,,IP,1,,IP,欠,,IP,1,,IP,大西 賢,6.60,0.15,3.3,4,,IP,4,,IP,2,,IP,4,,IP,2,,IP,2,,IP,1,,IP,2,,IP,5,,IP,1,,IP,菊池 峰晴,4.70,0.22,4.7,4,,IP,5,,IP,1,,IP,4,,IP,6,,IP,6,,IP,3,,IP,1,,IP,6,,IP,2,,IP,中野 和裕,2.80,0.15,3.0,6,,IP,4,,G3,2,,IP,6,,IP,6,5,IP,5,,IP,5,,IP,6,,IP,5,5,IP,3,,IP,大谷 直弘,4.70,0.19,3.5,3,,IP,4,,IP,5,,IP,3,,IP,3,,IP,2,,IP,4,,IP,4,,IP,6,,IP,3,,IP,村岡 賢,4.50,0.16,3.8,1,5,IP,5,5,IP,4,5,IP,1,,IP,4,,IP,5,,IP,5,,IP,6,,IP,3,,IP,4,5,IP
202607060107,2026-07-06,01,07R,久富 政弘,8.40,0.17,3.2,1,,IP,2,,IP,4,2,IP,2,,IP,4,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,越智 照浩,5.20,0.17,3.4,4,,IP,4,,IP,4,,G3,4,,IP,3,,IP,3,3,IP,3,,IP,5,3,IP,2,,IP,2,,IP,田中 駿兵,7.90,0.12,2.8,1,,IP,4,,G1,1,,IP,4,,IP,1,,IP,3,,IP,3,,IP,1,,IP,1,,IP,2,,IP,松尾 基成,2.90,0.18,3.4,3,,IP,5,,IP,5,,IP,4,,IP,6,,IP,2,,IP,5,,IP,6,,IP,6,,IP,5,,IP,生方 靖亜,5.44,0.17,3.2,不,,IP,1,,IP,F,6,IP,6,,IP,2,,IP,1,,IP,3,,IP,3,,IP,3,,G3,5,6,IP,立具 敬司,3.90,0.18,3.7,3,,IP,3,,IP,5,,IP,5,,IP,2,,IP,3,,IP,5,,IP,5,,IP,4,,IP,6,,IP
202607060108,2026-07-06,01,08R,小林 一樹,7.30,0.12,3.0,1,,IP,1,,IP,2,,IP,2,,IP,5,,IP,2,,IP,3,,IP,6,,IP,1,,IP,1,,IP,幸野 史明,5.20,0.16,2.6,3,,IP,4,,IP,5,,IP,3,,IP,5,,IP,5,,IP,1,,IP,1,,IP,5,,IP,2,,IP,小柳 勝希,5.20,0.15,3.2,3,,IP,5,,IP,3,,IP,5,4,IP,1,,IP,,,,,,,,,,,,,,,IP,今泉 徹,2.20,0.16,3.5,6,,IP,6,,IP,6,,IP,4,,IP,4,,IP,5,5,IP,5,,IP,5,,IP,4,,IP,6,,IP,竹田 和哉,5.80,0.19,4.1,3,,IP,3,,IP,6,,G1,4,,G1,2,4,IP,2,,G3,3,,IP,1,,IP,6,,IP,3,,IP,米本 圭佑,2.78,0.22,4.4,6,5,IP,5,,IP,4,,IP,5,,IP,4,5,IP,4,,IP,6,,IP,3,,IP,転,,IP,6,,IP
202607060109,2026-07-06,01,09R,林 祐介,9.80,0.13,2.6,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,永井 源,6.70,0.20,3.8,1,,IP,4,,IP,5,,IP,2,,IP,1,,IP,2,,IP,6,,IP,1,,IP,2,,IP,3,,IP,鈴木 博,6.20,0.16,3.8,3,,IP,3,,IP,5,,IP,2,,G3,5,5,IP,2,,IP,1,,IP,2,,IP,3,,IP,3,,IP,栗城 匠,4.50,0.12,3.2,2,,IP,6,,IP,5,,IP,5,,IP,6,,G2,4,,IP,3,,IP,4,,G1,2,,G1,4,3,IP,宮迫 暢彦,2.10,0.16,3.5,5,,IP,5,,IP,6,,IP,6,,G3,6,,IP,5,,IP,4,,IP,5,,IP,5,,IP,4,,IP,山本 幸也,2.50,0.17,4.4,4,,IP,6,,IP,6,,IP,6,,IP,5,,IP,4,,IP,3,,IP,6,,IP,6,,IP,4,,IP
202607060110,2026-07-06,01,10R,広次 修,7.20,0.13,3.0,5,,IP,1,,IP,5,,IP,2,,IP,3,,IP,3,,IP,1,,IP,1,,IP,2,,IP,1,,IP,上村 純一,6.70,0.10,1.6,2,,G2,3,,G2,2,,IP,2,,IP,1,,IP,6,,G2,3,,IP,2,,IP,3,,G1,6,,G1,川原 祐明,6.00,0.15,3.1,3,,IP,3,,IP,1,,IP,5,,IP,5,4,IP,1,,IP,3,,IP,1,,IP,4,,IP,4,,IP,淺香 文武,4.90,0.16,3.2,6,,IP,5,,G3,6,,G3,1,,IP,2,5,IP,4,,IP,4,,IP,6,,IP,2,,IP,1,,IP,鶴田 勇雄,4.80,0.14,2.9,5,,IP,4,,IP,6,,IP,3,4,IP,2,,IP,2,6,IP,6,,IP,4,,IP,3,,IP,2,,G3,山口 修路,3.90,0.21,5.1,3,,IP,3,5,IP,2,,G3,6,,G3,4,,IP,3,,IP,6,,G3,5,,IP,6,,IP,4,,IP
